timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
19645402589,0.016277,0.23209,0.182316,0.043461,0.006548,-0.730873,0.681097,0
19645435912,0.01839,0.229481,0.179567,0.039298,-0.001655,-0.731745,0.680442,1
19645469236,0.019759,0.215564,0.175633,0.032757,-0.013319,-0.731377,0.681056,2
19645535882,0.023857,0.152274,0.167599,0.008792,-0.037191,-0.727774,0.684751,4
19645569206,0.025803,0.110606,0.168355,-0.002904,-0.041422,-0.727264,0.6851,5
19645602529,0.025461,0.063049,0.169759,-0.006918,-0.038404,-0.722792,0.689963,6
19645635852,0.023911,0.021461,0.169203,-0.013484,-0.046691,-0.717355,0.695011,7
19645669176,0.022416,-0.006037,0.169938,-0.021568,-0.04854,-0.7124,0.699761,8
19645735823,0.020918,-0.020782,0.167803,-0.031087,-0.063128,-0.704956,0.705752,10
19645769146,0.020995,-0.015165,0.169264,-0.02802,-0.060243,-0.707635,0.703447,11
19645802470,0.021665,-0.007902,0.170625,-0.023322,-0.053148,-0.710368,0.701433,12
19645835793,0.021892,-0.004243,0.171434,-0.019024,-0.050045,-0.711613,0.700528,13
19645869116,0.019663,-0.008969,0.174358,-0.017068,-0.049048,-0.713475,0.698753,14
19645935763,0.018931,-0.043672,0.17393,-0.024863,-0.049665,-0.714324,0.697608,16
19645969087,0.016051,-0.072511,0.175159,-0.032166,-0.052919,-0.711879,0.699566,17
19646002410,0.014858,-0.098924,0.173216,-0.040916,-0.063726,-0.706565,0.703584,18
19646035734,0.013875,-0.109387,0.169966,-0.048539,-0.07933,-0.700032,0.70803,19
19646069057,0.01272,-0.090426,0.16995,-0.045194,-0.077589,-0.699322,0.709145,20
19646102380,0.013096,-0.04246,0.17225,-0.031108,-0.058659,-0.704395,0.706695,21
19646169027,0.016431,0.097253,0.188204,0.008874,-0.020148,-0.714003,0.699797,23
19646202350,0.019837,0.159868,0.197502,0.028988,0.003062,-0.717751,0.695689,24
19646235674,0.023448,0.204417,0.205801,0.048002,0.02187,-0.719712,0.692266,25
19646268997,0.027255,0.23201,0.207656,0.050827,0.023425,-0.722449,0.689155,26
19646302321,0.030789,0.243905,0.205202,0.04162,0.012468,-0.725311,0.687049,27
19646368968,0.035819,0.228619,0.200295,0.017868,-0.009555,-0.728262,0.684999,29
19646402291,0.037916,0.205112,0.199905,0.007288,-0.020473,-0.728509,0.684692,30
19646435614,0.039778,0.172389,0.202207,0.001073,-0.024404,-0.727399,0.68578,31
19646468938,0.039993,0.131677,0.206805,-0.001328,-0.025732,-0.726026,0.687184,32
19646502261,0.040372,0.086675,0.211995,-0.002818,-0.019717,-0.723141,0.690413,33
19646568908,0.036832,0.017285,0.218337,-0.003956,-0.019627,-0.710217,0.703698,35
19646602231,0.034946,-0.000321,0.222066,0.000373,-0.010946,-0.707178,0.706951,36
19646635555,0.032429,-0.005373,0.221851,0.003979,-0.005962,-0.702857,0.711295,37
19646668878,0.03076,-0.003767,0.215529,-0.012464,-0.028015,-0.705789,0.707758,38
19646702202,0.030174,0.001598,0.210084,-0.022101,-0.032979,-0.70741,0.705687,39
19646768849,0.029903,0.00647,0.203849,-0.032727,-0.029765,-0.70735,0.705478,41
19646802172,0.030586,0.000118,0.20104,-0.037724,-0.031375,-0.70876,0.703741,42
19646835495,0.031496,-0.014101,0.198534,-0.041272,-0.032422,-0.71148,0.700744,43
19646868819,0.031403,-0.035925,0.195139,-0.045887,-0.036777,-0.714677,0.696978,44
19646902142,0.031814,-0.062446,0.190826,-0.054476,-0.045998,-0.714476,0.696018,45
19646968789,0.032526,-0.089982,0.179495,-0.060824,-0.072382,-0.70698,0.700886,47
19647002112,0.03321,-0.06436,0.17675,-0.041477,-0.074883,-0.70945,0.699537,48
19647035436,0.03513,-0.009414,0.176832,-0.025963,-0.07618,-0.718728,0.690618,49
19647068759,0.036148,0.064022,0.180472,-0.00976,-0.059011,-0.725838,0.685261,50
19647102082,0.035765,0.135458,0.188858,0.011632,-0.032591,-0.727265,0.685484,51
19647168729,0.033854,0.231638,0.200322,0.048832,0.010352,-0.722958,0.689086,53
19647202053,0.033937,0.252804,0.19704,0.042753,0.004398,-0.722377,0.690163,54
19647235376,0.034575,0.258509,0.193013,0.03355,-0.00156,-0.721521,0.691577,55
19647268699,0.034803,0.252028,0.189528,0.02793,-0.009693,-0.721143,0.692155,56
19647302023,0.035258,0.234943,0.186702,0.021839,-0.021079,-0.722969,0.690213,57
19647335346,0.035927,0.207916,0.185716,0.01644,-0.024251,-0.726367,0.686682,58
19647401993,0.032726,0.127782,0.188933,0.00432,-0.022596,-0.725281,0.688068,60
19647435316,0.029583,0.07889,0.190057,0.001892,-0.020749,-0.719068,0.694627,61
19647468640,0.024844,0.035213,0.189827,-0.008037,-0.0198,-0.7142,0.699616,62
19647501963,0.023337,0.004369,0.186837,-0.030967,-0.02974,-0.715696,0.697091,63
19647535287,0.020097,-0.01119,0.188116,-0.032744,-0.028961,-0.712409,0.700402,64
19647601933,0.013365,-0.006719,0.185841,-0.061517,-0.06109,-0.706499,0.702383,66
19647635257,0.013246,0.002854,0.183984,-0.068673,-0.067668,-0.70863,0.698963,67
19647668580,0.011051,0.011875,0.185752,-0.069751,-0.050082,-0.712575,0.696321,68
19647701904,0.011013,0.018392,0.187336,-0.066646,-0.023938,-0.718375,0.692042,69
19647735227,0.010445,0.022196,0.187867,-0.065948,-0.001182,-0.721599,0.689162,70
19647801874,0.009658,0.023769,0.187624,-0.073805,-0.019159,-0.722375,0.687285,72
19647835197,0.009802,0.023339,0.188219,-0.076763,-0.032992,-0.722187,0.686633,73
19647868521,0.007398,0.023828,0.189731,-0.083945,-0.018085,-0.717765,0.69097,74
19647901844,0.00649,0.02441,0.191036,-0.088504,-0.003886,-0.71706,0.691359,75
19647935167,0.005827,0.025084,0.192513,-0.092573,0.003888,-0.716689,0.691211,76
19648001814,0.005495,0.02646,0.198665,-0.091784,0.018892,-0.710658,0.697269,78
19648035138,0.00527,0.027346,0.200611,-0.088789,0.016969,-0.707127,0.701284,79
19648068461,0.006174,0.027393,0.201889,-0.087672,0.004346,-0.704882,0.703872,80
19648101784,0.009213,0.027077,0.202649,-0.093862,0.000955,-0.707241,0.700713,81
19648135108,0.013311,0.02647,0.202905,-0.108372,0.013817,-0.712174,0.69345,82
19648201755,0.020918,0.025177,0.20447,-0.133348,0.018625,-0.719124,0.681713,84
19648235078,0.022067,0.02552,0.206926,-0.124791,0.011018,-0.716675,0.686063,85
19648268401,0.022929,0.026706,0.209019,-0.103348,-0.008307,-0.713329,0.693118,86
19648301725,0.023646,0.02841,0.209331,-0.095657,-0.02275,-0.709549,0.697762,87
19648335048,0.024318,0.030331,0.20903,-0.089552,-0.043145,-0.705027,0.702179,88
19648401695,0.024325,0.034039,0.208277,-0.086584,-0.073434,-0.696155,0.708857,90
19648435018,0.025786,0.03516,0.209072,-0.081617,-0.075166,-0.696956,0.708478,91
19648468342,0.02705,0.036548,0.210881,-0.076027,-0.067317,-0.700334,0.706556,92
19648501665,0.029774,0.036488,0.21155,-0.069398,-0.062961,-0.704777,0.703213,93
19648534989,0.033119,0.035627,0.211365,-0.063913,-0.067168,-0.709492,0.698587,94
19648568312,0.035892,0.034914,0.21245,-0.062253,-0.073503,-0.711544,0.696008,95
19648634959,0.039817,0.035653,0.212909,-0.056891,-0.075029,-0.708152,0.699754,97
19648668282,0.039314,0.034686,0.213663,-0.051072,-0.071698,-0.705447,0.703275,98
19648701606,0.040172,0.034636,0.213118,-0.052769,-0.062391,-0.704163,0.705321,99
19648734929,0.040875,0.034479,0.211546,-0.057584,-0.060686,-0.700392,0.708839,100
19648768253,0.038601,0.030873,0.212166,-0.060649,-0.065983,-0.695478,0.712936,101
19648834899,0.038085,0.030564,0.210777,-0.056853,-0.080363,-0.691001,0.71612,103
19648868223,0.035783,0.030013,0.210739,-0.059692,-0.083202,-0.690559,0.71599,104
19648901546,0.035697,0.029713,0.209517,-0.066321,-0.083113,-0.689996,0.715961,105
19648934869,0.036261,0.029156,0.208313,-0.068275,-0.087281,-0.692378,0.712975,106
19648968193,0.034687,0.02834,0.206967,-0.07118,-0.091881,-0.694702,0.709845,107
19649034839,0.034764,0.027213,0.203001,-0.078313,-0.097369,-0.693617,0.709424,109
19649068163,0.033454,0.027191,0.202602,-0.080653,-0.093583,-0.691925,0.711321,110
19649101486,0.033823,0.02678,0.201685,-0.084971,-0.090069,-0.694055,0.709194,111
19649134810,0.034144,0.0264,0.200757,-0.085798,-0.092145,-0.692652,0.710198,112
19649168133,0.033206,0.026468,0.200822,-0.083345,-0.096309,-0.691432,0.711125,113
19649234780,0.033272,0.025268,0.199708,-0.085706,-0.101779,-0.69277,0.708777,115
19649268103,0.032468,0.025087,0.199282,-0.088388,-0.103133,-0.692673,0.708347,116
19649301427,0.032474,0.024994,0.19998,-0.085266,-0.09872,-0.693108,0.708933,117
19649334750,0.03262,0.024803,0.200468,-0.084887,-0.09843,-0.694623,0.707534,118
19649368074,0.030608,0.023908,0.200433,-0.087807,-0.101831,-0.695547,0.705786,119
19649434721,0.029784,0.022715,0.201951,-0.092376,-0.108541,-0.695037,0.704704,121
19649468044,0.027778,0.021891,0.204186,-0.092601,-0.108437,-0.694261,0.705456,122
19649501367,0.026324,0.021109,0.206703,-0.091571,-0.110486,-0.693062,0.706451,123
19649534690,0.025231,0.020351,0.209605,-0.089716,-0.116906,-0.692217,0.706484,124
19649568014,0.023075,0.020322,0.212027,-0.087917,-0.119467,-0.692248,0.706252,125
19649601337,0.021126,0.020008,0.21521,-0.086968,-0.118029,-0.693237,0.705641,126
19649667984,0.017995,0.018881,0.222324,-0.085787,-0.112353,-0.694945,0.705031,128
19649701308,0.017052,0.017352,0.225718,-0.087094,-0.107383,-0.696082,0.704524,129
19649734631,0.016549,0.014922,0.229686,-0.08309,-0.107968,-0.696844,0.704164,130
19649767954,0.015998,0.010282,0.234711,-0.078748,-0.115356,-0.695726,0.704597,131
19649801278,0.01603,0.00588,0.237657,-0.076995,-0.124848,-0.69388,0.704993,132
19649867924,0.016424,-0.003672,0.241968,-0.076609,-0.135346,-0.692255,0.704695,134
19649901248,0.017006,-0.008492,0.242442,-0.080883,-0.134008,-0.69338,0.703366,135
19649934571,0.017616,-0.012405,0.242283,-0.084802,-0.12676,-0.693016,0.704606,136
19649967895,0.018515,-0.01569,0.241811,-0.086507,-0.117166,-0.69128,0.707757,137
19650001218,0.01873,-0.018531,0.241453,-0.085998,-0.110603,-0.688351,0.71172,138
19650067865,0.019027,-0.024765,0.239676,-0.087341,-0.104979,-0.684399,0.716204,140
19650101188,0.019758,-0.028036,0.2396,-0.085949,-0.100879,-0.686292,0.71515,141
19650134512,0.020866,-0.031332,0.239749,-0.085278,-0.097238,-0.689158,0.712975,142
19650167835,0.021762,-0.034787,0.240039,-0.086266,-0.094793,-0.692883,0.709567,143
19650201158,0.022558,-0.03795,0.240174,-0.086952,-0.092334,-0.6959,0.70685,144
19650267805,0.022508,-0.043489,0.23883,-0.092506,-0.09636,-0.697725,0.703802,146
19650301128,0.022739,-0.045726,0.238301,-0.095039,-0.098798,-0.697634,0.703216,147
19650334452,0.022339,-0.046844,0.237267,-0.099179,-0.100125,-0.694771,0.705289,148
19650367775,0.020946,-0.046847,0.237574,-0.099784,-0.102443,-0.692324,0.707274,149
19650401099,0.020299,-0.047102,0.236762,-0.100365,-0.10554,-0.690711,0.708313,150
19650467745,0.01938,-0.047064,0.23738,-0.095123,-0.108242,-0.688258,0.71101,152
19650501069,0.019469,-0.047251,0.238178,-0.093089,-0.10602,-0.688689,0.711197,153
19650534392,0.020029,-0.047876,0.239258,-0.090067,-0.102843,-0.69116,0.709654,154
19650567716,0.021138,-0.050409,0.239753,-0.089011,-0.101695,-0.695297,0.705901,155
19650601039,0.022482,-0.052653,0.23991,-0.089762,-0.101495,-0.699061,0.702107,156
19650667686,0.025617,-0.057072,0.241292,-0.08637,-0.09979,-0.709623,0.692111,158
19650701009,0.027524,-0.058443,0.242952,-0.082489,-0.095781,-0.714422,0.688203,159
19650734332,0.029384,-0.059347,0.244598,-0.078464,-0.092751,-0.718524,0.684809,160
19650767656,0.029946,-0.05972,0.246781,-0.074596,-0.089594,-0.72194,0.682063,161
19650800979,0.031171,-0.060412,0.248624,-0.06932,-0.087151,-0.725607,0.679039,162
19650834303,0.032941,-0.061458,0.249728,-0.066009,-0.086591,-0.729626,0.675123,163
19650900950,0.036388,-0.063951,0.247409,-0.06314,-0.08686,-0.735054,0.669451,165
19650934273,0.037216,-0.064105,0.247523,-0.061984,-0.087276,-0.735791,0.668694,166
19650967596,0.038087,-0.064384,0.247637,-0.060985,-0.087135,-0.736554,0.667964,167
19651000919,0.038721,-0.064325,0.248678,-0.057023,-0.084549,-0.737408,0.667704,168
19651034243,0.039241,-0.0644,0.249799,-0.053534,-0.082594,-0.738481,0.667052,169
19651100890,0.042857,-0.068617,0.250839,-0.048913,-0.091977,-0.745053,0.65882,171
19651134213,0.043405,-0.069915,0.250792,-0.049,-0.090491,-0.746475,0.657408,172
19651167536,0.043611,-0.070309,0.250253,-0.051534,-0.094838,-0.745544,0.657658,173
19651200860,0.042969,-0.070028,0.250396,-0.050848,-0.096478,-0.742163,0.661288,174
19651234183,0.042271,-0.070438,0.251873,-0.042518,-0.09513,-0.739382,0.665175,175
19651300830,0.040421,-0.072965,0.254282,-0.032164,-0.086241,-0.733654,0.673261,177
19651334153,0.039367,-0.074619,0.255056,-0.033305,-0.083225,-0.728462,0.679197,178
19651367477,0.036598,-0.076223,0.256567,-0.034293,-0.082887,-0.722082,0.685967,179
19651400800,0.034633,-0.078453,0.258027,-0.033541,-0.083563,-0.716094,0.692171,180
19651434124,0.0332,-0.081129,0.258759,-0.035048,-0.084419,-0.710325,0.697914,181
19651500770,0.030305,-0.08706,0.26219,-0.03304,-0.082208,-0.70248,0.706168,183
19651534094,0.030113,-0.090783,0.265003,-0.027392,-0.07716,-0.702103,0.707352,184
19651567417,0.030109,-0.095193,0.268062,-0.022795,-0.069563,-0.70423,0.706188,185
19651600740,0.030751,-0.100303,0.270608,-0.021654,-0.066223,-0.708214,0.702551,186
19651634064,0.031462,-0.105182,0.272977,-0.018648,-0.06488,-0.711992,0.698936,187
19651700711,0.030985,-0.115181,0.277342,-0.015179,-0.064298,-0.71698,0.693956,189
19651734034,0.031109,-0.119068,0.279453,-0.011946,-0.062987,-0.718255,0.692821,190
19651767358,0.031328,-0.12287,0.281976,-0.006562,-0.05958,-0.717867,0.693595,191
19651800681,0.030835,-0.126229,0.284688,-0.000182,-0.054785,-0.71533,0.696636,192
19651834004,0.030256,-0.12958,0.287201,0.004894,-0.049589,-0.712393,0.700009,193
19651900651,0.030484,-0.134199,0.287772,0.002685,-0.051288,-0.71078,0.701537,195
19651933974,0.030745,-0.135133,0.287979,-0.001627,-0.05513,-0.711966,0.700045,196
19651967298,0.030289,-0.13488,0.287969,-0.004743,-0.058253,-0.712724,0.699005,197
19652000621,0.029799,-0.135243,0.288308,-0.007217,-0.059586,-0.712456,0.699145,198
19652033945,0.029316,-0.135965,0.288801,-0.009652,-0.060679,-0.711574,0.699919,199
19652067268,0.029077,-0.13624,0.288481,-0.011068,-0.06184,-0.711204,0.700173,200
19652133915,0.030223,-0.136568,0.289774,-0.012833,-0.059094,-0.712855,0.698699,202
19652167238,0.030587,-0.135575,0.289926,-0.011928,-0.059928,-0.713056,0.698439,203
19652200561,0.030729,-0.1356,0.290305,-0.011824,-0.061603,-0.712847,0.698509,204
19652233885,0.030581,-0.13573,0.290575,-0.012245,-0.063631,-0.712437,0.698738,205
19652267208,0.031879,-0.136022,0.288144,-0.012673,-0.064973,-0.712132,0.698917,206
