timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
5287756941,-0.02516,0.221818,0.266257,0.018474,0.004598,-0.70952,0.704428,0
5287790265,-0.025384,0.211876,0.264428,0.010479,-0.009959,-0.711126,0.702916,1
5287856911,-0.024251,0.160737,0.268036,0.005945,-0.019291,-0.715339,0.698486,3
5287890235,-0.025438,0.121484,0.272085,0.004446,-0.01888,-0.715337,0.69851,4
5287956881,-0.03093,0.02832,0.286114,-0.002968,-0.014527,-0.709059,0.704993,6
5287990205,-0.034423,-0.008179,0.289727,-0.011908,-0.019001,-0.705038,0.708815,7
5288023528,-0.039419,-0.029939,0.29734,-0.010831,-0.019715,-0.700714,0.713088,8
5288090174,-0.040704,-0.026687,0.293321,-0.031007,-0.052576,-0.702304,0.709256,10
5288123498,-0.041069,-0.013445,0.294031,-0.025632,-0.05258,-0.703893,0.707893,11
5288190145,-0.043414,0.002352,0.301419,-0.006132,-0.033948,-0.70173,0.711608,13
5288223468,-0.044926,-0.001796,0.303357,-0.002333,-0.027694,-0.701175,0.712448,14
5288256791,-0.047082,-0.014951,0.301467,-0.00773,-0.027086,-0.700247,0.713345,15
5288323438,-0.051041,-0.065262,0.294152,-0.033873,-0.049931,-0.699447,0.712133,17
5288356761,-0.052139,-0.094409,0.290775,-0.04588,-0.053282,-0.699738,0.71093,18
5288390085,-0.053573,-0.108261,0.286373,-0.055919,-0.06243,-0.698399,0.710784,19
5288456731,-0.055585,-0.041408,0.27935,-0.059163,-0.077104,-0.7059,0.701612,21
5288490055,-0.059148,0.031507,0.287493,-0.029685,-0.059751,-0.708354,0.702697,22
5288556701,-0.067034,0.149571,0.317914,0.039686,0.016222,-0.703103,0.709794,24
5288590025,-0.069045,0.183223,0.318023,0.041044,0.021584,-0.700154,0.712484,25
5288623348,-0.069773,0.201852,0.311208,0.029905,0.008035,-0.699999,0.713473,26
5288689995,-0.067896,0.204146,0.302096,0.017245,-0.01912,-0.710181,0.703548,28
5288723318,-0.067202,0.189271,0.302858,0.019427,-0.021741,-0.713879,0.699662,29
5288789965,-0.069165,0.123656,0.302734,0.013806,-0.028615,-0.713218,0.700222,31
5288823288,-0.071796,0.071972,0.300287,0.004149,-0.044729,-0.712608,0.700123,32
5288856611,-0.075108,0.017208,0.298111,-0.007331,-0.056919,-0.709953,0.701907,33
5288923258,-0.077756,-0.042163,0.297387,-0.029698,-0.073937,-0.701732,0.707972,35
5288956581,-0.079267,-0.044009,0.293886,-0.042923,-0.077705,-0.701707,0.706914,36
5289023228,-0.079668,-0.021226,0.298733,-0.020393,-0.08683,-0.70584,0.702734,38
5289056552,-0.080592,-0.010725,0.300682,-0.007042,-0.082914,-0.703137,0.706168,39
5289089875,-0.080031,-0.006054,0.303627,0.004684,-0.074524,-0.702698,0.707559,40
5289156521,-0.079694,-0.019997,0.297106,0.000611,-0.08351,-0.703152,0.706118,42
5289189845,-0.080549,-0.03719,0.29266,-0.009124,-0.09462,-0.702275,0.705531,43
5289223168,-0.081924,-0.061336,0.28766,-0.020671,-0.105332,-0.700514,0.70552,44
5289289815,-0.084666,-0.11181,0.278502,-0.048188,-0.126026,-0.697502,0.703766,46
5289323138,-0.084915,-0.114051,0.27457,-0.053486,-0.13196,-0.699637,0.700167,47
5289389785,-0.087354,-0.018324,0.276766,-0.025329,-0.099811,-0.714746,0.691762,49
5289423108,-0.090106,0.057499,0.286203,0.004638,-0.069839,-0.723124,0.687163,50
5289456432,-0.092806,0.123997,0.296439,0.034741,-0.043555,-0.728658,0.682608,51
