frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.018101,0.270355,0.276001,0.001732,0.057353,-0.708905,0.702966,-0.255840719337482,22.669902908337114,-9.087013537424802,-0.1567100994292646,9.606779169562458,-1.963573862630129,-1.6687252521514893,0.1792384833097458,0.098753422498703,0.2832613356159522,0.3356628198292782,0.6981725248134834,0.5653747722654362,0.9204148054122924,0.5238840579986572,-1.077152967453003,17.69549420133233,-15.540300034737584,9.597501638129351,0.0372752770781517,-0.1168780103325843,17.544292416995763,0.7860054969787598,1.0947370917338877,1.5169237355858087
1,0.019933,0.263789,0.275767,-0.000915,0.053179,-0.711421,0.70075,1.1815081241488457,15.176592979317904,-4.894829558855295,-0.169509119519405,9.722206460684538,-1.2729329006537795,-1.698271870613098,-0.0614699274301528,-0.2171692103147506,0.2935786606113655,0.3227322156120966,0.6787823139998981,0.5906861273926707,1.1953903436660769,0.7545515894889832,-1.458549737930298,11.498726304352283,-13.153407236289976,4.310581225413084,0.0956590473651886,-0.44258514046669,14.939632481414078,0.2862845361232757,1.0467182531699537,0.860858339362964
2,0.023294,0.243402,0.275698,-0.010942,0.043258,-0.712618,0.700132,0.7656647849090397,1.853409606602788,-0.9857365457236766,-0.3121133175110444,9.779417709681391,-0.6602765111118555,-1.2823147773742676,-0.1691589206457138,-0.3607041537761688,0.3099487156988473,0.3106365718817753,0.661188062962793,0.6084957716093196,0.918204128742218,1.0798677206039429,-1.3066034317016602,3.114799076718092,-4.488964446663856,-0.5019891524285077,-0.0151839889585971,-1.3075230121612549,5.451872489985823,0.046991016715765,0.8999251521211117,0.8816610350254923
3,0.026415,0.168537,0.271979,-0.03758,0.017345,-0.710004,0.70298,-1.4734968279220162,-9.556175940528512,-0.9457844745635986,-0.3103333387590944,9.801133866927026,-0.1090106198796536,-1.8887039422988887,0.2485484778881073,0.2857230305671692,0.3181865405900642,0.3015157997958358,0.6439302890394752,0.6270562061130254,1.9668240547180176,1.0830293893814087,-0.9890363216400146,-4.912119716352224,1.9062649984776967,-1.5542553951144218,0.0127943353727459,-1.2594470977783203,-8.673183145442605,0.3382484316825866,-1.6277096306428311,-0.6707900871459395
4,0.027552,0.120379,0.271952,-0.04565,0.006503,-0.70953,0.703165,-0.0850695439930073,-13.744195200634,1.9209364979088304,-0.2209393008967861,9.78747709749639,0.5717268516518176,-1.1774708032608032,0.1357256919145584,0.1623494029045105,0.3216014252051227,0.2894006594411584,0.6221714407040149,0.6524741602100198,1.499690055847168,0.7335057258605957,-0.7701871991157532,-9.956600907492636,6.241281576967239,-8.097063173398375,-0.2624854445457458,0.3119477331638336,-10.181951631623503,0.1772298216819763,-2.3550934924744067,-2.2771856385380027
5,0.027333,0.071718,0.272563,-0.049935,0.003277,-0.708766,0.703667,-0.0843838267511688,-14.776187301576137,1.1899907058119774,-0.1800258556249551,9.77440075830221,0.7740024782087653,0.0745370537042617,-0.2803268134593963,0.0583297759294509,0.3250241282825259,0.289050345570806,0.6139924693567607,0.6586520506537813,0.0203566439449787,0.3438688218593597,-0.0876291245222091,-11.1343447106719,6.380096173417567,-10.164368044137952,-0.2356995046138763,-0.1885259747505188,-7.77535927644968,-0.3949547410011291,-0.9741839820306748,-1.066950893859565
6,0.025775,0.031484,0.27237,-0.057105,-0.003113,-0.706552,0.705346,-0.2420829554840922,-14.489278239154816,-1.4857541058182715,-0.149967502434412,9.782127553161978,0.676663655354455,0.2873933315277099,-0.152838259935379,0.1248468309640884,0.3253831587496427,0.2942539628409393,0.6155602004557104,0.6546953717350501,-0.2103636562824249,0.2612414956092834,0.3634474277496338,-10.740299800133704,4.737659806025028,-9.13737302083075,-0.1703136414289474,-0.2698414921760559,-9.50197965543866,-0.0112519236281514,-1.1215823554962874,-0.5927350798238068
7,0.02477,0.005787,0.27533,-0.060036,-0.010579,-0.702658,0.708912,-0.6226536866169422,-12.88663144583702,-0.6562398760069161,-0.0682229381456505,9.79002912006676,0.5666069513548165,0.5010837316513062,0.0020545583683997,0.231105774641037,0.3219941986693543,0.2996017782659322,0.6175353106481128,0.6520801939195572,-0.2986280024051666,0.103901021182537,0.561659574508667,-8.781638843986391,4.845281391832232,-8.031825854334235,-0.3312674760818481,-0.3871424496173858,-9.90470939221382,0.0808330178260803,-1.5896851665444671,-1.2532184386193752
8,0.024068,-0.004291,0.274675,-0.07219,-0.028057,-0.703807,0.706156,0.2727941374270245,-11.079539938294888,0.5797299792349339,-0.0384615723074181,9.804327694532274,0.2099074731422588,1.1330314874649048,-0.0062034525908529,-0.0599339008331298,0.3155153528836191,0.3063681384253379,0.6288372292823364,0.6412116056541193,-0.7457786202430725,0.0164951663464307,0.7721861004829407,-7.800445202389359,5.015552033776045,-8.364548573425411,-0.3522567451000213,-0.5136075019836426,-9.37357597836554,-0.1561796218156814,-1.7528849933192132,-1.3128316341914237
9,0.026158,0.001416,0.277112,-0.076139,-0.024526,-0.709046,0.700611,0.7326533266671001,-9.7397099686712,-0.3075929540097713,-0.0627256559036206,9.804052969244122,-0.2167373922275379,1.0706217288970947,0.0439631976187229,-0.0530063994228839,0.3089902644424417,0.311787128495986,0.6433034419738918,0.6272753564271685,-0.6940554976463318,-0.0894189104437828,0.7731244564056396,-6.973484675648808,4.369644824278354,-5.416252310550212,-0.0513742826879024,-0.3979717195034027,-9.651876202395558,-0.2108231782913208,-2.176617186112702,-1.0784740122623742
