timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
23219670476,0.033677,0.254905,0.3545,-0.017635,-0.007033,-0.720484,0.693211,0
23219703800,0.033351,0.248617,0.357711,-0.023225,-0.003117,-0.718821,0.6948,1
23219737123,0.032906,0.230179,0.360983,-0.030313,-0.005827,-0.715951,0.697468,2
23219803770,0.032079,0.159446,0.3648,-0.051201,-0.016433,-0.710141,0.702004,4
23219837093,0.031606,0.112526,0.368044,-0.057961,-0.017677,-0.706807,0.704807,5
23219870416,0.031143,0.068871,0.369169,-0.067058,-0.02075,-0.702154,0.708557,6
23219903740,0.030904,0.033153,0.369068,-0.074609,-0.0274,-0.703251,0.706484,7
23219937063,0.030909,0.008848,0.369809,-0.073805,-0.030605,-0.704909,0.704783,8
23220003710,0.031388,-0.006601,0.360345,-0.097752,-0.055444,-0.699151,0.706087,10
23220037033,0.032214,-0.003332,0.357849,-0.100052,-0.055255,-0.701234,0.70371,11
23220070357,0.032549,-0.00033,0.355665,-0.099554,-0.05407,-0.703046,0.702063,12
23220103680,0.032486,-0.00047,0.355806,-0.097466,-0.048647,-0.702994,0.702804,13
23220137003,0.032125,-0.008604,0.357676,-0.096592,-0.043295,-0.701872,0.704395,14
23220203650,0.031959,-0.049456,0.359189,-0.108898,-0.038061,-0.698875,0.70588,16
23220236973,0.035128,-0.069284,0.35679,-0.119917,-0.054528,-0.701945,0.699943,17
23220270296,0.039702,-0.067982,0.355854,-0.112845,-0.075922,-0.70855,0.69243,18
23220303620,0.042036,-0.036895,0.360848,-0.091154,-0.06509,-0.712245,0.692937,19
23220336944,0.041841,0.01837,0.366869,-0.068698,-0.048148,-0.710026,0.699161,20
23220370267,0.040643,0.084411,0.371387,-0.048113,-0.031658,-0.705887,0.705979,21
23220436913,0.040116,0.199484,0.374988,-0.020966,-0.001178,-0.709193,0.704702,23
23220470237,0.043278,0.235169,0.375799,-0.006449,0.015452,-0.711092,0.702899,24
23220503560,0.045405,0.256136,0.375054,-0.003756,0.019581,-0.711824,0.702074,25
