timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
16935234753,0.0439,0.262965,0.170319,-0.026561,0.030249,-0.724487,0.688112,0
16935268076,0.042668,0.260104,0.167838,-0.032585,0.024246,-0.722612,0.690059,1
16935334722,0.041093,0.218687,0.166658,-0.047869,0.011011,-0.719091,0.693178,3
16935368046,0.040228,0.180751,0.168299,-0.056751,0.010388,-0.718431,0.693202,4
16935401369,0.038686,0.134636,0.171651,-0.06609,0.010487,-0.7165,0.69437,5
16935434692,0.035,0.08585,0.174661,-0.07492,0.011544,-0.708865,0.701259,6
16935501339,0.032997,0.022275,0.177118,-0.084369,0.013853,-0.706887,0.70214,8
16935534662,0.031478,0.016687,0.178724,-0.082114,0.010081,-0.703776,0.705589,9
16935567985,0.031792,0.02364,0.175463,-0.091695,-0.00618,-0.704936,0.703291,10
16935634632,0.032102,0.045939,0.176705,-0.07778,0.001149,-0.716758,0.692969,12
16935667955,0.031723,0.047046,0.178203,-0.069273,0.005047,-0.719848,0.690648,13
16935701279,0.030592,0.035529,0.178773,-0.068499,0.002529,-0.720475,0.690085,14
16935767925,0.026214,-0.018584,0.178236,-0.080718,-0.016608,-0.712025,0.697302,16
16935801248,0.024461,-0.048647,0.179377,-0.087423,-0.030218,-0.707901,0.700228,17
16935834572,0.025027,-0.063951,0.180529,-0.084233,-0.037146,-0.711321,0.696813,18
16935867895,0.026527,-0.05472,0.181816,-0.077428,-0.033627,-0.715887,0.693094,19
16935934542,0.025845,0.039295,0.182051,-0.058799,-0.02478,-0.712918,0.698339,21
16935967865,0.027874,0.105834,0.183581,-0.046228,-0.009732,-0.716046,0.696453,22
16936001188,0.031079,0.166501,0.189901,-0.025571,0.016448,-0.717116,0.69629,23
16936067835,0.033524,0.23907,0.193464,0.007555,0.03611,-0.719981,0.693013,25
16936101158,0.033612,0.251122,0.187078,0.004694,0.025691,-0.72031,0.69316,26
16936134481,0.032616,0.251133,0.180313,-0.004936,0.02116,-0.718803,0.694874,27
16936167805,0.030629,0.239598,0.175215,-0.018988,0.016595,-0.716052,0.697591,28
