frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.04398,0.231369,0.318638,-0.025668,0.038396,-0.720943,0.691453,0.5260420820586383,24.4943570540905,-7.029379581350088,0.1088703072266653,9.513478954574463,-2.3774391797952354,0.1268525421619415,-0.0600520446896553,-0.038127064704895,0.5938205813958569,0.7627877002079881,0.1984202222349124,0.1617446798626009,-0.1587972939014434,0.2330771535634994,0.2856039702892303,17.92332563636303,-14.187019631910324,3.401369700965285,0.2456524968147277,-0.110366903245449,14.65655671354532,0.4703940153121948,2.714682737311721,0.4464892008615657
1,0.046319,0.223888,0.316053,-0.033536,0.032065,-0.722423,0.689893,-0.2889728265507146,23.687630337083338,-9.495448207843303,0.1165903618183918,9.551220948469638,-2.220577031609416,-1.1551049947738647,0.1667095720767974,0.058054719120264,0.5998835115774747,0.757803207082417,0.1973631739634676,0.164078703557299,0.9818758368492126,0.999306619167328,-0.6360099911689758,19.028831886327264,-17.15561224836111,3.1280875973582267,0.3340736925601959,0.0347111411392688,17.105711614638565,0.5442512035369873,2.6478914668038485,0.0113608633460709
2,0.05523,0.176071,0.316454,-0.049015,0.019202,-0.72529,0.686427,1.8374531819276512,15.59488268879652,-6.651101564264297,0.1286353030050639,9.656761051827669,-1.703165853643417,-1.342604398727417,-0.2038509249687194,-0.0279977861791849,0.6199920177436141,0.7415250292314712,0.1922964511952567,0.1696245370179269,0.8426833152770996,1.0669207572937012,-1.075666069984436,11.140628320986032,-12.42261809605956,-2.0576339560747146,0.2842578887939453,-0.0484160147607326,14.075170199275016,-0.3560992479324341,2.4398526736103,-1.221003610647842
3,0.05855,0.137485,0.317325,-0.05701,0.013022,-0.724523,0.686766,0.4686201129205524,2.679166602772474,-5.396760843616724,0.0762103932355996,9.75422189362645,-1.0098230122972278,-2.1969704627990723,-0.0864099413156509,-0.1856423318386078,0.6470209554248362,0.7189363046480878,0.1860570745253439,0.1728504652817829,1.3050813674926758,1.177202582359314,-0.8038721680641174,2.859938764986396,-5.538343151214718,-1.7285580690532922,-0.0193077996373176,-1.428216814994812,4.325967595115304,-0.070422351360321,1.3812079819336534,0.9329759194601328
4,0.059861,0.088601,0.317467,-0.064629,0.005772,-0.722823,0.687981,-0.4348255049442872,-14.286294829654691,4.032559233802557,0.004617466343964,9.795520703220369,0.4670436208514496,-1.446239948272705,-0.341372936964035,-0.0026492320466786,0.7002239002437131,0.6677153875247923,0.1741940424964266,0.1830274685632923,0.6386335492134094,0.5485818386077881,-0.2360955029726028,-12.576161475086211,11.2578074242115,-3.412456035386026,-0.1143800616264343,0.7982885241508484,-7.952213972958922,0.4423917531967163,-2.567822197049856,0.2693484722188674
5,0.059544,0.035683,0.317522,-0.071066,0.001836,-0.718635,0.691744,-1.6006598572842776,-13.970407510030268,5.177881361326575,0.0438302140679443,9.786091196095942,0.6331451969496905,0.6252705454826355,-0.0906912833452224,0.1964825540781021,0.7063220386684665,0.6628618392406412,0.1683233765786232,0.1827307324225237,-0.1933057457208633,-0.1170317009091377,0.1019150391221046,-10.814985331022738,8.084234086963534,-6.525846706610918,-0.157020017504692,0.0392837710678577,-9.174141785779597,0.5548498630523682,-2.878319348068535,-0.4011638026326894
6,0.060506,-0.040399,0.317602,-0.082126,-0.005119,-0.715548,0.693701,-0.3610965806603431,-13.51691087809205,-1.9109844282150268,0.1658193981559947,9.800063607347012,0.3188405068742111,0.7101367115974426,-0.0104910377413034,0.3529635369777679,0.6943549975692809,0.6750640820959837,0.1674280236026042,0.1847364195677409,-0.1896553486585617,-0.328717827796936,0.3470373153686523,-10.018538015967607,6.904687033754587,-4.306828302620351,-0.0768093690276146,0.0338317677378654,-9.173318194437028,0.2037942260503769,-2.46755214304924,-1.1829665062636137
7,0.062341,-0.054245,0.316476,-0.083727,-0.016825,-0.715284,0.693596,-0.2952397597246803,-11.425708998936416,-1.7367413755089045,0.2603741249834187,9.802889186161757,0.0772603315467946,0.5888880491256714,-0.0010004997020587,0.1674429774284362,0.6853847117722228,0.6846371152774673,0.1653264638704833,0.1848973911918819,-0.5098594427108765,-0.317344605922699,0.4956223666667938,-8.520209675258398,6.263240895318985,-5.339656562125683,-0.0493555106222629,-0.2390660941600799,-9.50444458424747,-0.1296912431716919,-3.0709146345451472,-1.395216341280937
8,0.065259,-0.053419,0.310489,-0.097082,-0.032394,-0.718143,0.688328,-0.4708540825176984,-9.927570043319465,-1.031547864305973,0.3285486482769251,9.800079389438032,-0.1446035277158487,0.5607634782791138,0.1279323995113372,0.186006486415863,0.6765388008435171,0.6925582616346235,0.1665406331374006,0.1868760027236635,-0.0847403854131698,-0.2470564842224121,0.4717313051223755,-6.856924581104517,5.590901605969667,-3.659277125307917,-0.0116443550214171,-0.0932871922850608,-9.609777766856553,-0.2451941967010498,-3.0196041340246795,-1.1848919213682412
9,0.070237,-0.029201,0.306809,-0.096796,-0.026469,-0.720842,0.685796,0.0801627932563424,-9.804213128241896,-0.1796107537517324,0.3982284067679196,9.791495100966095,-0.3721027259843423,0.5917022824287415,-0.0272332746535539,0.1661953926086425,0.6676087615530423,0.7008003554625402,0.166885653664063,0.1879541324469074,-0.3212597370147705,-0.2638953924179077,0.3206806778907776,-7.285183311411738,6.203171918803453,-3.078260028871893,0.0532517172396183,-0.0953379347920417,-9.673648473742604,-0.2880241274833679,-3.2264854277461765,-0.7460421658765524
