timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
18186131990,0.022207,0.239854,0.267789,-0.016706,0.055724,-0.712803,0.698948,0
18186165313,0.021901,0.2358,0.261463,-0.025412,0.044838,-0.711672,0.700619,1
18186198636,0.022835,0.21954,0.256392,-0.03555,0.033407,-0.711821,0.700665,2
18186265283,0.023354,0.15533,0.249968,-0.051562,0.013525,-0.711903,0.700252,4
18186298606,0.023908,0.112315,0.250122,-0.056475,0.008094,-0.7119,0.69996,5
18186331927,0.023081,0.064612,0.251381,-0.058564,0.007351,-0.707332,0.704413,6
18186365253,0.023631,0.024126,0.251538,-0.062049,0.00433,-0.706899,0.704574,7
18186431899,0.022765,-0.010793,0.258742,-0.051292,0.01639,-0.70959,0.702554,9
18186465223,0.022094,-0.007229,0.257681,-0.057027,0.002178,-0.708361,0.703539,10
18186498546,0.022512,0.002999,0.256895,-0.059724,-0.000627,-0.708509,0.70317,11
18186531869,0.023477,0.014432,0.257669,-0.058958,0.001637,-0.710621,0.701099,12
18186598516,0.025333,0.012889,0.260738,-0.057451,0.002804,-0.712994,0.698807,14
18186631839,0.024894,-0.006348,0.260047,-0.063922,-0.009269,-0.711271,0.699944,15
18186665162,0.023281,-0.037515,0.259501,-0.070126,-0.023494,-0.708325,0.702001,16
18186698486,0.021632,-0.070936,0.25841,-0.077961,-0.035102,-0.705599,0.703435,17
18186765132,0.019466,-0.090152,0.260669,-0.076402,-0.04908,-0.705967,0.702399,19
18186798453,0.020216,-0.055478,0.269291,-0.055259,-0.013376,-0.717523,0.69421,20
18186831779,0.020123,0.002764,0.278125,-0.036595,-0.001333,-0.718456,0.694607,21
18186865102,0.02074,0.069622,0.287401,-0.020468,0.006922,-0.714473,0.699329,22
18186931749,0.024532,0.17355,0.298455,-0.00142,0.040896,-0.712993,0.699976,24
18186965071,0.027853,0.203196,0.294539,-0.007201,0.044558,-0.71683,0.695786,25
18186998396,0.030149,0.218308,0.289553,-0.023733,0.032242,-0.7131,0.699918,26
18187031719,0.031503,0.223342,0.287716,-0.030731,0.02454,-0.709751,0.703354,27
18187098365,0.034882,0.20118,0.297114,-0.018384,0.025501,-0.710434,0.703061,29
18187131688,0.0368,0.173283,0.301796,-0.017337,0.020709,-0.709436,0.704252,30
18187165012,0.038679,0.134498,0.306512,-0.017992,0.016532,-0.71058,0.703192,31
18187198335,0.040364,0.086705,0.310695,-0.020265,0.013312,-0.711327,0.702443,32
18187264982,0.039416,-0.002193,0.315704,-0.030405,0.015472,-0.706406,0.706984,34
18187298305,0.039954,-0.025503,0.317948,-0.027006,0.0216,-0.709115,0.704245,35
18187331629,0.039818,-0.03294,0.318813,-0.021756,0.027908,-0.709562,0.703754,36
18187364951,0.040299,-0.028382,0.313174,-0.036665,0.009767,-0.708224,0.704967,37
18187431598,0.042501,-0.006666,0.30157,-0.049076,-0.009099,-0.711765,0.700642,39
18187464921,0.043319,6.8e-05,0.298255,-0.046154,-0.010598,-0.714034,0.698508,40
18187498244,0.04325,-9.4e-05,0.294948,-0.045809,-0.01341,-0.714735,0.697765,41
18187531568,0.043398,-0.009842,0.291627,-0.047532,-0.019174,-0.714916,0.697329,42
18187598215,0.042331,-0.056363,0.284207,-0.066359,-0.036561,-0.710546,0.69956,44
18187631538,0.04228,-0.085206,0.280165,-0.07717,-0.05233,-0.708359,0.699667,45
