frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.017126,0.153635,0.617696,0.095759,0.060369,-0.688616,0.716236,-0.4243176645312458,19.918291831600666,-9.075988285541534,-0.4711137563671916,9.68227075613737,-1.4839379963070154,-2.14670467376709,-1.034947633743286,0.0488319247961044,-0.0316476449974685,-0.0736477207513724,0.755139584802501,0.650644794444999,2.066749334335327,1.8804168701171875,-1.705868363380432,-1.0211730003356934,1.2424052953720093,-0.1418189406394958,-0.1929152905941009,0.197926327586174,1.595206998705864,-0.0765345767140388,0.2504822062453254,-0.1456819888686295
1,-0.01743,0.145939,0.62375,0.100323,0.068444,-0.69197,0.711638,-0.2433957916483282,6.080313016375899,-8.616247790777683,-0.4780072422079742,9.788157480975984,-0.3658994508974253,-3.3317487239837646,-0.8998085260391235,0.2288344502449035,-0.0202582884555403,-0.056116980278685,0.7179878580193054,0.6934940353953041,2.941397428512573,1.666700005531311,-2.817867994308472,0.1021682024002075,0.3164872527122497,0.9159032702445984,-0.3859550952911377,-0.1807073801755905,0.6719505822926759,0.3771267533302307,0.4817088001396507,1.3710868392832576
2,-0.019368,0.115776,0.621457,0.090003,0.067615,-0.695532,0.709621,2.235368504158408,-11.795879697412252,-4.809864041492343,-0.4370240013692528,9.74719243338108,0.985725220612064,-3.2231545448303223,0.3465624153614044,-0.2050356715917587,-0.0216446436899592,-0.0495737097987702,0.6687932778532971,0.7414780023407754,2.7027299404144287,2.6176016330718994,-2.2417759895324707,1.1181902885437012,-0.3959258794784546,1.263120174407959,-0.3127104043960571,-0.1013210639357566,-0.7684311078172177,0.9267868399620056,-0.0903079378368332,0.9732984313677996
3,-0.021639,0.026513,0.600815,0.022041,0.019483,-0.70148,0.712082,0.8078408157289028,-23.5135643945098,-1.1017173790752888,-0.4910580816347151,9.60863911821544,1.8982384900189933,-1.4633958339691162,0.0577568486332893,0.1670483648777008,-0.0279668295319967,-0.0553465659796547,0.6325768970741151,0.7720111199129762,0.7186266779899597,0.3412298858165741,-0.8398303389549255,2.489288806915283,-1.3380539417266846,1.3594121932983398,-0.3125836849212646,-0.0135007202625274,-1.1586804985299706,0.7230876684188843,-0.0427231524417642,-0.4215921120248734
4,-0.022584,-0.012013,0.58924,-0.017477,-0.01233,-0.699306,0.714503,2.5102362695217133,-23.895633620572088,0.1511520999759435,-0.3759549809657037,9.550923426827788,2.1929205245293675,-0.2540083527565002,0.1632580012083053,0.3537402153015136,-0.0345546104022086,-0.0519857246494915,0.6208781288824121,0.7814178285352862,-0.1958039999008178,-0.0643237382173538,0.6862820386886597,1.758577823638916,-1.0122992992401123,0.8774336576461792,-0.2669198215007782,0.0701183751225471,-1.22728612498343,0.4536524415016174,0.0563489422122482,-0.1286510942292399
5,-0.02349,-0.038923,0.579344,-0.048012,-0.047441,-0.694968,0.715866,1.6879260528050362,-16.4776276466012,3.303617182743549,-0.298840195369441,9.58951005485356,2.030364840877056,1.346516251564026,0.5404654741287231,0.1979466527700424,-0.0431065373177667,-0.0545045762683791,0.6273033185493068,0.7756685028319863,-1.4872668981552124,-1.4257709980010986,1.9006555080413816,1.260414958000183,-0.7274852395057678,0.8714892864227295,-0.1002934202551841,-0.0714126452803611,-0.4744909046500921,0.2523410320281982,0.1907391372159123,0.2827237760933116
6,-0.023606,-0.055292,0.572981,-0.06746,-0.072385,-0.692691,0.714415,-0.5424762437807396,-4.692655127650499,1.8619320818848908,-0.3017793358275666,9.731403328096864,1.1743649743959308,2.757385015487671,0.4038103818893432,0.0924913883209228,-0.0489909561786465,-0.0639350748801183,0.6603304912875956,0.7466431552124384,-3.840841770172119,-2.280141592025757,2.969433546066284,0.0444191694259643,0.0173921585083007,0.2112727165222168,-0.0975355952978134,0.0135557372123003,-0.584219874532707,0.283001035451889,-0.3927998789131641,0.7887513537250459
7,-0.023394,-0.062598,0.571888,-0.073039,-0.072428,-0.693286,0.713284,0.3568641307223588,6.989126481416821,1.2035042673796414,-0.2455338265903294,9.803355050107836,0.0658712102206191,2.9551024436950684,0.4732688367366791,-0.1385372430086136,-0.0524191348952217,-0.069648668925842,0.7012778092965135,0.7075385311743998,-1.5457783937454224,-1.3058136701583862,1.376267433166504,-1.3019354343414309,0.9174655079841614,-0.2596316933631897,-0.2187938690185547,0.7242334485054016,0.1014767263766378,0.6723169684410095,0.1729411580610089,0.958380409829691
8,-0.020607,-0.059158,0.572779,-0.065418,-0.058027,-0.702318,0.706473,-0.9918471375584602,10.584257005506752,-1.808857932692766,-0.341723187148571,9.740719437974692,-1.0825889733005314,2.648362159729004,-0.2418415993452072,-0.1179032623767852,-0.0464850488522252,-0.077962653775445,0.7410253033084158,0.6653138269712909,-2.414607286453247,-1.4776569604873655,0.770965039730072,-0.7917042374610901,0.7274975180625916,-0.3638316392898559,-0.1862660646438598,-0.1331671774387359,0.4418370276741683,0.4193954467773437,0.1879736910905688,-0.0042406246821075
9,-0.019025,-0.044231,0.569484,-0.063551,-0.054421,-0.700826,0.708408,-0.8592090377859771,7.787793810608982,-4.49131568596512,-0.364228156684339,9.611768648412824,-1.910929775418341,1.3624778985977173,-0.0189614780247211,0.0545494258403778,-0.0390312110625186,-0.0767273909721008,0.7691184624199614,0.6332822169670081,-0.031213454902172,-0.5309458374977112,0.4183905720710754,-0.4973347783088684,0.7046366930007935,-0.3508729338645935,-0.2595842778682709,0.1452934890985489,0.6982584512427449,0.1766015738248825,-0.0994047150087077,-0.4083569655397907
