timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
9090703475,-0.017126,0.153635,0.617696,0.095759,0.060369,-0.688616,0.716236,0
9090736798,-0.01743,0.145939,0.62375,0.100323,0.068444,-0.69197,0.711638,1
9090770122,-0.019368,0.115776,0.621457,0.090003,0.067615,-0.695532,0.709621,2
9090836769,-0.021639,0.026513,0.600815,0.022041,0.019483,-0.70148,0.712082,4
9090870092,-0.022584,-0.012013,0.58924,-0.017477,-0.01233,-0.699306,0.714503,5
9090903416,-0.02349,-0.038923,0.579344,-0.048012,-0.047441,-0.694968,0.715866,6
9090936740,-0.023606,-0.055292,0.572981,-0.06746,-0.072385,-0.692691,0.714415,7
9090970063,-0.023394,-0.062598,0.571888,-0.073039,-0.072428,-0.693286,0.713284,8
9091036710,-0.020607,-0.059158,0.572779,-0.065418,-0.058027,-0.702318,0.706473,10
9091070034,-0.019025,-0.044231,0.569484,-0.063551,-0.054421,-0.700826,0.708408,11
9091103357,-0.017832,-0.006248,0.566432,-0.043868,-0.043812,-0.693285,0.717992,12
9091136681,-0.017049,0.051243,0.572092,0.004027,-0.019872,-0.689301,0.724191,13
9091170004,-0.017079,0.110155,0.589542,0.059872,0.018744,-0.68611,0.724788,14
9091203328,-0.015384,0.149899,0.611988,0.101376,0.077775,-0.689748,0.712686,15
9091269975,-0.016224,0.144294,0.636829,0.132671,0.12337,-0.695571,0.695241,17
9091303299,-0.017267,0.109951,0.63329,0.117967,0.113732,-0.697647,0.697451,18
9091336622,-0.017711,0.06807,0.62118,0.08234,0.087303,-0.702722,0.70127,19
9091369946,-0.018072,0.028289,0.606678,0.043441,0.052713,-0.707586,0.703318,20
9091403270,-0.017606,-0.004491,0.593819,0.004202,0.016939,-0.70756,0.706438,21
9091469917,-0.021459,-0.044887,0.576491,-0.050055,-0.045765,-0.69393,0.716841,23
9091503240,-0.022988,-0.054121,0.57415,-0.061718,-0.052674,-0.688,0.721161,24
9091536564,-0.02238,-0.05711,0.572562,-0.069857,-0.054775,-0.68896,0.719342,25
9091569887,-0.02118,-0.048325,0.571182,-0.067692,-0.053423,-0.690283,0.718382,26
9091603211,-0.019848,-0.019436,0.570777,-0.052229,-0.041354,-0.686086,0.724464,27
9091669858,-0.018519,0.088236,0.593566,0.038135,0.014204,-0.675997,0.73578,29
9091703181,-0.018579,0.136825,0.62008,0.09511,0.062941,-0.671507,0.732169,30
9091736505,-0.01894,0.160668,0.643454,0.13519,0.106442,-0.671086,0.721137,31
9091769828,-0.019696,0.156849,0.652216,0.142774,0.111392,-0.675879,0.71442,32
9091803152,-0.019185,0.127399,0.648922,0.133686,0.099937,-0.684698,0.709457,33
9091869799,-0.016601,0.04362,0.617778,0.064334,0.038496,-0.714528,0.695578,35
9091903123,-0.014982,0.013509,0.603206,0.026553,0.005905,-0.718728,0.694759,36
9091936446,-0.01508,-0.002641,0.594277,0.004109,-0.014457,-0.715387,0.698566,37
9091969769,-0.015664,-0.008145,0.590326,-0.006301,-0.022477,-0.711361,0.702439,38
9092003093,-0.015756,-0.006705,0.592872,-0.000791,-0.014371,-0.705557,0.708508,39
9092069740,-0.017559,0.00318,0.596561,0.006846,0.001919,-0.697087,0.716951,41
9092103064,-0.017787,0.007039,0.596387,0.003036,0.002983,-0.692115,0.721775,42
9092136387,-0.017847,0.008432,0.591863,-0.007161,-0.002907,-0.687474,0.726168,43
9092169711,-0.016103,0.007167,0.584714,-0.022006,-0.010475,-0.690706,0.722725,44
9092203035,-0.01114,0.006515,0.58176,-0.036233,-0.011877,-0.698319,0.714771,45
9092236358,-0.006382,0.003629,0.578135,-0.046577,-0.009871,-0.704739,0.707868,46
9092303005,5.6e-05,0.000696,0.57245,-0.055369,-0.031397,-0.709996,0.701323,48
9092336329,0.000413,0.001287,0.571918,-0.057121,-0.027391,-0.710248,0.701095,49
9092369652,-0.000801,0.001504,0.572611,-0.057081,-0.014,-0.708437,0.703323,50
9092402976,0.000256,0.003743,0.574398,-0.053276,-0.012792,-0.709117,0.702958,51
9092436299,0.000708,0.005233,0.575576,-0.051659,-0.010485,-0.707669,0.704575,52
9092502947,0.001374,0.008099,0.575939,-0.054991,-0.00746,-0.699462,0.712512,54
9092536270,0.001341,0.009153,0.575742,-0.054904,-0.012721,-0.695697,0.716121,55
9092569593,0.001011,0.009665,0.575863,-0.054415,-0.014633,-0.693225,0.718515,56
9092602917,0.001044,0.009922,0.576876,-0.051173,-0.015509,-0.691966,0.719947,57
9092636241,0.0025,0.010225,0.578457,-0.047956,-0.015198,-0.693503,0.718695,58
9092702888,0.004281,0.00927,0.581704,-0.0527,-0.007149,-0.700078,0.712083,60
9092736212,0.005932,0.008407,0.581466,-0.063187,-0.004726,-0.705662,0.70571,61
9092769535,0.007547,0.007928,0.581432,-0.06688,-0.000944,-0.709896,0.701123,62
9092802859,0.008053,0.007479,0.581218,-0.062883,-0.005198,-0.710073,0.701296,63
9092836182,0.005354,0.005915,0.582091,-0.059329,-0.010918,-0.707447,0.704187,64
9092902829,0.003717,0.004043,0.580778,-0.063452,-0.016875,-0.703154,0.708,66
9092936153,0.003308,0.003412,0.580647,-0.069551,-0.012451,-0.703554,0.707121,67
9092969477,0.003652,0.002847,0.581669,-0.07239,-0.003051,-0.703997,0.706498,68
9093002800,0.003733,0.002741,0.582184,-0.07236,-0.002484,-0.702471,0.70802,69
9093036123,0.001031,0.004322,0.58326,-0.067246,-0.006408,-0.700784,0.710168,70
9093102771,-0.000642,0.00564,0.58217,-0.062621,-0.018522,-0.701129,0.710038,72
9093136094,-0.002523,0.005602,0.580053,-0.064771,-0.024106,-0.701522,0.709289,73
9093169418,-0.003875,0.006009,0.57899,-0.066681,-0.030692,-0.701074,0.709301,74
9093202741,-0.005659,0.006363,0.579773,-0.061781,-0.03745,-0.699368,0.711102,75
9093236062,-0.007793,0.006984,0.580977,-0.057998,-0.042834,-0.697164,0.713277,76
9093269388,-0.009844,0.007603,0.582221,-0.0552,-0.044171,-0.695319,0.715216,77
9093336036,-0.013599,0.007896,0.585535,-0.049047,-0.028586,-0.696083,0.715713,79
9093369359,-0.013968,0.007322,0.585965,-0.04751,-0.020568,-0.696748,0.715445,80
9093402683,-0.014248,0.006694,0.585706,-0.047307,-0.014422,-0.69616,0.716181,81
9093436006,-0.013622,0.004552,0.586427,-0.045081,-0.012202,-0.695003,0.717488,82
9093469330,-0.013509,0.003649,0.585596,-0.046877,-0.009537,-0.693319,0.719042,83
9093535977,-0.009708,-0.001042,0.587639,-0.039167,-0.005522,-0.694236,0.71866,85
9093569300,-0.008817,-0.002278,0.587565,-0.040657,-0.004776,-0.695438,0.717419,86
9093602624,-0.00828,-0.003291,0.587686,-0.041124,-0.003861,-0.696153,0.716705,87
9093635947,-0.006391,-0.005957,0.587012,-0.041331,-0.007001,-0.69685,0.715991,88
9093669271,-0.006044,-0.007064,0.586596,-0.041484,-0.010348,-0.697463,0.715344,89
9093735918,-0.004701,-0.009034,0.5851,-0.046728,-0.021716,-0.695994,0.716197,91
9093769241,-0.004683,-0.00953,0.584378,-0.049454,-0.031959,-0.693569,0.71798,92
