timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
61653843778,0.067343,0.24889,0.538012,0.024246,0.204052,-0.620971,0.756419,0
61653877101,0.067944,0.240871,0.536476,0.020412,0.201309,-0.625659,0.753398,1
61653943748,0.075325,0.183267,0.51405,-0.013233,0.155984,-0.650238,0.743427,3
61653977072,0.081216,0.148564,0.500289,-0.039658,0.125936,-0.665176,0.734921,4
61654010395,0.086016,0.117455,0.487974,-0.063293,0.094185,-0.67794,0.726306,5
61654077042,0.089378,0.075933,0.47414,-0.09765,0.058012,-0.68783,0.71693,7
61654110366,0.08871,0.06597,0.471492,-0.103026,0.044925,-0.686856,0.71805,8
61654143689,0.087769,0.061091,0.47091,-0.103368,0.044108,-0.685659,0.719195,9
61654210336,0.088596,0.058687,0.473192,-0.099045,0.048054,-0.686658,0.718597,11
61654243660,0.088337,0.057868,0.472116,-0.098482,0.047013,-0.687065,0.718354,12
61654276983,0.089358,0.056115,0.472322,-0.099372,0.045486,-0.687779,0.717646,13
61654343630,0.088572,0.054041,0.4704,-0.10278,0.045755,-0.688361,0.71659,15
61654376954,0.089784,0.055482,0.472863,-0.102947,0.044537,-0.686477,0.718448,16
61654410277,0.090633,0.065623,0.475817,-0.094029,0.049423,-0.684337,0.721387,17
61654476924,0.096193,0.129646,0.492527,-0.041349,0.08929,-0.681476,0.725195,19
61654510248,0.09434,0.177279,0.509537,0.004354,0.126514,-0.670881,0.730681,20
61654543571,0.088443,0.221298,0.527205,0.044077,0.159536,-0.656847,0.735634,21
61654610218,0.077794,0.265585,0.552066,0.072792,0.185631,-0.629452,0.751021,23
61654643542,0.076603,0.258298,0.553554,0.073745,0.183702,-0.627857,0.752736,24
61654676865,0.080678,0.234186,0.550505,0.066061,0.171392,-0.633671,0.75148,25
61654743512,0.092318,0.163599,0.526911,0.013431,0.117975,-0.660868,0.74105,27
61654776836,0.097053,0.130024,0.516326,-0.017429,0.092992,-0.670418,0.735927,28
61654843483,0.101473,0.082373,0.502146,-0.062777,0.052529,-0.687008,0.722025,30
61654876806,0.100826,0.069611,0.499619,-0.070498,0.042774,-0.689455,0.719619,31
61654910130,0.101039,0.06207,0.500763,-0.078036,0.038973,-0.690417,0.718134,32
61654976777,0.099895,0.058756,0.500922,-0.081407,0.036634,-0.690845,0.717471,34
61655010100,0.098982,0.058694,0.500799,-0.082317,0.038062,-0.690732,0.717401,35
61655043424,0.097917,0.057862,0.499358,-0.085745,0.03707,-0.691015,0.716779,36
61655110070,0.09779,0.056648,0.497529,-0.094921,0.035708,-0.69116,0.715551,38
61655143394,0.098206,0.062823,0.495785,-0.095571,0.03887,-0.691004,0.71545,39
61655176718,0.101187,0.081807,0.496438,-0.089629,0.049235,-0.690499,0.716068,40
61655243364,0.099254,0.162739,0.513902,-0.029598,0.112264,-0.673874,0.729667,42
61655276688,0.095936,0.207787,0.531573,0.014771,0.155888,-0.657213,0.73726,43
61655310011,0.091598,0.243514,0.547473,0.052285,0.182434,-0.641015,0.743696,44
61655376658,0.087777,0.264379,0.557615,0.064051,0.190633,-0.631125,0.749158,46
