frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.012585,0.192699,0.521743,0.146383,0.054953,-0.679361,0.716953,-0.5139482145631685,14.001566033881902,-5.482286917471885,-0.1597203140959143,9.58012263330519,-2.0895250319845973,-0.8107600808143616,-0.6812037229537964,0.5477188229560852,-0.1924735043564724,-0.2512948978126305,0.7371478854943134,0.5970073705675092,0.9230892062187196,1.265560269355774,-0.6235871911048889,-1.148144245147705,0.823782742023468,-0.8305803537368774,0.1593129634857177,0.2926210761070251,0.4632078786134719,-0.1018076986074447,0.0353892202239483,-0.0469422223083674
1,0.01524,0.190068,0.520349,0.143529,0.050649,-0.688403,0.709179,1.2064750268187374,11.358214256334303,-7.526222018539905,0.0084325976208754,9.719738024744393,-1.302695293971896,-3.2142772674560547,0.1460292935371399,0.3128502666950226,-0.2040274422427473,-0.2325757656474205,0.7157705569291305,0.6260621898469868,2.568447589874268,1.2908800840377808,-1.4494140148162842,-0.9455055594444276,1.009016513824463,-0.4717252254486084,0.0915938094258308,0.2009757906198501,0.6813841810703277,-0.197687029838562,0.3693288408242166,0.1292814828209579
2,0.018587,0.137122,0.503329,0.102619,0.016396,-0.694663,0.711789,0.9351233067523688,3.0553584612339733,-3.4694133096218107,-0.0061730403496796,9.805544669106602,0.1471587651566136,-3.7823758125305176,0.3815923631191253,-0.3662908971309662,-0.2247174062235192,-0.2217894018548911,0.6658126254052149,0.6760215881522532,2.378769636154175,0.8401616215705872,-2.2030675411224365,-0.3313251137733459,0.5316571593284607,0.2289329171180725,0.0719105377793312,0.0609564781188964,0.5831634608149528,-0.1167940571904182,0.370069941515103,0.5894827634969726
3,0.018629,0.09989,0.495453,0.085178,-0.002002,-0.697133,0.711861,0.1726755841936916,-6.393710857272148,-1.293912852579355,-0.1816537673540413,9.700402625155448,1.4281379292823373,-2.743637800216675,0.2426188141107559,-0.4983399212360382,-0.2377059761366682,-0.216859503402127,0.6165688829253061,0.7185475847992485,1.7429382801055908,0.5846806764602661,-2.063974380493164,0.3408882617950439,0.0326328575611114,0.646049976348877,0.0361475460231304,-0.0376796573400497,-0.0041530280262231,0.0910505279898643,0.0474102051462978,0.5303976103870198
4,0.02077,0.068036,0.489546,0.069261,-0.028208,-0.703038,0.70721,-0.8507301824498921,-14.271377831029891,0.7195759645596146,-0.3942546077661216,9.538488892668486,2.2432485898837444,-1.5481747388839722,-0.3337365090847015,-0.4341635406017303,-0.2383706835374735,-0.2131208242193999,0.5832715197684051,0.7466948515581309,0.7858868837356567,0.3434097170829773,-0.9047733545303344,0.9522398114204408,-0.5961313247680664,0.7523363828659058,0.0149321854114532,0.0424492508172988,-0.823655639976263,0.151009052991867,-0.4473077872354537,-0.3061339873731136
5,0.025156,0.029719,0.481276,0.027052,-0.067614,-0.7128,0.697577,-1.4817743885323404,-18.53865299867988,1.7617717718690633,-0.3500890470968559,9.446372334507108,2.6103391502618787,-0.2854279279708862,-0.2009326070547104,0.6031109690666199,-0.2395671621352001,-0.2036459656187166,0.570471785037643,0.7587475671887346,0.6635420918464661,0.1909746974706649,-0.0440747551620006,1.3559279441833496,-0.5900177955627441,0.8037256002426147,0.04941376298666,0.167193979024887,-0.7711819408953189,-0.049451470375061,-0.3189001646395772,-0.7694611815173178
6,0.024122,0.020855,0.480298,0.021573,-0.074009,-0.708926,0.701057,1.1520981244649735,-16.52804032149911,-0.2166144599676132,-0.095507132181432,9.51692003493905,2.364213787519186,1.3974378108978271,0.0119321588426828,0.3736916482448578,-0.2452236878620361,-0.1976253215552574,0.5834405524913585,0.7486032209882647,-0.8481877446174622,0.9094911813735962,1.2482668161392212,1.2945975065231323,-0.7107888460159302,0.993416666984558,0.1666614115238189,0.012167602777481,-0.4150269082903862,-0.2471572011709213,0.2657406752515584,-0.3575218639787286
7,0.022756,0.016165,0.480842,0.02022,-0.0712,-0.705831,0.704503,1.7650358882315456,-10.486811361277104,-1.265866469398886,-0.1083978217435535,9.6515336725682,1.7339327478289603,1.6559022665023804,0.2389512360095977,-0.2371612191200256,-0.2402119740906663,-0.2077348637440939,0.6069927995477471,0.7284944214682901,-1.2794291973114014,0.6571750044822693,1.4733177423477173,0.8945932388305664,-0.6186013221740723,0.7056893110275269,0.2413287460803985,-0.1810714900493621,-0.4408388104170561,-0.1657171547412872,0.1424934310935437,0.5593729084480553
8,0.02409,0.011887,0.478904,0.01135,-0.072172,-0.706115,0.704319,-0.1898781730050221,0.8212322122216225,-1.492003229340911,-0.1599744532537646,9.738842538186908,1.1400555122327058,1.477938532829285,-0.2076125591993332,0.1436132341623306,-0.2339748479711418,-0.2185265168474965,0.6277893804974467,0.7094944572539651,-1.3286504745483398,-0.4533952474594116,1.4861299991607666,0.1290106177330017,-0.0596770048141479,0.1506878733634948,0.1428488492965698,-0.0164053738117218,-0.3642471536457538,0.2358544170856475,-0.3943076896602288,1.1801043948307632
9,0.025216,0.009802,0.477159,0.008288,-0.075142,-0.707024,0.703137,-1.5676856623128057,7.805062925317883,0.5691057093679904,-0.0289475081551005,9.79471347849071,0.4828464258674532,1.9841879606246948,-0.263897180557251,0.4139961004257202,-0.2251290714948917,-0.216240219892593,0.6546921806053331,0.688429539049832,-1.3130947351455688,-0.2195160686969757,0.8221210241317749,-0.7774571180343628,0.7776862978935242,-0.305510938167572,0.0678114965558052,0.2104646116495132,0.2595265499770641,0.2796776294708252,-0.1233684593848884,0.0597193593602627
