timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
60728708815,-0.026733,0.213339,0.704544,0.101936,0.047713,-0.683049,0.721649,0
60728742139,-0.027205,0.203282,0.710938,0.102594,0.059076,-0.680698,0.722935,1
60728808785,-0.026473,0.141048,0.704896,0.078069,0.045536,-0.693315,0.714945,3
60728842109,-0.022536,0.104319,0.698467,0.053687,0.027585,-0.705745,0.70589,4
60728875433,-0.0211,0.075093,0.689784,0.022313,-0.003501,-0.707512,0.706341,5
60728942079,-0.021533,0.039664,0.679013,-0.018815,-0.051419,-0.69862,0.713395,7
60728975402,-0.022108,0.031073,0.677155,-0.026327,-0.057794,-0.697729,0.713541,8
60729008727,-0.022038,0.026155,0.676194,-0.031104,-0.060621,-0.699385,0.71149,9
60729042050,-0.021548,0.022428,0.676218,-0.035412,-0.063756,-0.700672,0.709747,10
60729108697,-0.02149,0.017071,0.677468,-0.037919,-0.064115,-0.702812,0.707464,12
60729142020,-0.02176,0.014232,0.67807,-0.038994,-0.061095,-0.703634,0.706857,13
60729175344,-0.022004,0.012916,0.67807,-0.039333,-0.061374,-0.703496,0.706951,14
60729241991,-0.019781,0.03542,0.67764,-0.018238,-0.064935,-0.704478,0.706514,16
60729275314,-0.020912,0.071403,0.682329,0.016142,-0.048748,-0.701107,0.711205,17
60729308638,-0.024111,0.12011,0.69293,0.058575,-0.008509,-0.689711,0.721662,18
60729375285,-0.029284,0.208919,0.723151,0.133365,0.09152,-0.671515,0.723122,20
60729408608,-0.029175,0.229767,0.735863,0.160731,0.115665,-0.667951,0.717376,21
60729441932,-0.027897,0.231879,0.741968,0.172339,0.112608,-0.669429,0.713781,22
60729508579,-0.022341,0.185326,0.738357,0.148766,0.098612,-0.679112,0.712005,24
60729541903,-0.019613,0.146875,0.730319,0.119561,0.089909,-0.688904,0.709248,25
60729575226,-0.017202,0.111211,0.721519,0.093925,0.062328,-0.700455,0.704738,26
60729608549,-0.016022,0.082122,0.712772,0.064297,0.028611,-0.707837,0.702862,27
60729675196,-0.017611,0.046281,0.701905,0.022699,-0.007353,-0.697858,0.715839,29
60729708519,-0.019063,0.037015,0.701284,0.015594,-0.009532,-0.693761,0.719974,30
60729741843,-0.019979,0.031898,0.701102,0.010992,-0.009256,-0.692532,0.721244,31
60729808490,-0.020871,0.026733,0.701318,0.006305,-0.013999,-0.694552,0.719279,33
60729841814,-0.020426,0.022838,0.700347,0.004157,-0.017819,-0.696524,0.7173,34
60729875137,-0.020843,0.020672,0.699835,0.001099,-0.022267,-0.698278,0.715479,35
60729941784,-0.017178,0.035832,0.696256,0.006895,-0.032725,-0.700357,0.713009,37
60729975108,-0.015641,0.067298,0.698642,0.030167,-0.015831,-0.707043,0.706349,38
60730008431,-0.015517,0.112867,0.705394,0.062422,0.014373,-0.706563,0.704745,39
60730041755,-0.015647,0.163304,0.715347,0.091419,0.040199,-0.700513,0.706618,40
60730108402,-0.015163,0.232632,0.73466,0.114831,0.098398,-0.689941,0.707894,42
60730141725,-0.010833,0.238372,0.739337,0.118806,0.109877,-0.689768,0.705714,43
60730175049,-0.008599,0.22373,0.7397,0.11865,0.092336,-0.695051,0.703065,44
60730241696,-0.000881,0.15927,0.731651,0.088397,0.05426,-0.714181,0.692233,46
60730275019,0.000909,0.127003,0.725975,0.069864,0.02727,-0.721009,0.688855,47
60730308343,0.001007,0.101882,0.720824,0.049879,0.00565,-0.721594,0.690494,48
60730374990,0.001191,0.076128,0.714433,0.021748,-0.008356,-0.712009,0.701784,50
60730408313,0.000703,0.070188,0.714012,0.018816,-0.010936,-0.708584,0.705291,51
60730441637,0.001162,0.067876,0.711985,0.01827,-0.012015,-0.707267,0.706608,52
60730508284,0.000624,0.06517,0.71471,0.02028,-0.009056,-0.703377,0.71047,54
60730541607,0.00038,0.063965,0.712875,0.019422,-0.010095,-0.697997,0.715766,55
60730574930,-0.000457,0.062956,0.712543,0.014938,-0.01211,-0.692353,0.721303,56
60730608254,-0.00164,0.062286,0.711761,0.008944,-0.013008,-0.685842,0.727579,57
60730674901,-0.001966,0.061575,0.702994,-0.00539,0.00395,-0.680791,0.732447,59
60730708225,-0.001181,0.060127,0.70244,-0.006521,0.009866,-0.68325,0.730089,60
60730741548,0.000493,0.058211,0.698663,-0.010921,0.013618,-0.684377,0.728919,61
60730808195,0.001432,0.055717,0.696843,-0.022783,0.016536,-0.684448,0.728518,63
60730841518,0.001709,0.054405,0.6927,-0.026779,0.016029,-0.68514,0.727743,64
60730874842,0.00221,0.053197,0.691837,-0.032027,0.017794,-0.686452,0.726251,65
60730941489,0.004599,0.05081,0.686589,-0.042127,0.011057,-0.690112,0.722391,67
60730974813,0.005485,0.04855,0.685002,-0.050397,0.003449,-0.691095,0.720996,68
60731008136,0.00544,0.046625,0.683957,-0.060554,0.011768,-0.689201,0.72194,69
60731074783,0.007842,0.043326,0.682903,-0.058414,0.01708,-0.690269,0.720989,71
60731108106,0.007734,0.042126,0.684778,-0.05161,0.015785,-0.690181,0.721621,72
60731141430,0.007116,0.042258,0.684039,-0.049561,0.021156,-0.690342,0.721474,73
60731174754,0.007234,0.041513,0.683901,-0.056303,0.023828,-0.692758,0.718574,74
60731241400,0.00886,0.040692,0.681784,-0.075681,0.029341,-0.697595,0.71188,76
60731274724,0.008901,0.040186,0.681476,-0.082902,0.034128,-0.697152,0.711296,77
