frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.007371,0.21152,0.520005,0.089119,0.121502,-0.697922,0.700143,3.892402867354453,17.517859168100355,-2.778861487233639,0.5301365848306566,9.775739897951484,-0.5694296806253493,-1.915393948554993,-0.5907431840896606,-0.2883736491203308,-0.2726303169249946,-0.3246690625549504,-0.650863144466136,-0.629793513269423,0.6096627712249756,1.1232112646102903,-1.750187635421753,-0.7453318238258362,0.7325913906097412,0.0162418186664581,0.1463264226913452,0.3712107837200165,0.8022329127192497,-0.5207633972167969,0.2497168844286352,0.0588078705385327
1,-0.005421,0.195762,0.523453,0.092516,0.122705,-0.695677,0.701725,1.3788614188075066,5.814107134765386,-3.055074383595586,0.2922913034489378,9.800276957836749,0.1987918943607248,-1.7209627628326416,-0.1400959491729736,-0.676611602306366,-0.2965164570269812,-0.3094184675021817,-0.627793474024643,-0.6497795930202787,1.5865885019302368,0.6593779921531677,-2.2346112728118896,0.2912086844444275,0.4681869447231293,0.4746763110160827,0.128036618232727,0.2325785756111145,0.7860077541053294,-0.6279895305633545,0.3768394721826538,0.495786644526571
2,-0.000239,0.164256,0.518482,0.081195,0.111746,-0.691867,0.70869,0.6971863650318235,-7.259500004100799,-7.07732557387352,0.0094022863281803,9.77520739850998,0.7846155690945684,-1.6273109912872314,-0.2561718225479126,-0.7987877726554871,-0.317775328861688,-0.2938788975475033,-0.6112535760915472,-0.6625881986849426,1.6721854209899902,0.4235391020774841,-2.02742075920105,1.1092462539672852,0.0338746607303619,0.824207603931427,0.0665283054113388,0.1317843198776245,0.1496528013288974,-0.2788928747177124,0.3667010130712762,0.9146886406846344
3,0.005364,0.079496,0.492487,0.021554,0.036246,-0.703666,0.709279,-0.9609932957418262,-14.329633620643614,-5.017676770845055,-0.2521187214059755,9.67755015735626,1.565836527314782,-2.2870397567749023,0.5577261447906494,-0.3525699973106384,-0.3369230013260895,-0.2715697714799113,-0.5885698046238643,-0.6828750724250768,1.7552728652954102,0.1212058737874031,-1.1854573488235474,1.4443302154541016,-0.1397819966077804,0.7561408281326294,0.030976228415966,0.1043690368533134,-0.4054267207741737,0.0120348930358886,-0.0073901285176165,0.5121060572952032
4,0.014361,0.040405,0.483771,-0.006478,0.005366,-0.725295,0.688387,-0.1416684149788692,-17.066099735218284,-1.1829730821348723,-0.3277445653524249,9.49892552856505,2.41523860296607,-1.9396491050720213,0.6494547724723816,0.1651195138692855,-0.3402867303885727,-0.2453721818798162,-0.5627162651569352,-0.7122834954641614,0.0411324501037597,0.4335321485996246,-0.1761298924684524,1.50678551197052,-0.6732896566390991,0.8867160677909851,-0.0045758485794067,0.0769537538290023,-0.96032854822278,0.3029626309871673,-0.3814574508395045,0.1094555232360959
5,0.017701,0.013997,0.476991,-0.033424,-0.011565,-0.730983,0.681479,0.161021569420211,-15.983835244631766,1.5238810073778033,-0.3356485799426212,9.391700248599053,2.802441100263596,-0.1970612108707428,-0.0968297198414802,-0.1710884869098663,-0.3420583218234526,-0.2354733787790245,-0.5492427066795293,-0.7251763388542231,-0.9886876940727234,0.9780269861221312,0.991345226764679,1.2628231048583984,-0.4662979245185852,0.7696932554244995,-0.0566273927688598,0.3472393751144409,-0.7513152109086513,0.2464803457260131,-0.3917924554362892,-0.48896717377007
6,0.018383,-0.000366,0.473672,-0.046981,-0.027327,-0.727605,0.683839,0.0532022325512021,-13.610977985799313,3.074529317910969,-0.4603662619793787,9.433396533077955,2.63998113207072,1.1260679960250854,0.191992312669754,-0.428564965724945,-0.3452972205684148,-0.2351504355925689,-0.5568686510633802,-0.7178938449107505,-2.1266674995422363,0.3205528557300567,2.1633691787719727,0.9935571551322936,-0.2402442395687103,0.4526014328002929,-0.0123845562338829,0.1840714067220688,-0.3376286113113165,0.0058648139238357,-0.164930906617362,-0.5927484507620334
7,0.020509,-0.006549,0.472563,-0.055257,-0.039256,-0.722819,0.687706,0.5209629156308249,-7.197842881610989,3.274675750419497,-0.5502918129025027,9.613891047394276,1.854901306465268,2.947343349456787,-0.1679220497608184,0.1075794622302055,-0.3376739553616587,-0.2456696278527302,-0.5874289633302833,-0.6932170998903717,-3.587785243988037,-1.2408978939056396,2.7153067588806152,0.0290889739990234,0.1474353671073913,-0.2319554090499878,-0.0795448869466781,-0.0129114091396331,0.0165951609700918,0.0203060954809188,0.105440880767256,0.6062105744034052
8,0.020958,-0.00718,0.473563,-0.054752,-0.036967,-0.718506,0.692376,-2.132731867156923,3.852722891134024,-1.424036777573824,-0.2550354491028934,9.78240520105958,0.6402353744063526,2.931452512741089,-0.5679246187210083,1.453425645828247,-0.3183554272989822,-0.2820737682886279,-0.622729049777569,-0.6567288592355852,-0.6994761228561401,-0.6975463032722473,1.8176568746566768,-0.90500807762146,0.8720091581344604,-0.1530775725841522,-0.0886476933956146,-0.0974032878875732,0.0272416426688432,0.4239624738693237,-0.3298676584536209,1.235104105257988
9,0.023332,-0.004952,0.472708,-0.052465,-0.032772,-0.717635,0.693667,2.3433112847439945,10.35085624591112,-2.2062194204330443,0.4393493390442803,9.793507609832286,-0.2541218413893133,1.9233983755111688,0.475986897945404,1.0807459354400637,-0.2820759464909457,-0.3185508808118222,-0.6414685842387464,-0.638338967255909,-1.186387538909912,-0.5800427198410034,0.9915775060653688,-0.8783760666847229,0.2843459844589233,-0.3235839903354645,-0.0306331105530262,-0.0653930231928825,0.8183323991268873,0.4464882612228393,0.2573138423636555,-0.129005296228081
10,0.023716,-0.004828,0.472344,-0.052327,-0.032849,-0.716007,0.695354,2.242760514105856,9.705837509685754,-3.3492414543211457,0.4945599522758275,9.754683665919304,-0.8786194753725081,1.2093719244003296,-0.1440839618444442,-0.1947942078113556,-0.2670980396410931,-0.3261490159742835,-0.662135897964934,-0.6195656918707426,-1.1096680164337158,-0.5099258422851562,0.3564304113388061,-0.5451050996780396,0.3916780352592468,-0.361674427986145,0.0043848156929016,-0.115893542766571,0.2775824311494827,0.0146228373050689,-0.1312126792124006,-0.3267246477201581
11,0.023462,-0.005954,0.471191,-0.055971,-0.034648,-0.713042,0.698024,1.2290147023417055,6.071327745887637,-1.5263747238896783,0.3822830149434507,9.714989953434468,-1.2818737474784254,0.8227860331535339,-0.1786689162254333,-0.347773939371109,-0.26658855227645,-0.3308486709984869,-0.675201103261055,-0.6029702162185044,-0.1608283817768097,-0.1585673987865448,-0.0555580705404281,-0.3204127550125122,0.2172868847846985,-0.3228938579559326,0.0556802600622177,-0.0710845068097114,-0.1013672015875577,-0.1428196728229522,-0.3294609408162534,0.0418996980965137
12,0.024072,-0.004446,0.462833,-0.060744,-0.033507,-0.70981,0.700969,0.2306092657135799,2.689723652622104,-1.3335003282107412,0.2679832482802681,9.69907400690019,-1.4235726671934128,-0.0771526545286178,0.0019668226595968,-0.1998868733644485,-0.2688495286004604,-0.330104454590706,-0.6808913687612403,-0.5959346009779899,0.2226934432983398,0.0414446294307708,-0.0942646488547325,-0.0783613324165344,0.0974704027175903,-0.1459474265575409,0.0637637227773666,0.0132340490818023,-0.1930500445067882,-0.1872485727071762,-0.2971161663221195,-0.0053705871224403
13,0.024775,0.029656,0.45741,-0.041041,-0.020321,-0.70344,0.709278,0.1403006154906936,0.3544347846835851,0.0034266134478151,0.2182310831177048,9.714229490455985,-1.3253250589311123,-0.3167386353015899,0.1268636435270309,-0.1039570569992065,-0.2708633893825953,-0.3256563512033514,-0.6793531581815713,-0.5992162805461062,0.131836250424385,0.0462444983422756,-0.0341782793402671,0.0578407645225524,-0.0756667852401733,0.0317987203598022,0.0762100368738174,-0.007184762507677,-0.0473661468088626,-0.1755008697509765,-0.1617897042484954,-0.021552929507941
14,0.025573,0.076787,0.458299,-0.010429,0.012008,-0.701042,0.712943,0.3424356462668627,-0.6017313831627369,0.6442774163387716,0.1784528341545723,9.726932904684544,-1.2350466759823262,-0.0904536992311477,-0.0228258930146694,-0.1234118714928627,-0.2729949631012995,-0.3223255118582003,-0.6775515619632065,-0.6020830452076825,-0.0893027856945991,-0.1014958545565605,0.0856131687760353,0.1173945665359497,-0.0500223040580749,0.0720927119255065,0.0771899446845054,-0.0555098615586757,0.0175876791387796,-0.1283102035522461,-0.1092821028979495,-0.0520714018903672
15,0.026203,0.131503,0.466771,0.022964,0.046281,-0.702263,0.710041,0.5622019943941384,-0.9854875393986702,0.873301276024431,0.114459204141749,9.722828391975163,-1.2743303463615476,0.2431810945272445,0.0467811301350593,-0.2309930026531219,-0.2743841006045446,-0.320714616759457,-0.679790337469609,-0.5997838752261883,-0.0370670147240161,-0.2042883336544037,0.1895767152309417,0.0461785197257995,-0.0102530717849731,-0.0804774165153503,0.0955704450607299,-0.1397754251956939,-0.1484165375322103,-0.06471548974514,0.0536795677393674,0.0280628959238529
16,0.026423,0.179848,0.481292,0.056192,0.061781,-0.703118,0.706152,0.4027945456396788,0.9669137718319892,0.5600386058151722,0.021128619131667,9.711824767401811,-1.3602997800700365,0.1323429197072982,0.2600677013397217,-0.2602848708629608,-0.2739662428188981,-0.3165048651997265,-0.6849676340896939,-0.5963107988098315,0.1454252898693084,0.6190528869628906,-0.1330598592758178,-0.8271105289459229,0.3492200374603271,-0.7452971339225769,0.131829023361206,-0.0638563707470893,-0.8501952718555926,-0.0046363659203052,-0.0160590082667767,-0.0755291421063244
17,0.026833,0.211677,0.497183,0.08813,0.076566,-0.704386,0.700151,-0.891481733424589,12.24490122976303,-0.6542378154695033,-0.0609616510389372,9.714417706504465,-1.340431734909117,-0.3635761737823486,-0.1734950840473175,-0.2063927501440048,-0.2753592045603623,-0.311660947251274,-0.6864477072860108,-0.5965184830621277,1.4271937608718872,1.285420536994934,-1.0180574655532837,-1.527106523513794,0.981497883796692,-1.0083656311035156,0.0753046870231628,0.3040476739406585,-0.2357119591474533,-0.0054033156484365,-0.0623060879178345,0.159796448072046
18,0.025327,0.214015,0.520278,0.127669,0.136544,-0.691545,0.697727,0.7557175375208258,19.0955714266479,-4.1855706979095935,-0.2279457821253687,9.76039444478154,-0.92365571792908,-1.9595192670822144,-0.0867836326360702,-0.5140778422355652,-0.2909198613414275,-0.3040824110864041,-0.6742605018847093,-0.6068544728889895,1.9886554479599,0.5259578824043274,-2.1173222064971924,-0.8495047688484192,0.8853299617767334,-0.1452283263206482,0.0096693560481071,0.2349179685115814,1.3662684792160986,-0.3897886872291565,0.2796580318471416,-0.7520964244142174
19,0.02553,0.190742,0.518703,0.120955,0.142361,-0.685171,0.70402,-0.0482853074803948,5.548052644324303,-6.1156438574761145,-0.3401739484125748,9.792345580315589,0.405772355874069,-2.866260051727295,0.0220166351646184,0.1093397065997123,-0.3134564547065215,-0.278913026976497,-0.6336551827098955,-0.6499490686236497,1.6196881532669067,0.1715286970138549,-2.732184410095215,0.2111486196517944,0.4543393552303314,0.6714296340942383,-0.0761076956987381,0.0153467655181884,1.244781449663639,-0.4330867826938629,0.3273480037828907,0.4097708874583244
20,0.026676,0.155131,0.509061,0.099713,0.129355,-0.686223,0.708817,1.0351579445619137,-8.857115817514062,-5.647819424977898,-0.2714075236405245,9.71394073664248,1.3176063012473285,-1.8653522729873653,-0.9858986139297484,0.0492387190461158,-0.3300416175777533,-0.2716835124976621,-0.5991734687048703,-0.6769429864830661,1.039189338684082,0.0499395802617073,-2.001857280731201,1.2773449420928955,-0.2547613382339477,0.8683395385742188,0.0153527930378913,-0.1911495327949524,0.1673281587511301,-0.0542633235454559,0.1447234734342433,0.5827937507197261
21,0.029357,0.113717,0.495718,0.067686,0.108431,-0.694698,0.707853,-0.4315189011469483,-18.246348799216747,-4.151377336406708,-0.1562576977529562,9.58727016697228,2.056750158977509,-2.200345993041992,-0.4255931377410888,0.3504783511161804,-0.3483948024016653,-0.2723927329559454,-0.5665131272571545,-0.695331707121898,0.9106652140617372,-0.2750673294067383,-1.268012762069702,1.811662197113037,-0.4568135142326355,0.9406712651252748,0.0518122538924217,-0.051429346203804,-1.0110855065137148,0.0451023653149604,-0.2363203368367627,-0.4624889166891575
22,0.035028,0.072401,0.484507,0.043813,0.073562,-0.713245,0.695665,1.149891919657588,-18.44060295881629,-0.8740399655625224,-0.1503125712787267,9.344880629757046,2.9700135891646147,-2.3058907985687256,0.6511151790618896,-0.3043249845504761,-0.3584386031308722,-0.2536552284952664,-0.5331327026970203,-0.7231529743491647,0.5179232358932495,0.2370893359184265,0.1715182214975357,1.561567783355713,-0.4635180234909057,0.8272779583930969,0.1031049638986587,-0.0550873279571533,-0.9056044398665428,0.2031914889812469,-0.0339804859371855,-0.0159787826374173
23,0.037403,0.023144,0.47052,0.000474,0.005186,-0.723164,0.690657,-0.2610431285524741,-16.237870795977116,2.432494273671508,-0.4081363450590521,9.160760326159,3.4762454937294125,-0.2955688238143921,0.7280585765838623,-0.4491623640060425,-0.3634893113877811,-0.2280002558319135,-0.5203620682573623,-0.7383188507178825,-0.5536736249923706,0.25918048620224,1.525763750076294,1.181775450706482,-0.4664447009563446,0.6447278261184692,0.1471883952617645,-0.0464232191443443,-0.7262859835922718,0.3135774433612823,-0.1341380925392732,-0.1904854547157883
