timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
41708751796,-0.007371,0.21152,0.520005,0.089119,0.121502,-0.697922,0.700143,0
41708785119,-0.005421,0.195762,0.523453,0.092516,0.122705,-0.695677,0.701725,1
41708818443,-0.000239,0.164256,0.518482,0.081195,0.111746,-0.691867,0.70869,2
41708885090,0.005364,0.079496,0.492487,0.021554,0.036246,-0.703666,0.709279,4
41708918413,0.014361,0.040405,0.483771,-0.006478,0.005366,-0.725295,0.688387,5
41708951736,0.017701,0.013997,0.476991,-0.033424,-0.011565,-0.730983,0.681479,6
41708985060,0.018383,-0.000366,0.473672,-0.046981,-0.027327,-0.727605,0.683839,7
41709018383,0.020509,-0.006549,0.472563,-0.055257,-0.039256,-0.722819,0.687706,8
41709085030,0.020958,-0.00718,0.473563,-0.054752,-0.036967,-0.718506,0.692376,10
41709118353,0.023332,-0.004952,0.472708,-0.052465,-0.032772,-0.717635,0.693667,11
41709151677,0.023716,-0.004828,0.472344,-0.052327,-0.032849,-0.716007,0.695354,12
41709185000,0.023462,-0.005954,0.471191,-0.055971,-0.034648,-0.713042,0.698024,13
41709218324,0.024072,-0.004446,0.462833,-0.060744,-0.033507,-0.70981,0.700969,14
41709284971,0.024775,0.029656,0.45741,-0.041041,-0.020321,-0.70344,0.709278,16
41709318294,0.025573,0.076787,0.458299,-0.010429,0.012008,-0.701042,0.712943,17
41709351617,0.026203,0.131503,0.466771,0.022964,0.046281,-0.702263,0.710041,18
41709384941,0.026423,0.179848,0.481292,0.056192,0.061781,-0.703118,0.706152,19
41709418264,0.026833,0.211677,0.497183,0.08813,0.076566,-0.704386,0.700151,20
41709484911,0.025327,0.214015,0.520278,0.127669,0.136544,-0.691545,0.697727,22
41709518235,0.02553,0.190742,0.518703,0.120955,0.142361,-0.685171,0.70402,23
41709551558,0.026676,0.155131,0.509061,0.099713,0.129355,-0.686223,0.708817,24
41709584881,0.029357,0.113717,0.495718,0.067686,0.108431,-0.694698,0.707853,25
41709618205,0.035028,0.072401,0.484507,0.043813,0.073562,-0.713245,0.695665,26
41709684852,0.037403,0.023144,0.47052,0.000474,0.005186,-0.723164,0.690657,28
41709718175,0.037284,0.013457,0.466453,-0.016095,-0.003611,-0.715536,0.698381,29
41709751499,0.036519,0.009669,0.466053,-0.022168,-0.006885,-0.71056,0.703254,30
41709784822,0.036275,0.009296,0.466811,-0.022579,-0.008796,-0.709786,0.704,31
41709818145,0.035754,0.01067,0.465346,-0.021234,-0.008677,-0.711654,0.702156,32
41709884792,0.035401,0.011347,0.46564,-0.022381,-0.008808,-0.712826,0.700929,34
41709918116,0.03518,0.012007,0.461984,-0.026931,-0.01387,-0.711834,0.701694,35
41709951439,0.036471,0.014659,0.459428,-0.025898,-0.023598,-0.714592,0.698664,36
41709984762,0.039523,0.031416,0.457853,-0.012251,-0.027689,-0.72097,0.692305,37
41710018086,0.041951,0.070794,0.456935,0.014834,-0.007715,-0.725484,0.688036,38
41710084732,0.04249,0.173948,0.483941,0.087688,0.063736,-0.71562,0.690027,40
41710118056,0.041904,0.212694,0.501077,0.116678,0.085939,-0.706876,0.692334,41
41710151380,0.040435,0.232009,0.51598,0.136278,0.107884,-0.695318,0.697368,42
41710184703,0.038839,0.231409,0.523751,0.149269,0.118819,-0.684034,0.704058,43
41710218026,0.038206,0.214216,0.522213,0.146429,0.112244,-0.68091,0.708746,44
41710284673,0.0418,0.146003,0.497433,0.096405,0.070439,-0.701582,0.702515,46
41710317997,0.046945,0.108462,0.484811,0.06144,0.035661,-0.720476,0.689831,47
41710351320,0.049877,0.078763,0.474077,0.035035,-0.005247,-0.73355,0.678712,48
41710384644,0.050354,0.06136,0.467224,0.019344,-0.034566,-0.732115,0.680028,49
41710417967,0.050109,0.053281,0.46206,0.007161,-0.04555,-0.723256,0.689039,50
41710484614,0.048877,0.054226,0.460525,-0.002508,-0.037185,-0.713108,0.700063,52
41710517937,0.049402,0.055842,0.461295,0.000308,-0.026449,-0.71334,0.700319,53
41710551260,0.050076,0.056609,0.462109,0.001406,-0.019061,-0.714959,0.698906,54
41710584584,0.050476,0.056588,0.462161,-0.000955,-0.016616,-0.714985,0.698942,55
41710617907,0.052972,0.054765,0.459904,-0.006369,-0.019543,-0.713113,0.700748,56
