timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
17508025381,0.036248,0.138422,0.363233,0.075719,0.099086,-0.696664,0.706476,0
17508058704,0.037565,0.136942,0.367312,0.079902,0.103989,-0.697131,0.704848,1
17508125351,0.037722,0.079918,0.354864,0.04089,0.058633,-0.705094,0.705501,3
17508158674,0.037531,0.037787,0.345604,0.011365,0.023666,-0.710197,0.703513,4
17508191998,0.038992,0.0031,0.335972,-0.021914,-0.002427,-0.713871,0.69993,5
17508225321,0.039531,-0.020738,0.327226,-0.053579,-0.02627,-0.711681,0.699964,6
17508291968,0.039208,-0.035885,0.321672,-0.069314,-0.051288,-0.70485,0.704096,8
17508325291,0.039205,-0.034983,0.32419,-0.064663,-0.042733,-0.705574,0.704385,9
17508358615,0.039113,-0.033314,0.326358,-0.061651,-0.036745,-0.70601,0.704556,10
17508425262,0.037406,-0.034776,0.325362,-0.066983,-0.039047,-0.704435,0.705521,12
17508458583,0.03715,-0.039296,0.321343,-0.07613,-0.046544,-0.70432,0.704253,13
17508491908,0.036829,-0.044159,0.317169,-0.085123,-0.055694,-0.703809,0.703068,14
17508525232,0.037256,-0.042904,0.313156,-0.086077,-0.063424,-0.70446,0.701644,15
17508591879,0.043798,0.011732,0.305069,-0.053808,-0.040241,-0.716932,0.693898,17
17508625202,0.046131,0.063474,0.311125,-0.017556,-0.012108,-0.718494,0.695206,18
17508658525,0.046393,0.11509,0.328818,0.026973,0.028105,-0.71428,0.698775,19
17508725172,0.045376,0.164019,0.364454,0.081008,0.091966,-0.706495,0.697026,21
17508758495,0.045111,0.150291,0.368848,0.081001,0.092009,-0.708517,0.694966,22
17508791818,0.04361,0.11581,0.364822,0.060759,0.075021,-0.710749,0.69679,23
17508825142,0.042369,0.070706,0.357288,0.029859,0.048906,-0.714686,0.697095,24
17508891789,0.041653,0.000959,0.341145,-0.041727,-0.002184,-0.71446,0.698428,26
17508925110,0.041876,-0.014592,0.334932,-0.065864,-0.029373,-0.711614,0.69886,27
17508958436,0.042179,-0.019673,0.332427,-0.073856,-0.040158,-0.709183,0.699994,28
17509025083,0.042846,-0.020059,0.337892,-0.064467,-0.023834,-0.710558,0.700274,30
17509058406,0.043199,-0.02195,0.337983,-0.065785,-0.022374,-0.712211,0.698518,31
17509091729,0.043196,-0.025579,0.336042,-0.07123,-0.025448,-0.712674,0.697406,32
17509125053,0.043098,-0.026561,0.332452,-0.075619,-0.031249,-0.712024,0.697372,33
17509191699,0.04665,0.02072,0.324976,-0.046752,-0.014899,-0.715488,0.696899,35
17509225023,0.048016,0.071695,0.333675,0.000395,0.017391,-0.715129,0.698776,36
17509258346,0.049028,0.122019,0.353951,0.053233,0.065537,-0.711339,0.697759,37
