frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.025817,0.187674,0.31667,0.079104,0.062101,-0.688105,0.718608,0.1386148269613739,11.406790363454816,-1.921439186733961,-0.1380162491468712,9.48366716915667,-2.492272158285976,-0.0767564326524734,-0.2630970478057861,-0.0653182342648506,0.3085391918248439,0.3901011260170091,0.6891238070731299,0.5270039443602297,-0.6942950487136841,0.4192217290401459,0.1743742972612381,-0.8330202102661133,0.5762739777565002,-0.2455168664455413,0.1348136663436889,-0.0435100793838501,0.2062210397144779,-0.2633557915687561,0.1295684648024849,-0.7372442346539347
1,0.026213,0.186111,0.325249,0.089655,0.072115,-0.689577,0.715014,0.2196388127574697,-2.507410106185078,1.1469587157499044,0.0817314125462435,9.743435126674177,1.1086785963900387,2.276753664016724,0.3968648314476013,0.7917509078979492,0.384183243179306,0.3477247650866837,0.5679441981994511,0.6394764152659606,-2.35978364944458,-3.1537444591522217,2.685412168502808,0.6622998714447021,-0.3418839573860168,0.2663439512252807,0.1117124557495117,-0.2307755202054977,1.0659718196943402,0.1946515887975692,-0.3751004099629819,0.542634430017136
2,0.0288,0.117282,0.321153,0.066916,0.054531,-0.707518,0.701404,0.1677937121699564,12.142694070219992,-3.059719579052925,0.1603615346089005,9.754524675965309,-0.9969562972657382,2.525397539138794,0.1661247909069061,-0.2527329325675964,0.3395242044282454,0.3864560538463046,0.6336263437703686,0.5778345065213927,-1.7983702421188354,-1.8815909624099727,0.747969925403595,-0.6719381809234619,0.8443582653999329,-0.0527599900960922,0.1017512083053588,-0.034428983926773,0.6564177898570894,-0.0940994620323181,-0.1820419446877203,-0.3593031213723123
3,0.031548,0.068707,0.311388,0.035373,0.031444,-0.718344,0.694076,0.1736084445970132,4.150639085260034,-4.675398872423171,0.1231229875906836,9.647145082220437,-1.757222584132105,-0.6297469139099121,0.1415141522884369,0.081292450428009,0.3224383019599772,0.3949058377355227,0.6585155997914893,0.5535703868719505,0.7086667418479919,0.0852437242865562,-0.2553693354129791,-0.3674845099449157,0.5339493155479431,-0.1969498544931411,-0.1054799184203147,0.1022331267595291,-0.3114263216275721,-0.1365031152963638,0.2328073054808191,-0.031143860572041
4,0.031416,0.026414,0.300927,0.003349,-0.00031,-0.721639,0.692262,0.0526041570601984,-1.2212275555968284,1.829722003153712,0.2306598451233469,9.72318670389354,-1.2557124473921957,-0.262029618024826,0.005465458612889,-0.0102427322417497,0.3286228971673554,0.3891223111683172,0.6423451905361224,0.5726983784641881,0.2889706492424011,0.3904828429222107,-0.2208071053028106,0.1030252575874328,-0.2315834760665893,0.0901059061288833,-0.137908324599266,0.1280038356781005,-0.1825258922797627,0.0123735908418893,0.172781802780833,-0.160891951691173
5,0.031784,-0.003117,0.289926,-0.033268,-0.033948,-0.718983,0.693401,0.2171365293466486,-2.898268787902593,2.420277327785641,0.1155079003439284,9.698099608910082,-1.4504764562100172,0.90186208486557,0.0295934155583381,-0.2844791412353515,0.3273210827369683,0.3876921285875841,0.6508828857253057,0.5647185964151921,-0.5108434557914734,-0.2854557335376739,0.1760229468345642,0.2572163939476013,-0.2596287131309509,0.0631353855133056,-0.0445879288017749,0.0842531770467758,-0.3135399527806788,0.0468335151672363,0.1160844763891771,-0.2464414794871583
6,0.032508,-0.0243,0.280508,-0.065521,-0.060559,-0.715427,0.692968,-0.8955752863485366,5.921125493982434,-0.482950689959526,-0.0802116921656765,9.523420502874254,-2.3384666211918,0.9736119508743286,-0.0647128596901893,0.0019684890285134,0.3169109457501366,0.3984377346215492,0.6785838096863204,0.5294703796739134,-1.1569803953170776,-0.3885588347911834,0.6657549738883972,-0.3159509897232055,0.3437526226043701,-0.1379766464233398,-0.0254913493990898,0.0113423783332109,-0.0999776012595277,0.0055006667971611,-0.1475001259401906,-0.2883875192097388
7,0.032991,-0.022702,0.283244,-0.058892,-0.051811,-0.717486,0.692142,1.4307003271162508,17.6009945474267,-7.387180627596378,-0.1061084778305143,9.56451589885056,-2.163139718771726,-1.848631858825684,-0.7763183116912842,-0.087431252002716,0.3288065593280065,0.4040771663045577,0.6685888686274358,0.5306570051007302,1.4105724096298218,1.7247045040130615,-0.802169680595398,-1.3946022987365725,1.3098363876342771,-0.1677644103765487,-0.0017467044526711,0.0049286652356386,0.5728909269951283,-0.2693035304546356,-0.0850146902669221,-0.1916998537405393
8,0.035306,-0.018794,0.286072,-0.050037,-0.042657,-0.720341,0.690496,-0.0111727340625599,-23.63342879129648,-1.0522487070292237,-0.3754907244548201,9.58784533651173,2.025491681882739,-1.243547439575195,-0.2501266002655029,0.2644131481647491,0.4249745453332014,0.3237345143152065,0.5403005002700539,0.6501291996690323,-0.1898806244134903,0.9253343939781188,-0.4703773856163025,2.2770371437072754,-1.3325705528259275,0.7077987790107727,0.0143747124820947,0.2334061414003372,-1.47349945827052,0.018074357882142,0.3174576011484488,-0.5235704677807167
9,0.038015,-0.014562,0.288352,-0.046485,-0.037717,-0.719976,0.691413,0.2573215507460757,-11.02270570591688,4.202123188781738,0.0308804832283873,9.635265259334444,1.8251299991883336,2.061763286590576,0.0544108748435974,0.6339551210403442,0.4089085856370578,0.3404546989753228,0.5394764731991145,0.6525714840063451,-1.91252601146698,-1.2567615509033203,2.1581270694732666,1.3167978525161743,-0.8085620403289795,0.3633117973804474,0.0569147430360317,0.0169031303375959,-0.1190784340407699,0.3592791557312011,0.0586206408707424,0.7395829067345708
