timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
8006346133,-0.004513,0.190693,0.275291,0.157132,0.021776,-0.688862,0.707322,0
8006379456,-0.004222,0.18467,0.276926,0.155233,0.02281,-0.689858,0.706738,1
8006412780,-0.003473,0.164131,0.273991,0.143814,0.016053,-0.693354,0.705918,2
8006479426,0.00377,0.092235,0.257338,0.092952,-0.028244,-0.706473,0.701041,4
8006512749,0.007231,0.055552,0.248235,0.065299,-0.06849,-0.711055,0.696739,5
8006546073,0.009701,0.026139,0.240129,0.036804,-0.101581,-0.710784,0.695063,6
8006579396,0.012617,0.005597,0.234652,0.012079,-0.122766,-0.709223,0.694107,7
8006612719,0.014722,-0.007941,0.229502,-0.005315,-0.14121,-0.708038,0.691891,8
8006679365,0.017079,-0.016895,0.224942,-0.019463,-0.159503,-0.709355,0.686291,10
8006712688,0.01736,-0.012368,0.225325,-0.017315,-0.157038,-0.709435,0.686834,11
8006746012,0.017124,-0.001103,0.226845,-0.008263,-0.148442,-0.706951,0.69146,12
8006779335,0.016601,0.021069,0.229928,0.008333,-0.134532,-0.704302,0.696986,13
8006812658,0.017961,0.052436,0.234368,0.033461,-0.111259,-0.703845,0.700788,14
8006845982,0.020024,0.092485,0.241519,0.062382,-0.081737,-0.705885,0.700823,15
8006912628,0.023367,0.177675,0.265714,0.11624,-0.022294,-0.713991,0.690078,17
8006945951,0.024155,0.208862,0.278704,0.132916,-0.004591,-0.711916,0.689557,18
8006979275,0.02385,0.226893,0.290559,0.145572,0.012876,-0.709293,0.689599,19
8007012598,0.023334,0.228578,0.300083,0.154952,0.023061,-0.709757,0.686807,20
8007045921,0.022065,0.214259,0.305741,0.15531,0.026771,-0.710829,0.685481,21
8007112567,0.015662,0.144087,0.304805,0.133405,0.014086,-0.708414,0.692931,23
8007145891,0.015241,0.100347,0.299075,0.11349,-0.009051,-0.714708,0.690094,24
