timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
80280973633,-0.017458,0.153564,0.260501,0.020862,0.018293,-0.560428,0.827738,0
80281006956,-0.023237,0.151799,0.258686,0.014957,0.016226,-0.550014,0.834864,1
80281040280,-0.021606,0.137541,0.255819,0.007508,0.016793,-0.553871,0.832399,2
80281106927,0.001713,0.077119,0.251081,-0.005463,0.015358,-0.605391,0.795762,4
80281140251,0.014516,0.042707,0.249408,-0.008065,0.013185,-0.637703,0.770128,5
80281173574,0.025149,0.009836,0.250047,-0.012166,0.013293,-0.6641,0.747427,6
80281206898,0.033702,-0.017247,0.248191,-0.019511,0.006617,-0.689121,0.724353,7
80281240221,0.039549,-0.037737,0.246064,-0.026535,-0.00088,-0.707801,0.705912,8
80281306868,0.047347,-0.062401,0.245305,-0.029634,-0.006923,-0.730574,0.682155,10
80281340192,0.049928,-0.06732,0.245593,-0.028886,-0.00617,-0.738406,0.673709,11
80281373516,0.052099,-0.067313,0.24747,-0.02903,-0.005073,-0.742136,0.669601,12
80281406839,0.05205,-0.059128,0.248488,-0.028003,-0.00408,-0.739886,0.672137,13
80281440162,0.050337,-0.038707,0.249918,-0.024399,-0.003325,-0.729691,0.683334,14
80281506810,0.039684,0.041302,0.25953,0.001624,0.0112,-0.685839,0.727665,16
80281540133,0.023367,0.086946,0.265537,0.011047,0.019515,-0.648457,0.760921,17
80281573457,0.005105,0.123167,0.271019,0.016154,0.026502,-0.611572,0.79058,18
80281606778,-0.008967,0.14481,0.274823,0.014135,0.031391,-0.589752,0.80685,19
80281673428,-0.015162,0.143154,0.276053,0.013318,0.027258,-0.58416,0.811072,21
80281706751,-0.009153,0.124835,0.274327,0.010376,0.02284,-0.595783,0.802753,22
80281740075,-0.000521,0.099507,0.272408,0.00551,0.015689,-0.614324,0.788879,23
80281773398,0.009785,0.071298,0.268915,-0.000374,0.013079,-0.636635,0.771055,24
80281806722,0.018709,0.042014,0.267058,-0.005872,0.013267,-0.659925,0.751192,25
80281873369,0.033523,-0.012108,0.264962,-0.012674,7.9e-05,-0.705491,0.708606,27
80281906692,0.038673,-0.034717,0.264727,-0.015023,-0.004631,-0.724633,0.688956,28
80281940016,0.042015,-0.052977,0.265435,-0.016996,-0.005377,-0.738876,0.673605,29
80281973339,0.046616,-0.065981,0.265339,-0.017585,-0.005667,-0.751575,0.659388,30
80282006663,0.050018,-0.073343,0.264034,-0.02133,-0.008514,-0.761128,0.648195,31
80282073310,0.053236,-0.062875,0.261116,-0.024978,-0.012159,-0.763824,0.644827,33
80282106634,0.050559,-0.040499,0.261368,-0.023156,-0.010866,-0.75028,0.660625,34
80282139957,0.043745,-0.007035,0.263534,-0.018338,-0.00666,-0.726784,0.686589,35
80282173281,0.034954,0.032962,0.266709,-0.00786,0.002159,-0.695928,0.718066,36
80282206604,0.022492,0.073464,0.271919,0.003837,0.011719,-0.66078,0.750479,37
80282273249,-0.003052,0.130459,0.281209,0.013918,0.023277,-0.59686,0.801887,39
80282306575,-0.011386,0.13714,0.283772,0.009966,0.031589,-0.579227,0.814493,40
80282339899,-0.013979,0.126725,0.285169,0.004143,0.039253,-0.576795,0.815935,41
80282373222,-0.00952,0.1023,0.28505,0.002097,0.038115,-0.587441,0.808366,42
80282406546,0.000309,0.068928,0.282945,-0.005917,0.035128,-0.610754,0.791019,43
80282473193,0.02725,0.004127,0.276962,-0.025303,0.020313,-0.67391,0.738101,45
80282506516,0.036521,-0.018795,0.27557,-0.031978,0.01412,-0.696613,0.716595,46
80282539840,0.040541,-0.033316,0.275063,-0.039283,0.010815,-0.707369,0.705669,47
80282573163,0.042631,-0.040748,0.276119,-0.042992,0.014091,-0.710595,0.702145,48
80282606487,0.043685,-0.044259,0.278452,-0.042175,0.016355,-0.712903,0.699802,49
80282673134,0.045605,-0.046734,0.281852,-0.038054,0.01125,-0.716238,0.696727,51
