timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
81622722492,0.0248,0.149662,0.359312,0.085705,0.018591,-0.603639,0.792419,0
81622755816,0.02327,0.143231,0.360632,0.085046,0.026648,-0.602698,0.792977,1
81622789139,0.02574,0.125603,0.359606,0.080857,0.031837,-0.608322,0.788919,2
81622855786,0.039472,0.074838,0.350631,0.05674,0.031387,-0.635741,0.769175,4
81622889110,0.045322,0.048409,0.346222,0.042803,0.027876,-0.653368,0.755316,5
81622922433,0.052954,0.026558,0.341464,0.027673,0.020548,-0.668846,0.742601,6
81622955757,0.056155,0.0089,0.337222,0.014574,0.014812,-0.681158,0.731842,7
81622989081,0.058325,-0.003976,0.332951,0.001103,0.006694,-0.691196,0.722636,8
81623055727,0.063908,-0.019329,0.325467,-0.011966,0.000268,-0.703293,0.710799,10
81623089051,0.064834,-0.024142,0.32327,-0.018388,-0.002257,-0.708132,0.705837,11
81623122374,0.065746,-0.02769,0.318786,-0.024973,-0.000615,-0.712366,0.701364,12
81623155698,0.065261,-0.02984,0.317283,-0.030344,0.005241,-0.715954,0.697468,13
81623189021,0.063706,-0.028645,0.316658,-0.03387,0.015843,-0.717503,0.695551,14
81623255669,0.057697,-0.010475,0.317414,-0.033765,0.040455,-0.707871,0.704374,16
81623288992,0.052171,0.007637,0.321793,-0.023401,0.052353,-0.695911,0.715835,17
81623322316,0.048593,0.031009,0.326979,-0.009804,0.06671,-0.684303,0.726074,18
81623355639,0.045953,0.060793,0.334155,0.005178,0.084331,-0.67263,0.73514,19
81623388962,0.042777,0.094687,0.343242,0.030638,0.091706,-0.655635,0.748862,20
81623455610,0.033952,0.150699,0.355708,0.060474,0.082186,-0.622132,0.776235,22
81623488933,0.026321,0.162601,0.358795,0.060042,0.077123,-0.607358,0.788393,23
81623522257,0.022404,0.16212,0.359065,0.061834,0.072737,-0.598122,0.795699,24
81623555578,0.020832,0.150011,0.358439,0.05703,0.07596,-0.598495,0.795476,25
81623588904,0.021921,0.130396,0.356348,0.044692,0.085191,-0.604115,0.791069,26
