frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.009151,0.199988,0.368908,-0.004032,0.052305,-0.594874,0.802105,2.333955573508143,16.509556570303438,0.6933376537144184,0.7113194467373192,9.753639125302431,-0.7286513244841247,0.710567057132721,-0.1497610509395599,-0.6276978850364685,0.3259134102375435,0.3033766434715192,-0.6671682634033832,-0.5971846877805735,0.1030454188585281,0.0891022086143493,-0.0349709019064903,-0.0111566185951232,-0.018454685807228,0.0137870013713836,-0.0551580674946308,-0.0406957492232322,-0.0770505064547062,0.0343796648085117,0.0338546310678124,0.2190768314931541
1,-0.00753,0.188166,0.370047,7e-06,0.05761,-0.600677,0.797414,7.244424015522003,13.84826581596136,-5.662665696454048,0.1252282893068622,9.768886963316795,-0.8506099901363253,-0.4546230435371399,-0.5950397849082947,-2.355884552001953,0.3011405453772383,0.3200134626786538,-0.6640485098459242,-0.6049341262000725,0.0885868519544601,0.0526748523116111,-0.0206714589148759,0.0089627504348754,-0.0288227349519729,-0.0178465694189071,-0.0445383489131927,-0.0410242043435573,-0.0690700290948152,0.029401134699583,0.0041851036649197,0.1400206843044608
2,0.000345,0.166563,0.367897,-7e-05,0.060286,-0.614201,0.786844,6.851757407599687,2.867269254004955,-4.122482081311941,-1.03474497984685,9.742990305516123,-0.4169237914202734,-1.4713236093521118,-0.442919909954071,-3.2626450061798096,0.264805612425123,0.3452116867941728,-0.6341025856313605,-0.6392345454830685,0.0614678785204887,0.0263493433594703,-0.0139813981950283,0.014834702014923,-0.0413611978292465,-0.0349875092506408,-0.0629666000604629,-0.0140791442245244,-0.0360901350349187,0.0334539674222469,-0.0009646803136914,0.0482978747010231
3,0.02229,0.111544,0.356465,-0.018242,0.043867,-0.660929,0.748943,-0.8584899297311902,-8.900803568071126,0.3428419620454311,-2.1499738015979526,9.567288286173342,0.1223810466495808,-1.0850015878677368,0.4679541289806366,-2.155780792236328,0.235992757503831,0.3727386801167722,-0.5956728796735026,-0.6712280010929599,0.0345337316393852,0.0088622290641069,-0.0008298438042402,0.003904640674591,-0.0219654887914657,-0.0095882266759872,-0.0846063941717147,-0.0088354256004095,-0.0281751241266727,0.0145892854779958,0.0044247576396912,-0.0023841186575591
4,0.031646,0.084869,0.351865,-0.028022,0.036305,-0.683683,0.728337,1.7410308893963693,-15.92582963038683,-0.4559785484144464,-2.765898253025114,9.404321829763054,0.2809024972165934,-0.1411298215389251,0.0623955614864826,-0.841590166091919,0.22353739087642,0.3952392635883944,-0.5739894452561985,-0.6814345030974222,0.05213563144207,0.0192340686917305,-0.0035480656661093,-0.0154863595962524,0.0115223228931427,0.016680970788002,-0.0891977995634079,-0.0178913474082946,-0.0593675502479076,0.0138148786500096,0.0551627920344471,0.0879963364262133
5,0.041383,0.061802,0.348488,-0.033814,0.030621,-0.701762,0.710949,0.2047317144721746,-14.922133065080642,0.3963064257293939,-2.901500609430671,9.360702468267082,0.3590646364413201,-0.2855653166770935,-0.0073960712179541,0.1234894767403602,0.2208610262717657,0.398947167800473,-0.5679207309648157,-0.68522083721923,0.0899165645241737,0.0383652076125144,-0.0107223559170961,-0.0149006247520446,0.0280022621154785,0.0268696099519729,-0.0772796869277954,-0.0222323723137378,-0.0314981310695409,0.0256930980831384,0.0641266544084996,0.1059421813528984
6,0.046085,0.044032,0.346984,-0.039702,0.027282,-0.714936,0.697528,-1.3349024500936268,-10.049050058609248,1.046251512441039,-2.7238682065472006,9.406655825668572,0.515516267597489,-0.3846523463726043,0.0385471619665622,0.7689940929412842,0.23045698360621,0.3915373170525951,-0.5660516887570166,-0.6878761668742279,0.1189535483717918,0.0343113988637924,-0.0244409646838903,-0.0028067231178283,0.0228938609361648,0.0161105394363403,-0.0774360001087188,-0.0029788110405206,-0.0658405456542968,0.008200405165553,0.0299225523158907,-0.0073890142727643
7,0.050555,0.031401,0.346075,-0.043794,0.027744,-0.723026,0.688873,-2.0649125687755645,-5.211344654989242,2.615850022637844,-2.2539285354606804,9.532281270200013,0.4752138851623982,0.5663440227508545,0.0032605321612209,1.667875051498413,0.2474255425893899,0.3785510779271565,-0.5766020431178801,-0.6804483163621347,0.0929592326283454,0.0276585537940263,-0.020454479381442,-0.0005580186843872,-0.0088436305522918,0.0064439475536346,-0.0865227729082107,-0.00344307301566,-0.0324421339213848,-0.0021934127435088,0.0142798697650432,-0.0229596545007079
8,0.055377,0.017489,0.343817,-0.054658,0.020605,-0.73467,0.675905,-0.4424934457562863,-0.5593219819784164,-0.2549175948768854,-1.554570160152018,9.68033248155117,0.2118218371299095,0.6657243967056274,0.1407406330108642,2.002476930618286,0.2668006306265705,0.3606792856483418,-0.5992583290779745,-0.6630364640126958,0.07114128023386,0.021298125386238,-0.008179435506463,0.0013341903686523,-0.0206636041402816,-0.0010839998722076,-0.0917821079492569,0.0060839452780783,-0.0175444245189428,0.0436272099614143,0.0197370391923934,0.0158052527014166
9,0.05883,0.015223,0.341392,-0.058167,0.01975,-0.73854,0.671405,2.54723445931226,2.257102635452151,-1.014108069205284,-0.799616738871485,9.773909759914874,-0.0409864922417327,0.6097655296325684,0.0408960655331611,1.720586895942688,0.289339216381378,0.342280036819399,-0.6204305810393718,-0.643578308743801,0.0532389767467975,0.0156788025051355,0.0014190627261996,0.0060049891471862,-0.0114064812660217,0.0047596991062164,-0.1171577274799346,-0.0076494258828461,0.0685223320841789,0.1168618947267532,0.0453321567632257,-0.0498669506486505
