timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
81426618541,-0.030926,0.167661,0.340981,0.00429,0.033344,-0.614131,0.788488,0
81426651865,-0.025789,0.162027,0.339922,0.003805,0.039075,-0.623688,0.780686,1
81426685189,-0.019136,0.14654,0.338042,0.005321,0.04076,-0.634541,0.771795,2
81426751836,-0.00324,0.100977,0.329322,-0.00469,0.030406,-0.665657,0.745624,4
81426785159,0.003079,0.076213,0.324619,-0.011662,0.025758,-0.681449,0.731319,5
81426818483,0.007183,0.052299,0.320568,-0.020295,0.022314,-0.695753,0.717647,6
81426851806,0.010312,0.031994,0.319025,-0.026659,0.020617,-0.707654,0.705755,7
81426885130,0.012283,0.014187,0.317363,-0.032398,0.018612,-0.719262,0.693734,8
81426951777,0.01314,-0.008471,0.316809,-0.039657,0.014434,-0.733228,0.678672,10
81426985100,0.01209,-0.013006,0.316586,-0.040565,0.011428,-0.733944,0.677902,11
81427018424,0.011078,-0.014818,0.315868,-0.042733,0.010242,-0.734155,0.677558,12
81427051747,0.010087,-0.014878,0.315553,-0.04542,0.008424,-0.734622,0.676903,13
81427085071,0.009437,-0.013985,0.314439,-0.047866,0.008024,-0.734897,0.67644,14
81427151718,0.006723,-0.000391,0.313637,-0.050383,0.01502,-0.729791,0.681645,16
81427185041,0.004514,0.021433,0.312937,-0.050785,0.017826,-0.718222,0.69373,17
81427218365,-0.000444,0.055171,0.315798,-0.043824,0.020622,-0.699124,0.713358,18
81427251688,-0.010557,0.093875,0.324154,-0.027282,0.024317,-0.670279,0.741209,19
81427285012,-0.023525,0.131554,0.332238,-0.010315,0.027906,-0.640054,0.767754,20
81427351659,-0.041177,0.174387,0.341212,0.002238,0.032319,-0.606318,0.794562,22
81427384982,-0.04317,0.174353,0.343663,0.008959,0.031944,-0.605635,0.795051,23
81427418306,-0.040996,0.162641,0.345768,0.015599,0.036634,-0.610275,0.791189,24
81427451630,-0.03472,0.144856,0.34534,0.015961,0.039749,-0.619528,0.783805,25
81427484953,-0.025669,0.122262,0.342715,0.011606,0.038131,-0.635848,0.770784,26
81427551600,-0.007416,0.071326,0.336586,-0.004387,0.029014,-0.675604,0.73668,28
81427584923,-0.001853,0.046667,0.334227,-0.009801,0.021078,-0.692437,0.721104,29
81427618247,0.001338,0.024168,0.332263,-0.01484,0.015753,-0.704782,0.709094,30
81427651571,0.005159,0.006708,0.332249,-0.020623,0.013944,-0.715373,0.698299,31
81427684894,0.008048,-0.007394,0.330784,-0.026029,0.014312,-0.723962,0.6892,32
81427751541,0.013902,-0.022543,0.328063,-0.033744,0.017944,-0.737545,0.674216,34
81427784864,0.015475,-0.024232,0.326117,-0.038016,0.017803,-0.739957,0.671343,35
81427818188,0.015692,-0.02241,0.324428,-0.041261,0.0179,-0.739581,0.671563,36
81427851512,0.014252,-0.015668,0.323754,-0.04258,0.02074,-0.736265,0.675034,37
81427884835,0.013088,-2.4e-05,0.323954,-0.043145,0.031743,-0.728982,0.682434,38
81427951482,0.003818,0.068158,0.325036,-0.038043,0.049038,-0.682755,0.728006,40
81427984806,-0.007914,0.111851,0.325704,-0.035868,0.042401,-0.651438,0.756666,41
81428018129,-0.022756,0.15007,0.326956,-0.032097,0.028361,-0.620247,0.783236,42
81428051453,-0.036724,0.176044,0.328755,-0.027012,0.023633,-0.594353,0.803403,43
81428084776,-0.044548,0.18618,0.330864,-0.026862,0.031128,-0.581472,0.812527,44
81428151423,-0.037578,0.165521,0.332481,-0.023567,0.043723,-0.594437,0.802607,46
