timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
21657199745,-0.010049,0.17427,0.197537,0.032661,0.053172,-0.705842,0.705616,0
21657233068,-0.01099,0.171724,0.197184,0.034288,0.050916,-0.706492,0.705054,1
21657299715,-0.014931,0.129222,0.190721,0.028062,0.037679,-0.702197,0.710431,3
21657333038,-0.016379,0.091751,0.186788,0.021699,0.033509,-0.700447,0.712587,4
21657366361,-0.017608,0.045173,0.184507,0.018424,0.0329,-0.699585,0.713553,5
21657433007,-0.017877,-0.060987,0.184791,0.022324,0.037832,-0.703283,0.709552,7
21657466331,-0.017038,-0.108907,0.184129,0.01871,0.040239,-0.708975,0.703836,8
21657499654,-0.01582,-0.145095,0.18297,0.016134,0.040508,-0.712274,0.700546,9
21657532977,-0.014534,-0.169814,0.178684,-0.002039,0.036567,-0.715957,0.697183,10
21657599623,-0.016692,-0.17946,0.173549,-0.014183,0.035933,-0.719101,0.69383,12
21657632947,-0.018033,-0.169403,0.16849,-0.019515,0.029434,-0.717271,0.695899,13
21657666270,-0.017641,-0.154098,0.163062,-0.029288,0.026716,-0.719212,0.693659,14
21657732916,-0.016351,-0.116109,0.159375,-0.026501,0.027114,-0.720266,0.692662,16
21657766239,-0.015381,-0.102087,0.15814,-0.024316,0.027324,-0.719064,0.69398,17
21657799562,-0.013228,-0.09195,0.156038,-0.023543,0.03065,-0.718715,0.69423,18
21657866209,-0.011203,-0.095292,0.154374,-0.01689,0.03332,-0.71596,0.697141,20
21657899532,-0.010156,-0.108852,0.153412,-0.016871,0.032125,-0.71476,0.698427,21
21657932855,-0.008479,-0.129959,0.153596,-0.014758,0.030249,-0.715149,0.698161,22
21657966178,-0.006423,-0.155863,0.154047,-0.015105,0.026121,-0.718311,0.695067,23
21658032824,-0.002709,-0.200803,0.154136,-0.02639,0.02452,-0.72604,0.686708,25
21658066148,-0.002197,-0.209672,0.157721,-0.021724,0.033578,-0.727219,0.68524,26
21658099471,-0.002658,-0.203522,0.162747,-0.014068,0.042046,-0.726726,0.685495,27
21658166117,-0.00718,-0.149793,0.166932,-0.005756,0.051765,-0.722191,0.68973,29
21658199441,-0.008416,-0.103185,0.168727,-0.000205,0.062343,-0.720319,0.690836,30
21658232764,-0.010156,-0.045653,0.165991,-0.001435,0.064964,-0.71829,0.692702,31
21658299410,-0.014064,0.077078,0.159843,-0.005446,0.052387,-0.70685,0.7054,33
21658332733,-0.014442,0.128035,0.164305,0.004905,0.058804,-0.70085,0.710864,34
21658366056,-0.012787,0.165641,0.171116,0.021285,0.068266,-0.698259,0.712265,35
21658399380,-0.009478,0.187033,0.175865,0.034778,0.071193,-0.698972,0.710746,36
21658466026,-0.001705,0.190562,0.172988,0.044601,0.058416,-0.702232,0.708145,38
21658499349,0.002804,0.174614,0.167056,0.037551,0.050812,-0.704518,0.706868,39
21658532672,0.006161,0.146682,0.160574,0.030434,0.043383,-0.706409,0.705818,40
21658599318,0.011447,0.060853,0.153496,0.027348,0.027904,-0.706403,0.706731,42
21658632641,0.014026,0.005996,0.154657,0.032455,0.029585,-0.708045,0.704801,43
21658665965,0.016961,-0.050403,0.157776,0.039136,0.035391,-0.712081,0.700111,44
21658732611,0.023325,-0.137728,0.158605,0.026654,0.030943,-0.729006,0.683287,46
21658765935,0.021307,-0.159737,0.158338,0.019464,0.038897,-0.73032,0.681719,47
21658799258,0.016116,-0.165868,0.15518,0.008782,0.034803,-0.726543,0.686183,48
21658832581,0.011287,-0.160113,0.14938,-0.004715,0.026501,-0.723747,0.68954,49
21658899227,0.004427,-0.126183,0.145466,-0.013816,0.030931,-0.721225,0.691872,51
21658932550,0.002136,-0.105532,0.145104,-0.011299,0.03042,-0.718523,0.694746,52
21658965873,0.000906,-0.086807,0.143871,-0.01056,0.028499,-0.71697,0.696441,53
21659032519,-0.00113,-0.063723,0.143067,-0.006671,0.029858,-0.715398,0.698047,55
21659065843,-0.001703,-0.06255,0.143016,-0.005989,0.028078,-0.714743,0.698798,56
21659099166,-0.00261,-0.067536,0.14294,-0.007741,0.024332,-0.714426,0.699245,57
21659165813,-0.003823,-0.100151,0.141809,-0.015278,0.015605,-0.713777,0.700033,59
21659199136,-0.004346,-0.124215,0.141131,-0.01944,0.007899,-0.713859,0.699975,60
21659232459,-0.004278,-0.15062,0.14097,-0.022419,0.001584,-0.715049,0.698713,61
21659299105,-0.002141,-0.196446,0.142111,-0.027085,-0.00403,-0.721067,0.692324,63
21659332428,-0.001311,-0.210825,0.144438,-0.025929,-0.000521,-0.723152,0.690202,64
21659365752,-0.000993,-0.215289,0.146885,-0.0255,0.003815,-0.72374,0.689591,65
21659399075,0.000509,-0.207838,0.150385,-0.02045,0.00911,-0.724022,0.689414,66
21659465721,0.000863,-0.150488,0.154911,-0.013572,0.020894,-0.723477,0.689898,68
21659499044,0.000724,-0.10232,0.155397,-0.012489,0.02437,-0.722736,0.690582,69
21659532367,-4.2e-05,-0.042633,0.154624,-0.010938,0.024649,-0.720175,0.693268,70
21659599014,-0.002664,0.081621,0.157673,-0.010072,0.029948,-0.710514,0.702973,72
21659632337,-0.003773,0.132755,0.165667,5e-06,0.044832,-0.707468,0.705322,73
21659665660,-0.005061,0.170822,0.176097,0.017177,0.062094,-0.70397,0.707302,74
21659732305,-0.006914,0.203799,0.188602,0.035,0.068085,-0.701006,0.709035,76
21659765630,-0.006063,0.200685,0.191058,0.036428,0.065405,-0.701745,0.708484,77
21659798952,-0.004819,0.185512,0.19426,0.035542,0.063863,-0.702893,0.70753,78
21659832276,-0.00334,0.15791,0.196377,0.032606,0.060837,-0.704694,0.706146,79
21659898922,-0.000488,0.070813,0.20471,0.030185,0.057822,-0.707469,0.703728,81
21659932245,0.000852,0.013689,0.209992,0.035592,0.058562,-0.709445,0.701421,82
21659965568,0.002891,-0.047479,0.214168,0.040973,0.058501,-0.713505,0.697,83
21660032214,0.009534,-0.152908,0.212681,0.002161,0.058743,-0.733708,0.676917,85
21660065538,0.009217,-0.183362,0.213347,-0.000204,0.056248,-0.739359,0.670958,86
21660098861,0.007394,-0.195847,0.210247,-0.010447,0.044947,-0.739496,0.671578,87
21660165507,0.002357,-0.169678,0.213155,-0.013216,0.041527,-0.724737,0.687646,89
21660198831,0.000638,-0.141048,0.220325,-7.1e-05,0.048575,-0.716844,0.69554,90
21660232154,0.000286,-0.109079,0.224875,0.007038,0.053135,-0.713165,0.698944,91
21660265477,0.000413,-0.077012,0.226745,0.009728,0.055117,-0.712792,0.699138,92
21660332123,-0.000801,-0.021646,0.225892,0.01135,0.059586,-0.711076,0.700494,94
21660365446,-0.000251,-0.001257,0.223845,0.006149,0.060923,-0.711133,0.700386,95
21660398770,-0.000145,0.014249,0.22092,0.001697,0.056725,-0.712834,0.699033,96
21660465416,0.000904,0.029833,0.219238,0.003688,0.048315,-0.713469,0.699009,98
21660498739,0.000928,0.032249,0.218685,0.005749,0.042891,-0.712874,0.699956,99
21660532062,0.000743,0.030136,0.22029,0.007883,0.043456,-0.712679,0.700099,100
21660598708,-0.002354,0.021179,0.225188,0.016764,0.039453,-0.7115,0.701378,102
21660632032,-0.004371,0.016602,0.227597,0.020902,0.032548,-0.712102,0.70101,103
21660665355,-0.00557,0.013576,0.230188,0.036192,0.018257,-0.710553,0.702475,104
21660698678,-0.004484,0.011493,0.227644,0.038525,0.012112,-0.708277,0.704779,105
21660765324,-0.002967,0.012215,0.227412,0.034853,0.006602,-0.705579,0.707743,107
21660798647,-0.000722,0.011766,0.226791,0.034352,0.005879,-0.706309,0.707045,108
21660831970,0.001278,0.011389,0.227053,0.032948,0.001931,-0.709251,0.704183,109
21660898617,0.00735,0.008528,0.223283,0.006763,-0.011606,-0.71917,0.694705,111
21660931940,0.011289,0.007146,0.220817,-0.009654,-0.014109,-0.724834,0.688712,112
21660965263,0.014242,0.006319,0.218345,-0.02306,-0.015859,-0.726446,0.686653,113
21661031909,0.017704,0.007115,0.217297,-0.026717,-0.031534,-0.719393,0.693373,115
21661065232,0.020442,0.006696,0.215195,-0.037252,-0.034487,-0.720277,0.691827,116
21661098555,0.022312,0.007419,0.213425,-0.047848,-0.039202,-0.719565,0.691664,117
21661165202,0.025787,0.008684,0.206578,-0.061255,-0.06549,-0.713147,0.695255,119
21661198525,0.027288,0.009901,0.203896,-0.064444,-0.070915,-0.712245,0.69536,120
21661231848,0.028212,0.011383,0.202036,-0.066264,-0.069804,-0.70891,0.698701,121
21661265171,0.029543,0.01258,0.199355,-0.078489,-0.057455,-0.707795,0.699689,122
21661331817,0.033315,0.015571,0.191693,-0.10719,-0.032993,-0.707053,0.69821,124
21661365140,0.035581,0.015682,0.186892,-0.127733,-0.028113,-0.7072,0.694811,125
