timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
20891524093,-0.029643,0.137682,0.083044,0.082402,0.057293,-0.697045,0.709969,0
20891557416,-0.030632,0.134321,0.078329,0.071258,0.049618,-0.6985,0.710323,1
20891624063,-0.035665,0.091554,0.066803,0.047246,0.032028,-0.695536,0.716221,3
20891657386,-0.039203,0.055634,0.065272,0.040161,0.029025,-0.694555,0.717731,4
20891690709,-0.042552,0.012014,0.066696,0.039956,0.030144,-0.692584,0.719599,5
20891757356,-0.044634,-0.088003,0.073558,0.059058,0.047033,-0.697931,0.712174,7
20891790679,-0.045063,-0.133628,0.074656,0.057352,0.052162,-0.69881,0.711094,8
20891824002,-0.045913,-0.165605,0.074366,0.054973,0.05313,-0.695952,0.714007,9
20891890649,-0.044371,-0.196153,0.072671,0.053059,0.053934,-0.69554,0.714493,11
20891923972,-0.042357,-0.193937,0.065527,0.043006,0.041452,-0.698346,0.713264,12
20891957296,-0.040856,-0.181928,0.061298,0.039499,0.029193,-0.699343,0.713097,13
20892023942,-0.037629,-0.140478,0.057511,0.042575,0.023713,-0.699201,0.713262,15
20892057265,-0.03744,-0.119522,0.057917,0.050017,0.023252,-0.694149,0.717715,16
20892090589,-0.036931,-0.102596,0.058197,0.055592,0.024645,-0.689998,0.721253,17
20892157235,-0.034243,-0.086501,0.056579,0.064569,0.029258,-0.68952,0.720789,19
20892190559,-0.034672,-0.088862,0.054866,0.066595,0.027368,-0.686818,0.723254,20
20892223882,-0.034722,-0.097632,0.051885,0.063676,0.022763,-0.684374,0.725988,21
20892290529,-0.034179,-0.13762,0.046799,0.052748,0.010626,-0.683181,0.728264,23
20892323852,-0.033559,-0.164837,0.045996,0.045655,0.00013,-0.683489,0.728531,24
20892357175,-0.03321,-0.194334,0.046011,0.038321,-0.009676,-0.685036,0.727437,25
20892423822,-0.033272,-0.231635,0.048848,0.020918,-0.016968,-0.693559,0.719896,27
20892457145,-0.035431,-0.227459,0.053377,0.028959,-0.007904,-0.693947,0.7194,28
20892490468,-0.037473,-0.204881,0.057378,0.037403,0.002778,-0.695532,0.717515,29
