frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.043302,0.154267,0.346807,-0.005315,0.00716,-0.61791,0.786198,2.0837230677075684,13.92452721786499,-2.4755787976384163,0.0964969195369165,9.776572257122396,-0.7613823583494871,-0.410849928855896,0.1242711618542671,-0.7242595553398132,-0.5680174732029014,-0.609970613622971,0.4083571306194539,0.3722048357585738,-0.1105921566486358,0.0352644473314285,0.2275208085775375,-0.0141968131065368,-0.0108156502246856,0.0325701311230659,0.0161863937973976,0.0300253685563802,0.0052799862295389,-0.0236861892044544,0.0149387720651924,0.1285385554991662
1,-0.04622,0.14824,0.347448,0.001504,0.020649,-0.612258,0.790387,5.328166030818224,8.398723230227828,-1.6049053858995437,-0.3368540467422455,9.779700618276,-0.6436991049941628,-0.0996092781424522,-0.203024536371231,-1.495924711227417,-0.5631285204846788,-0.6152735823156322,0.3927568431745337,0.3873843498205104,-0.1348631381988525,0.0517706088721752,0.2371649891138076,-0.0130380988121032,0.0087494850158691,0.0248291566967964,0.013044910505414,0.0238417349755764,0.0201870479822158,-0.0299570262432098,0.0391252649471163,-0.0131415133848786
2,-0.036533,0.099209,0.336908,-0.01303,0.013718,-0.631405,0.775222,5.569628516316413,-0.9219389040738344,-0.7405799549479037,-1.074963958314806,9.726317403134702,-0.6431188939534127,0.0971774309873581,-0.2470016330480575,-2.099921464920044,-0.5461685001219223,-0.6279242308343906,0.3721573576519565,0.410986741066685,-0.1476162225008011,0.0564535669982433,0.2205554544925689,-0.0017170906066894,0.0262292027473449,0.0005090236663818,0.0210103224962949,0.0342159196734428,0.018636895930767,-0.0152808055281639,0.0433614412121474,0.0228232417047023
3,-0.027076,0.066763,0.328457,-0.031402,-0.001997,-0.649245,0.759928,2.381512712844461,-8.94003726182878,0.0561328791756182,-1.808251052840799,9.615949733489751,-0.6588735855113714,-0.0980369821190834,-0.0181244798004627,-1.6250879764556885,-0.5286799353811829,-0.6411952793765011,0.3499454491452956,0.4323242735719286,-0.1290079206228256,0.046027448028326,0.1766597032546997,0.006692886352539,0.0384085625410079,-0.0206028148531913,0.028975736349821,0.0445901080965995,0.0171194771051406,-0.0006045838817954,0.0476062391750514,0.0587793750964105
4,-0.019297,0.035485,0.321803,-0.049505,-0.010866,-0.667088,0.743253,1.037243737860024,-14.106430429935454,-0.4583996015489101,-2.3480691467955705,9.510461068058014,-0.4561850307719782,-0.9812006950378418,-0.1698561906814575,-1.211686611175537,-0.5222615279107935,-0.6446141993489173,0.3282247675449263,0.4516459288295175,-0.1572035998106002,0.0126560721546411,0.1119364351034164,0.0152339935302734,0.0365582555532455,-0.0290767550468444,0.0294842105358839,0.0387445129454135,-0.0266530291259288,0.0137777244672179,0.0584513121858239,0.1396482707954943
5,-0.01472,0.0094,0.319905,-0.05581,-0.007719,-0.680437,0.730638,-0.921366949404776,-14.87161400719881,2.3405554101645945,-2.663950036679208,9.43782370187044,-0.0353881858941982,-0.9340822100639344,0.1605229675769806,-0.3964436948299408,-0.528589512635891,-0.638074509817929,0.3076771282589176,0.4677487564045179,-0.1197670176625251,-0.0153231509029865,0.0309914462268352,-0.0009599924087524,0.0406210273504257,-0.0372093319892883,0.0299926828593015,0.0328989177942276,-0.0703933866530656,0.0281600318849086,0.0692946316309273,0.2204895478352904
6,-0.009154,-0.022142,0.32242,-0.044527,0.006297,-0.698595,0.714102,-1.9516244816392656,-12.076121703159808,3.1540058824688195,-2.653472774067521,9.440105090805888,0.1178201228090561,0.0413501746952533,0.1545546650886535,0.5123022794723511,-0.5357958192855289,-0.6347469869868878,0.3018097213013976,0.4678995824243009,-0.0576762184500694,-0.037105306982994,-0.0050475797615945,-0.0141379237174987,0.0324529707431793,-0.0314513444900512,0.0160226877778768,0.0212968662381172,-0.1223252339422702,0.0363718047738075,0.0400746746264398,0.3132921885646879
7,-0.007328,-0.030466,0.323713,-0.040895,0.01146,-0.705849,0.707088,-0.7884130616813898,-6.674098993492126,2.998487403976917,-2.2900813604682684,9.534571426963806,-0.1336754617298953,1.1498968601226809,0.2889913022518158,1.244876265525818,-0.53820494149415,-0.6373098005679523,0.3172566308465163,0.4511318413764143,0.0127598661929368,-0.0440100319683551,-0.0053062392398715,-0.023765206336975,0.0254034399986267,-0.0232452675700187,0.0061295423656702,0.0225129071623086,-0.0776654234826564,0.0088925808668136,0.0006112637661397,0.1656166786581277
8,-0.006252,-0.035324,0.323739,-0.04075,0.013363,-0.710493,0.702397,0.0624833441808819,-0.9424263963073491,-0.282912101739645,-1.7529394999854266,9.625896542486547,-0.6630965369686483,1.2613203525543213,0.3074986338615417,1.532981514930725,-0.5351816264228678,-0.6446991944945282,0.3437607669118961,0.4239953889398339,0.0608360469341278,-0.0519822053611278,-0.0079837813973426,-0.0116569995880126,0.0152259767055511,-0.0061684325337409,0.0244009532034397,0.0591094866394996,0.0185416188627481,-0.0817952081561088,-0.0048718438200652,0.1091812363393604
9,-0.004852,-0.037582,0.323043,-0.041145,0.013697,-0.713962,0.69884,1.4886946893148123,4.146031883725524,-3.5639340063154696,-1.1581452956747262,9.679285602846742,-1.0679485265947877,0.4929899871349334,0.5791007280349731,1.3559980392456057,-0.53861445171036,-0.6488399082898444,0.3653176626964019,0.3942642027085786,0.0176257267594337,-0.0604405626654624,-0.0515518970787525,0.0028606057167053,0.00055992603302,0.0103214308619499,0.0036866851150989,0.0525031462311744,0.018940847313404,-0.056538201868534,0.0079006901219487,0.159325469559431
