timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
69143952627,-0.043302,0.154267,0.346807,-0.005315,0.00716,-0.61791,0.786198,0
69143985950,-0.04622,0.14824,0.347448,0.001504,0.020649,-0.612258,0.790387,1
69144052598,-0.036533,0.099209,0.336908,-0.01303,0.013718,-0.631405,0.775222,3
69144085921,-0.027076,0.066763,0.328457,-0.031402,-0.001997,-0.649245,0.759928,4
69144119245,-0.019297,0.035485,0.321803,-0.049505,-0.010866,-0.667088,0.743253,5
69144152568,-0.01472,0.0094,0.319905,-0.05581,-0.007719,-0.680437,0.730638,6
69144219216,-0.009154,-0.022142,0.32242,-0.044527,0.006297,-0.698595,0.714102,8
69144252539,-0.007328,-0.030466,0.323713,-0.040895,0.01146,-0.705849,0.707088,9
69144285863,-0.006252,-0.035324,0.323739,-0.04075,0.013363,-0.710493,0.702397,10
69144319186,-0.004852,-0.037582,0.323043,-0.041145,0.013697,-0.713962,0.69884,11
69144385834,-0.001729,-0.032575,0.320238,-0.044709,0.014905,-0.717805,0.694647,13
69144419157,-0.000747,-0.019266,0.320575,-0.03855,0.018189,-0.714324,0.698516,14
69144452481,-8.7e-05,0.008391,0.323038,-0.02302,0.031247,-0.705277,0.707869,15
69144485804,-0.003526,0.046643,0.326503,-0.013128,0.040364,-0.689125,0.723398,16
69144552452,-0.02396,0.126395,0.329163,-0.017577,0.0367,-0.646291,0.762005,18
69144585775,-0.036478,0.14846,0.331447,-0.019772,0.035076,-0.628185,0.777022,19
69144619099,-0.045925,0.15407,0.333597,-0.018139,0.041307,-0.616564,0.786011,20
69144652422,-0.050461,0.143238,0.334623,-0.018742,0.05207,-0.612659,0.788407,21
69144719069,-0.043678,0.089074,0.334064,-0.030646,0.064797,-0.629244,0.773896,23
69144752393,-0.038578,0.057762,0.329921,-0.044251,0.061037,-0.645581,0.759962,24
69144785717,-0.033279,0.029337,0.327621,-0.05197,0.051806,-0.665293,0.742967,25
69144819040,-0.02936,0.00716,0.324679,-0.063404,0.036446,-0.683294,0.726472,26
69144885688,-0.02814,-0.020454,0.324492,-0.060586,0.039437,-0.697856,0.712581,28
69144919011,-0.028267,-0.027348,0.324794,-0.058472,0.042715,-0.701072,0.709405,29
69144952335,-0.027976,-0.031004,0.324799,-0.060727,0.044634,-0.70372,0.706469,30
69144985658,-0.026959,-0.031696,0.324331,-0.063103,0.044301,-0.707611,0.702383,31
69145052306,-0.027686,-0.015441,0.325453,-0.054218,0.041958,-0.705173,0.705714,33
69145085629,-0.028167,0.009721,0.326728,-0.040862,0.045175,-0.696052,0.715402,34
69145118953,-0.031946,0.045212,0.327607,-0.030347,0.049689,-0.679546,0.731319,35
69145152276,-0.039757,0.085265,0.327522,-0.026765,0.047552,-0.658078,0.75097,36
69145218924,-0.060654,0.148668,0.331337,-0.025949,0.038991,-0.618132,0.784678,38
69145252247,-0.070257,0.161179,0.33352,-0.021853,0.040194,-0.603787,0.795832,39
69145285571,-0.075682,0.156978,0.335439,-0.020307,0.047749,-0.596442,0.800978,40
69145318895,-0.075673,0.139117,0.335363,-0.020518,0.061479,-0.597792,0.799027,41
69145385542,-0.060221,0.081486,0.332682,-0.028233,0.083756,-0.622795,0.777377,43
69145418866,-0.050006,0.053055,0.328475,-0.037062,0.0792,-0.643441,0.760485,44
69145452189,-0.041356,0.029628,0.324439,-0.048361,0.070838,-0.662915,0.743765,45
69145485512,-0.03464,0.012219,0.323343,-0.054616,0.067132,-0.67683,0.731035,46
69145552160,-0.028232,-0.005403,0.32515,-0.054609,0.069025,-0.686417,0.721863,48
69145585484,-0.026678,-0.008803,0.326548,-0.054221,0.065587,-0.688194,0.720519,49
69145618807,-0.024902,-0.010741,0.323849,-0.05494,0.061367,-0.687518,0.721481,50
69145652130,-0.024538,-0.011899,0.325481,-0.054565,0.060294,-0.684812,0.724168,51
69145718778,-0.023544,-0.013366,0.332205,-0.044645,0.069568,-0.681652,0.726992,53
69145752102,-0.022964,-0.013103,0.335624,-0.041156,0.073927,-0.681146,0.727242,54
69145785425,-0.023029,-0.012234,0.338806,-0.040225,0.077524,-0.678392,0.72949,55
69145818749,-0.023331,-0.011262,0.341003,-0.04052,0.07887,-0.675025,0.732447,56
69145885396,-0.024666,-0.008068,0.346935,-0.040921,0.081011,-0.668744,0.737932,58
69145918720,-0.024371,-0.005676,0.349364,-0.0332,0.075001,-0.67182,0.736159,59
69145952043,-0.023747,-0.00259,0.349215,-0.031025,0.060691,-0.677285,0.732556,60
69145985367,-0.023402,0.000549,0.348123,-0.039588,0.044542,-0.680591,0.730236,61
69146052014,-0.023718,0.006295,0.345445,-0.050708,0.031162,-0.679984,0.730807,63
69146085338,-0.023991,0.008997,0.345946,-0.050576,0.033631,-0.678105,0.732451,64
69146118661,-0.024262,0.011092,0.346348,-0.050182,0.03564,-0.676562,0.733809,65
69146151985,-0.024447,0.012886,0.346463,-0.049605,0.034184,-0.676855,0.733647,66
69146218631,-0.025947,0.016687,0.34633,-0.050382,0.027162,-0.678475,0.73239,68
69146251956,-0.026677,0.018032,0.34644,-0.050968,0.026179,-0.677883,0.732933,69
69146285279,-0.028703,0.019209,0.345268,-0.050918,0.02566,-0.677455,0.733351,70
69146318603,-0.029699,0.019696,0.344906,-0.050668,0.02479,-0.677784,0.733095,71
69146385250,-0.029659,0.019596,0.345293,-0.050713,0.023174,-0.679083,0.731941,73
69146418573,-0.029444,0.019088,0.345216,-0.05118,0.021923,-0.680185,0.730923,74
69146451897,-0.028903,0.018644,0.345537,-0.051618,0.020576,-0.681352,0.729843,75
69146485220,-0.028802,0.017716,0.345995,-0.051312,0.0197,-0.68201,0.729275,76
69146551868,-0.028142,0.016135,0.347375,-0.049698,0.019837,-0.682676,0.72876,78
69146585192,-0.027745,0.015406,0.348157,-0.048755,0.020046,-0.682578,0.72891,79
69146618515,-0.027795,0.016092,0.348383,-0.047797,0.018686,-0.682913,0.728695,80
69146651839,-0.027234,0.015607,0.348929,-0.047083,0.016149,-0.683998,0.727784,81
69146718486,-0.026038,0.014413,0.350726,-0.044622,0.012466,-0.685664,0.726442,83
69146751810,-0.025609,0.013881,0.351755,-0.042674,0.01176,-0.68614,0.726122,84
69146785133,-0.025221,0.013318,0.353608,-0.041063,0.010791,-0.686766,0.725638,85
69146818457,-0.024804,0.012861,0.354886,-0.04007,0.009776,-0.687492,0.725019,86
69146885104,-0.024455,0.012346,0.356479,-0.03809,0.007606,-0.688341,0.724347,88
69146918428,-0.023657,0.012122,0.361365,-0.036915,0.006742,-0.688401,0.72436,89
69146951751,-0.023489,0.011924,0.362537,-0.035239,0.005834,-0.688539,0.724319,90
69146985075,-0.023176,0.011621,0.363242,-0.033725,0.004811,-0.688996,0.723964,91
