frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.014757,0.186983,0.189547,0.027594,0.023127,-0.58432,0.810724,3.0819723273932933,13.444821793437002,0.5110451500654221,0.4657855470817535,9.79135423119068,-0.287785954853706,-0.2746506333351135,0.2062565386295318,-0.4638558030128479,0.5940832333859093,0.59328501738047,-0.403343387773834,-0.3638573100032057,0.0146938534453511,0.0071068434044718,-0.0106473416090011,-0.0047534704208374,0.0021866112947463,0.0071731954813003,-0.0068256258964538,-0.0165302529931068,-0.0172007256478071,-0.0100032500922679,-0.0038774990204721,0.0564712442845106
1,-0.015374,0.177011,0.189089,0.027932,0.020862,-0.58289,0.811803,4.886273619695007,11.37146186044216,-0.6984779392123222,0.0243835041582118,9.80465385774672,-0.19635524179833,-0.2410474866628646,-0.3473536670207977,-1.6848807334899902,0.5881019966998217,0.5990325657149493,-0.3888075566264845,-0.3796376034773819,-0.0077211735770106,0.0021185292862355,-0.0127772707492113,-0.0004030466079711,-0.0034750550985336,0.0036810934543609,-0.0017120675183832,-0.0224869810044765,-0.0091559508800506,-0.0021455977112054,0.0023383798196911,0.0481985059797763
2,0.003638,0.130969,0.18537,0.021719,0.015787,-0.614002,0.788848,5.180687066397071,2.387211362877488,-0.3914122239470481,-0.7383956697113812,9.778625682520866,-0.0604930425799218,-0.3809967339038849,-0.258467823266983,-2.0621654987335205,0.5734791108360995,0.6064464318353354,-0.3678410146238468,-0.4099238223269812,-0.0154139818623662,0.004824673756957,-0.0083732018247246,-0.0040851235389709,-0.0060284435749053,0.0071465224027633,0.0062373024411499,-0.0178830958902835,-0.0025543606579303,0.0001481950748711,0.0173224523313343,0.0589569236204028
3,0.015687,0.100776,0.183337,0.015628,0.017219,-0.637652,0.769974,4.794392331594229,-6.674727354523539,-1.9200445175051688,-1.6234215780600905,9.671070147687196,0.0726187984844204,-0.2881902158260345,-0.1399872899055481,-2.451441764831543,0.5574694326998684,0.6178995548014272,-0.3383749575944728,-0.4392383116656137,-0.018922695890069,0.0103626642376184,-0.0047542322427034,-0.0004571080207824,-0.0039283484220504,0.0005726814270019,0.0070833479985594,-0.018444899469614,-0.0150596219658851,0.0069558750838041,0.0331228096619248,0.0831533533744514
4,0.033504,0.04503,0.179023,0.001415,0.00716,-0.680564,0.732652,1.2210048527568578,-13.053949667716026,-2.3642039967775346,-2.465690148569643,9.488234038680792,0.2532665214679204,-0.7055476903915405,0.1246974691748619,-1.8690952062606807,0.5426890581927779,0.6263932996503409,-0.3077636035198946,-0.4673344225790017,-0.017804967239499,0.0074119884520769,-0.0025926779489964,0.0001406669616699,-0.0028476119041442,-0.0042079091072082,0.0051404675468802,-0.0164268799126148,-0.0168622874736785,0.0065613337792456,0.0265866128262132,0.0887802533455193
5,0.038497,0.025077,0.177408,-0.005276,0.000109,-0.69622,0.717809,-0.6208680453091859,-14.398565118050575,0.0605780585488304,-2.996022182907164,9.323905646267534,0.5089423690998927,-0.6800702214241028,0.3863421678543091,-0.9373087286949158,0.5408961997979892,0.6292054001003118,-0.2795563000055677,-0.4830943311788422,0.0087912231683731,-0.0047386307269334,0.0034466390497982,-0.0039357542991638,-0.0012465864419937,-0.0034740567207336,0.0020350571721792,-0.0166439078748226,-0.0213648595899343,0.0105355577543377,0.0345089302580803,0.0903270443961024
6,0.040676,0.011605,0.177732,-0.006026,-0.001132,-0.705549,0.708635,-1.913796270765364,-11.907702242040632,1.109400261728093,-3.1863018859177825,9.255524768480658,0.59422363788113,0.1537975519895553,-0.113652616739273,-0.0784722045063972,0.540295492464567,0.6303699141583602,-0.2689550099841996,-0.4882392920718738,0.0128187220543622,0.0034544244408607,0.0134223736822605,-0.0031555891036987,-0.0048905462026596,0.0031695961952209,0.0024313000030815,-0.0071680359542369,-0.0031160861939191,0.0003295140340924,0.0217795778706669,0.0550454492650926
7,0.043904,-0.000429,0.179836,-0.004263,-0.000263,-0.711592,0.70258,-3.123863842183351,-8.490239484408498,0.0656634355217218,-3.0180118963971734,9.3177354332,0.4917364192876964,0.3181406855583191,-0.0230598654597997,1.0149948596954346,0.5398078711603466,0.6300699840611611,-0.2791777831080088,-0.4834036820956776,0.0001617826055735,0.005516190547496,0.0158047713339328,-0.000196099281311,-0.0027749091386795,0.0034800022840499,0.0004587918519973,-0.0015446683391928,-0.0010544774889945,-0.0044427495449781,0.0155206636063754,0.063863400362432
8,0.044594,-0.002165,0.179463,-0.003376,-0.002385,-0.714482,0.699641,0.3697594873264431,-4.507596081897616,-0.1147030685007572,-2.4988033136203884,9.474068150684236,0.4103870100626722,0.1120673418045044,0.3190913498401642,1.6531513929367063,0.5515830577346265,0.625318287156757,-0.2967374676973742,-0.4654891409211802,0.003157305996865,0.0041748094372451,0.0096582621335983,-0.0045716166496276,-0.001607522368431,0.0040496587753295,-0.0015137162990868,0.0040786997415125,0.0003361000865697,-0.0092150121927261,0.008596709562093,0.0695493370443582
9,0.045029,-0.003828,0.180719,-0.005785,-0.006512,-0.716706,0.697322,2.05031705719009,0.4951876557201147,0.5979851458391174,-1.83214528477788,9.628843117332458,0.314654599491693,0.3353232145309448,0.2053069621324539,1.7525962591171265,0.5671398255688468,0.6193567628470485,-0.3167874385353256,-0.4409028924596704,0.0071589723229408,0.002708472777158,0.0085459928959608,-0.0026592016220092,-0.0053766369819641,0.001335933804512,-0.0108887553215026,0.009160871617496,-0.0048018473237752,-0.0124575439840555,-0.0078005907483398,0.0566780189029872
