timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
70208036621,-0.014757,0.186983,0.189547,0.027594,0.023127,-0.58432,0.810724,0
70208069945,-0.015374,0.177011,0.189089,0.027932,0.020862,-0.58289,0.811803,1
70208136592,0.003638,0.130969,0.18537,0.021719,0.015787,-0.614002,0.788848,3
70208169916,0.015687,0.100776,0.183337,0.015628,0.017219,-0.637652,0.769974,4
70208236563,0.033504,0.04503,0.179023,0.001415,0.00716,-0.680564,0.732652,6
70208269886,0.038497,0.025077,0.177408,-0.005276,0.000109,-0.69622,0.717809,7
70208303209,0.040676,0.011605,0.177732,-0.006026,-0.001132,-0.705549,0.708635,8
70208369857,0.043904,-0.000429,0.179836,-0.004263,-0.000263,-0.711592,0.70258,10
70208403180,0.044594,-0.002165,0.179463,-0.003376,-0.002385,-0.714482,0.699641,11
70208436504,0.045029,-0.003828,0.180719,-0.005785,-0.006512,-0.716706,0.697322,12
70208503151,0.045766,-0.00578,0.178204,-0.011265,-0.011013,-0.720768,0.692998,14
70208536474,0.045583,-0.004802,0.176996,-0.011208,-0.010601,-0.722246,0.691464,15
70208569798,0.046102,0.001213,0.176005,-0.009302,-0.008726,-0.723123,0.690602,16
70208636445,0.046493,0.046917,0.181498,0.008997,5.6e-05,-0.707404,0.706752,18
70208669768,0.039953,0.086718,0.186869,0.026994,-0.000956,-0.683366,0.729576,19
70208736415,0.01486,0.161659,0.19548,0.050331,0.000814,-0.629778,0.775143,21
70208769738,0.001641,0.18221,0.197247,0.050065,-0.000245,-0.609217,0.791422,22
70208803062,-0.008306,0.186721,0.198302,0.050752,-0.003815,-0.594935,0.802161,23
70208869709,-0.01036,0.150858,0.20204,0.049826,-0.017289,-0.594255,0.802546,25
70208903033,-0.002145,0.120842,0.200464,0.043654,-0.02122,-0.613371,0.788302,26
70208969679,0.015236,0.058294,0.195489,0.030976,-0.02253,-0.66506,0.745807,28
70209003004,0.021824,0.032636,0.194889,0.030552,-0.022949,-0.685904,0.726688,29
70209036327,0.026111,0.013764,0.196501,0.027698,-0.027631,-0.702158,0.710945,30
70209102974,0.028922,-0.004373,0.197187,0.027101,-0.036545,-0.712977,0.69971,32
70209136298,0.02884,-0.006228,0.19872,0.02808,-0.040069,-0.712839,0.699619,33
70209169620,0.028938,-0.006617,0.199753,0.02964,-0.041403,-0.712676,0.699643,34
70209236268,0.028691,-0.006145,0.20097,0.029433,-0.040386,-0.713978,0.698382,36
70209269592,0.028782,-0.006253,0.200554,0.028828,-0.04061,-0.715159,0.697185,37
70209302914,0.029311,-0.005642,0.199562,0.028166,-0.039226,-0.716667,0.695742,38
70209369562,0.027189,0.014366,0.205725,0.031725,-0.027603,-0.712045,0.700874,40
70209402886,0.024445,0.039776,0.208692,0.037392,-0.015868,-0.700341,0.712652,41
70209469533,0.00837,0.112329,0.218091,0.050947,-0.00498,-0.648686,0.759333,43
70209502856,-0.001446,0.145475,0.221106,0.056922,-0.006185,-0.625028,0.778499,44
70209536180,-0.009674,0.167061,0.223041,0.055618,-0.010095,-0.60958,0.790707,45
70209602827,-0.017399,0.166086,0.223372,0.046625,-0.013755,-0.598244,0.799838,47
70209636150,-0.014781,0.1475,0.226354,0.042359,-0.017169,-0.604732,0.795116,48
70209702797,-0.002467,0.093091,0.226012,0.021727,-0.011907,-0.639944,0.768022,50
70209736120,0.000909,0.069145,0.226321,0.018192,-0.012625,-0.655133,0.755189,51
70209769444,0.004327,0.050569,0.22607,0.01245,-0.016338,-0.66899,0.742988,52
70209836091,0.011549,0.030453,0.227363,0.011009,-0.016302,-0.683389,0.729789,54
70209869415,0.014726,0.026935,0.229019,0.013389,-0.018152,-0.686529,0.726753,55
70209902738,0.016506,0.025483,0.231946,0.015919,-0.015806,-0.689443,0.723992,56
70209969385,0.016306,0.022655,0.235954,0.02078,-0.011396,-0.687377,0.725914,58
70210002709,0.015199,0.021998,0.23848,0.024915,-0.006614,-0.686929,0.726267,59
70210036032,0.014834,0.019555,0.241619,0.026643,-0.000943,-0.687737,0.72547,60
70210102679,0.013272,0.017831,0.245788,0.02783,0.001467,-0.687108,0.726021,62
70210136003,0.013161,0.016411,0.245717,0.03303,-0.001678,-0.69038,0.72269,63
70210202650,0.013106,0.017023,0.243948,0.034123,-0.017894,-0.699906,0.713195,65
70210235972,0.011632,0.017972,0.238822,0.023783,-0.025416,-0.697291,0.715942,66
70210269297,0.009902,0.019869,0.234149,0.012367,-0.03009,-0.692276,0.720899,67
70210335944,0.009257,0.022123,0.226535,0.004099,-0.038352,-0.692475,0.72041,69
70210369267,0.009163,0.02233,0.223494,0.000688,-0.042581,-0.69331,0.71938,70
70210435914,0.008509,0.02184,0.221573,-0.001968,-0.046978,-0.694374,0.718077,72
70210469238,0.008129,0.021177,0.221857,-0.001655,-0.046681,-0.694237,0.718229,73
70210502561,0.007808,0.020332,0.222384,-0.00045,-0.045971,-0.694122,0.718388,74
70210569209,0.006993,0.01743,0.22354,0.001808,-0.046941,-0.695481,0.717007,76
70210602532,0.007049,0.016294,0.224315,0.002483,-0.047636,-0.696096,0.716363,77
70210635856,0.00725,0.014079,0.225337,0.004034,-0.047738,-0.696587,0.715871,78
70210702503,0.007237,0.010984,0.22853,0.008677,-0.049375,-0.69765,0.714682,80
70210735826,0.006982,0.009808,0.231467,0.010891,-0.049225,-0.69828,0.714047,81
70210769150,0.006752,0.008545,0.233889,0.012694,-0.049275,-0.698859,0.713447,82
70210835797,0.00655,0.00681,0.238104,0.017547,-0.051037,-0.700379,0.711728,84
70210869120,0.006214,0.006238,0.239875,0.019912,-0.051546,-0.700729,0.711284,85
70210935767,0.004381,0.005742,0.242294,0.024028,-0.052371,-0.700882,0.710946,87
70210969091,0.003444,0.00576,0.243077,0.025084,-0.053203,-0.700933,0.710798,88
70211002414,0.002791,0.00565,0.243717,0.025349,-0.054563,-0.701253,0.710369,89
70211069062,0.00081,0.00572,0.244473,0.025848,-0.056746,-0.701539,0.709898,91
70211102385,-0.000337,0.005571,0.245392,0.027162,-0.05752,-0.70146,0.709864,92
