timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
69851179932,-0.023482,0.213944,0.306825,0.006912,0.049917,-0.609092,0.791497,0
69851213255,-0.031738,0.206828,0.309641,0.013274,0.057357,-0.599465,0.798233,1
69851279902,-0.036129,0.159761,0.305038,0.015628,0.055597,-0.599741,0.798107,3
69851313226,-0.031181,0.127042,0.299319,0.001391,0.053613,-0.621108,0.781888,4
69851346550,-0.026916,0.094341,0.293929,-0.015346,0.04948,-0.644442,0.762897,5
69851379873,-0.021738,0.065284,0.289512,-0.028009,0.044117,-0.665426,0.744633,6
69851446520,-0.011162,0.025613,0.286933,-0.044867,0.03988,-0.699113,0.712487,8
69851479844,-0.008597,0.01507,0.286822,-0.049508,0.03807,-0.70714,0.70431,9
69851513167,-0.007471,0.009186,0.286657,-0.05144,0.036896,-0.711448,0.699881,10
69851546491,-0.005898,0.005809,0.285822,-0.052691,0.037346,-0.7144,0.696751,11
69851613138,-0.005915,0.005213,0.284904,-0.055766,0.039963,-0.715538,0.695197,13
69851646462,-0.005975,0.011325,0.284542,-0.056787,0.044035,-0.714115,0.69633,14
69851679785,-0.005049,0.027033,0.285862,-0.052486,0.053865,-0.709322,0.700861,15
69851713109,-0.004566,0.056684,0.288778,-0.041968,0.063383,-0.699939,0.710146,16
69851779756,-0.016273,0.139939,0.296914,-0.005231,0.075397,-0.659129,0.748223,18
69851813079,-0.028649,0.177596,0.302471,0.004762,0.07909,-0.638283,0.765714,19
69851846403,-0.042813,0.201808,0.307715,0.010231,0.076509,-0.618655,0.781862,20
69851879726,-0.055034,0.210576,0.311274,0.012315,0.072446,-0.602823,0.794484,21
69851946374,-0.062432,0.185344,0.315691,0.013075,0.072336,-0.595228,0.800188,23
69851979697,-0.057449,0.15914,0.315165,0.008453,0.074938,-0.605006,0.792641,24
69852013021,-0.049355,0.129711,0.312674,0.003578,0.073299,-0.622188,0.77942,25
69852046344,-0.040706,0.100704,0.310871,-0.001609,0.062923,-0.642214,0.763937,26
69852112992,-0.027211,0.055645,0.30751,-0.014592,0.053778,-0.675076,0.735641,28
69852146315,-0.021222,0.040076,0.303326,-0.019366,0.054124,-0.690008,0.721515,29
69852179638,-0.01671,0.029476,0.300665,-0.025178,0.05122,-0.701211,0.710666,30
69852246285,-0.011093,0.018815,0.294881,-0.034109,0.04044,-0.714151,0.69799,32
69852279609,-0.010039,0.018726,0.292964,-0.037024,0.039435,-0.716179,0.695818,33
69852312933,-0.009654,0.02569,0.293108,-0.036074,0.041336,-0.715198,0.696765,34
69852346256,-0.008824,0.045099,0.294364,-0.027231,0.050966,-0.710471,0.70135,35
69852412903,-0.013811,0.118179,0.302007,-0.005782,0.066696,-0.684553,0.725883,37
69852446227,-0.02257,0.157264,0.305615,0.002062,0.069194,-0.663885,0.744624,38
69852479550,-0.035691,0.188103,0.309113,0.004773,0.073521,-0.640666,0.764277,39
69852512874,-0.049938,0.204834,0.312539,0.00595,0.078941,-0.617951,0.782221,40
69852579521,-0.065241,0.191721,0.315791,0.012807,0.081811,-0.5978,0.797357,42
69852612845,-0.064124,0.168157,0.313507,0.009988,0.07483,-0.603568,0.793729,43
69852646168,-0.05944,0.139338,0.310402,-0.005213,0.07131,-0.622071,0.779689,44
69852679492,-0.052781,0.108933,0.303885,-0.02981,0.071131,-0.646765,0.75878,45
69852746139,-0.042504,0.06421,0.295357,-0.054817,0.062037,-0.677549,0.730804,47
69852779462,-0.038167,0.052445,0.296016,-0.055433,0.066674,-0.688175,0.720345,48
69852812786,-0.034928,0.045795,0.297468,-0.05558,0.068392,-0.694554,0.714023,49
69852846110,-0.032477,0.042895,0.297154,-0.054457,0.068512,-0.698906,0.709839,50
69852912757,-0.031089,0.041241,0.300674,-0.049063,0.070485,-0.700598,0.70837,52
69852946080,-0.030259,0.041419,0.300528,-0.047549,0.071505,-0.699632,0.709325,53
69852979404,-0.030072,0.04128,0.301553,-0.04636,0.072056,-0.697918,0.711033,54
69853012728,-0.029854,0.040731,0.303073,-0.046858,0.07428,-0.696866,0.711803,55
69853079374,-0.025896,0.038472,0.302993,-0.055607,0.076632,-0.699663,0.708172,57
69853112698,-0.024486,0.036963,0.303634,-0.060778,0.07582,-0.702112,0.705404,58
69853146022,-0.022775,0.036982,0.304225,-0.064146,0.074982,-0.702477,0.704833,59
69853212669,-0.020297,0.036,0.306913,-0.06194,0.072839,-0.704548,0.703186,61
69853245992,-0.018386,0.03634,0.307288,-0.054678,0.066426,-0.711578,0.69732,62
69853279316,-0.016525,0.036545,0.305848,-0.052913,0.056245,-0.720661,0.688973,63
69853312639,-0.016252,0.036831,0.302511,-0.062156,0.042626,-0.725282,0.684314,64
69853379286,-0.019651,0.041144,0.297978,-0.06324,0.047884,-0.717852,0.691662,66
69853412610,-0.02122,0.042843,0.296865,-0.059688,0.052227,-0.715621,0.693972,67
69853445933,-0.021729,0.043935,0.293932,-0.059196,0.050379,-0.716231,0.693521,68
69853479257,-0.022793,0.045187,0.291307,-0.05989,0.047011,-0.716893,0.693013,69
69853545904,-0.024301,0.047118,0.286726,-0.06263,0.045276,-0.715039,0.694799,71
69853579228,-0.024825,0.047567,0.284368,-0.064876,0.045521,-0.713413,0.696248,72
69853612551,-0.025321,0.047731,0.282016,-0.067489,0.04636,-0.712203,0.697182,73
69853645875,-0.02477,0.047193,0.280073,-0.069373,0.047686,-0.711725,0.697396,74
69853712522,-0.023356,0.04508,0.278428,-0.068393,0.050817,-0.712405,0.696577,76
69853745845,-0.021479,0.043068,0.281503,-0.066149,0.054584,-0.712216,0.696702,77
69853779169,-0.020183,0.041594,0.283366,-0.063799,0.057964,-0.711579,0.697298,78
69853812492,-0.019198,0.040585,0.284262,-0.061673,0.059342,-0.711375,0.697582,79
69853879140,-0.016516,0.038647,0.287529,-0.060218,0.056966,-0.712644,0.696612,81
69853912463,-0.015646,0.038157,0.288594,-0.05879,0.055204,-0.713459,0.69604,82
69853945787,-0.013893,0.037621,0.289696,-0.057233,0.054268,-0.713828,0.695866,83
69853979110,-0.013023,0.037398,0.290969,-0.05543,0.053661,-0.713892,0.695993,84
69854045757,-0.012866,0.037671,0.293713,-0.050982,0.052752,-0.714072,0.696218,86
69854079081,-0.013104,0.037879,0.295123,-0.047981,0.052541,-0.713785,0.696741,87
69854112404,-0.013222,0.038064,0.296507,-0.045118,0.052747,-0.713417,0.697293,88
69854179052,-0.013207,0.038341,0.299379,-0.042412,0.051911,-0.712865,0.69809,90
