timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
33771733658,0.022048,0.143796,0.130995,-0.00538,-0.015906,-0.717039,0.69683,0
33771766982,0.021585,0.141574,0.11901,-0.012824,-0.018524,-0.718468,0.695195,1
33771800305,0.020524,0.127021,0.105141,-0.023179,-0.026341,-0.718985,0.69414,2
33771866952,0.015888,0.06006,0.078677,-0.033062,-0.028089,-0.714447,0.698343,4
33771900275,0.013471,0.01012,0.066572,-0.040986,-0.027702,-0.713695,0.698708,5
33771933599,0.01069,-0.047205,0.056247,-0.050179,-0.027268,-0.714219,0.697588,6
33771966922,0.00791,-0.107894,0.04846,-0.05155,-0.021895,-0.714349,0.697545,7
33772000245,0.005412,-0.164607,0.040278,-0.05731,-0.02184,-0.713142,0.698332,8
33772066892,0.002324,-0.231776,0.030356,-0.082807,-0.031592,-0.711346,0.697231,10
33772100215,0.002745,-0.232735,0.029264,-0.090032,-0.036594,-0.706986,0.700519,11
33772133539,0.00435,-0.207987,0.031211,-0.091071,-0.038012,-0.702803,0.704507,12
33772166862,0.009264,-0.163306,0.034601,-0.092069,-0.038182,-0.707215,0.699938,13
33772200185,0.016601,-0.106566,0.033916,-0.097563,-0.047899,-0.716432,0.689138,14
33772233509,0.023748,-0.045573,0.032316,-0.100157,-0.064242,-0.722463,0.681094,15
33772300155,0.032534,0.060918,0.040473,-0.083146,-0.050648,-0.730148,0.676317,17
33772333479,0.036575,0.096665,0.049035,-0.042995,-0.01702,-0.74058,0.670375,18
33772366802,0.039652,0.119089,0.04819,-0.022298,-0.000576,-0.744753,0.666967,19
33772400125,0.040774,0.129522,0.037099,-0.036969,-0.010685,-0.741394,0.669966,20
33772433449,0.04194,0.125745,0.025754,-0.052007,-0.027953,-0.735907,0.674503,21
33772500095,0.038924,0.077914,0.008158,-0.037272,-0.035289,-0.71797,0.694179,23
33772533419,0.037632,0.033294,-0.003721,-0.037023,-0.03474,-0.712149,0.70019,24
33772566742,0.035871,-0.021057,-0.01642,-0.052977,-0.037819,-0.709056,0.702141,25
33772600066,0.034128,-0.083763,-0.026747,-0.068131,-0.035048,-0.710779,0.699231,26
33772633389,0.032742,-0.148144,-0.035081,-0.072986,-0.023877,-0.717225,0.692597,27
33772700036,0.028402,-0.249559,-0.053993,-0.114414,-0.053039,-0.721124,0.681232,29
33772733359,0.027017,-0.270776,-0.057798,-0.13932,-0.080853,-0.717784,0.677376,30
