timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
9772323773,0.019432,0.110846,0.039363,-0.058769,-0.100503,-0.679904,0.724,0
9772357096,0.022308,0.102803,0.034397,-0.061875,-0.103634,-0.682347,0.720995,1
9772390419,0.026007,0.086097,0.032023,-0.063286,-0.100798,-0.683231,0.720437,2
9772457065,0.032017,0.029821,0.032941,-0.036317,-0.066775,-0.688552,0.721192,4
9772490389,0.035207,-0.008056,0.034094,-0.023126,-0.051527,-0.69335,0.718385,5
9772523711,0.037203,-0.044102,0.031114,-0.022173,-0.051497,-0.694432,0.717371,6
9772557034,0.038112,-0.071373,0.030313,-0.025203,-0.044216,-0.694331,0.717854,7
9772590358,0.039424,-0.083889,0.033908,-0.013377,-0.020785,-0.69727,0.716382,8
9772657005,0.037358,-0.053314,0.036805,-0.003169,-0.002613,-0.697004,0.717056,10
9772690329,0.032957,-0.012807,0.03497,-0.01139,-0.017247,-0.68793,0.725482,11
9772723652,0.028811,0.036675,0.034006,-0.025724,-0.036903,-0.682283,0.729703,12
9772756975,0.025844,0.086665,0.036174,-0.032711,-0.05065,-0.684183,0.726814,13
9772790298,0.022807,0.129451,0.041032,-0.026934,-0.040355,-0.685454,0.726498,14
9772856945,0.018237,0.183311,0.04947,0.005866,-0.003099,-0.68237,0.730977,16
9772890268,0.016935,0.189934,0.04291,-0.004272,-0.012271,-0.68057,0.732568,17
9772923591,0.015344,0.185703,0.03511,-0.021032,-0.031178,-0.679274,0.732921,18
9772956915,0.013219,0.171556,0.031916,-0.027214,-0.037849,-0.676575,0.734897,19
9772990237,0.0116,0.14618,0.034574,-0.01917,-0.027595,-0.673896,0.738062,20
9773056884,0.008829,0.069805,0.038902,-0.001542,-0.010602,-0.671084,0.741304,22
9773090206,0.010943,0.020311,0.038015,-0.00263,-0.010953,-0.672837,0.739705,23
9773123531,0.011237,-0.026787,0.035701,-0.003055,-0.020501,-0.672468,0.739835,24
9773156854,0.011302,-0.064269,0.031958,-0.016941,-0.03496,-0.670367,0.741012,25
9773190177,0.012834,-0.085438,0.02986,-0.028989,-0.043445,-0.67268,0.738088,26
9773256824,0.01658,-0.065063,0.033374,-0.04862,-0.061665,-0.67969,0.729284,28
9773290147,0.018449,-0.027169,0.037612,-0.062944,-0.06608,-0.678841,0.728592,29
9773323470,0.019391,0.016508,0.041303,-0.070936,-0.067716,-0.683133,0.723679,30
9773356792,0.019736,0.057792,0.045704,-0.072087,-0.067637,-0.691848,0.715245,31
