timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
35732363134,0.049173,0.264296,0.699825,-0.012282,0.042846,-0.728712,0.683369,0
35732396457,0.046151,0.25285,0.690423,-0.013393,0.037525,-0.725085,0.687506,1
35732429781,0.043243,0.2288,0.678701,-0.018227,0.032825,-0.72271,0.690131,2
35732496427,0.039341,0.145677,0.662238,-0.018705,0.032717,-0.719924,0.693029,4
35732529750,0.038308,0.088792,0.655853,-0.01406,0.03569,-0.720404,0.692493,5
35732563074,0.036499,0.025365,0.650948,-0.010517,0.041984,-0.718866,0.6938,6
35732596397,0.034798,-0.037626,0.643372,-0.019091,0.035327,-0.718682,0.694178,7
35732629720,0.031882,-0.09171,0.634703,-0.033162,0.01512,-0.718382,0.694694,8
35732696367,0.030861,-0.151791,0.623952,-0.061708,0.004847,-0.722165,0.688946,10
35732729690,0.031647,-0.145237,0.623516,-0.063133,0.00247,-0.718532,0.692618,11
35732763014,0.034241,-0.113095,0.627691,-0.05664,0.007627,-0.716907,0.694822,12
35732796337,0.036163,-0.059405,0.635857,-0.038415,0.016439,-0.714767,0.698113,13
35732829661,0.03691,0.006928,0.641278,-0.022827,0.018617,-0.712383,0.701172,14
35732862984,0.039109,0.078378,0.644692,-0.021081,0.009767,-0.715399,0.69833,15
35732929630,0.042963,0.201241,0.662419,0.011679,0.024483,-0.719023,0.694457,17
35732962954,0.043901,0.244876,0.669718,0.031012,0.045543,-0.71613,0.695789,18
35732996277,0.046018,0.275246,0.669144,0.034549,0.05068,-0.717697,0.693649,19
35733029601,0.048426,0.291564,0.665527,0.034479,0.047233,-0.718252,0.693321,20
35733062924,0.049785,0.294286,0.660938,0.035448,0.042538,-0.717673,0.694175,21
35733129571,0.052906,0.259809,0.648614,0.025738,0.026881,-0.719159,0.693848,23
35733162894,0.054282,0.223774,0.643099,0.018614,0.022451,-0.719579,0.693798,24
35733196217,0.055803,0.175862,0.63862,0.011592,0.020423,-0.720667,0.692884,25
35733229540,0.057061,0.119179,0.634555,0.004033,0.016638,-0.722517,0.691142,26
35733262864,0.05895,0.053775,0.630887,-0.010812,0.009426,-0.725585,0.687983,27
35733329511,0.059621,-0.067309,0.62789,-0.04925,-0.013142,-0.723402,0.688542,29
35733362833,0.056999,-0.1083,0.629106,-0.054363,-0.014691,-0.718526,0.693217,30
35733396157,0.056198,-0.129747,0.625599,-0.075861,-0.022523,-0.719349,0.690126,31
35733429480,0.055662,-0.128768,0.624981,-0.088801,-0.030503,-0.718265,0.689406,32
35733462804,0.056629,-0.102701,0.630752,-0.086919,-0.02199,-0.718323,0.689908,33
35733529450,0.056676,0.00675,0.649639,-0.051514,0.01636,-0.713332,0.698739,35
35733562774,0.057622,0.076673,0.651284,-0.045397,0.009788,-0.711262,0.701392,36
35733596097,0.061029,0.143727,0.650929,-0.045947,-0.000901,-0.713505,0.699142,37
35733629420,0.064506,0.201692,0.652159,-0.048107,0.007089,-0.713169,0.699304,38
35733662743,0.066863,0.250782,0.656825,-0.037323,0.033726,-0.709683,0.702723,39
35733696067,0.068217,0.286488,0.657593,-0.023885,0.052729,-0.70767,0.704167,40
35733762714,0.072108,0.314803,0.648107,-0.027958,0.045529,-0.70709,0.705103,42
35733796037,0.074085,0.307804,0.644509,-0.028679,0.047155,-0.706858,0.705199,43
35733829360,0.078121,0.286613,0.642079,-0.02758,0.051587,-0.709134,0.702643,44
35733862680,0.083068,0.252905,0.639306,-0.029792,0.057419,-0.712343,0.698844,45
35733896007,0.088658,0.207997,0.636324,-0.034542,0.061265,-0.715672,0.694887,46
35733962654,0.099266,0.095054,0.629044,-0.043313,0.021003,-0.711667,0.700866,48
35733995977,0.102816,0.037721,0.624568,-0.047408,-0.006589,-0.705393,0.707198,49
35734029300,0.104879,-0.010723,0.620421,-0.04821,-0.023203,-0.706734,0.705453,50
