frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.062177,0.3876,0.588612,0.077612,-0.080967,-0.709059,0.696173,0.3938508492708206,16.46403283649087,-4.344328012192249,-0.4083659525638446,9.741402159541844,-1.052950060231611,0.3500222563743591,-0.4792886078357696,-0.3114607334136963,0.447741957016562,0.4751312931547344,0.5726567615239729,0.4958241929525367,-0.7055017948150635,1.1530863046646118,-0.4535596370697021,7.708533811411261,-11.025791981494429,6.564511660569906,0.3599655926227569,0.1875617504119873,18.036237729793783,0.3441467881202698,-2.694598272921145,-0.7850959730226547
1,-0.061287,0.380961,0.585066,0.081089,-0.070955,-0.7085,0.697436,-1.521276816228777,14.755530297994612,-2.37008662507534,-0.4641146912600845,9.754660869565605,-0.89530545643121,-0.9986356496810912,-0.335848867893219,0.2945836782455444,0.4578913429765044,0.4754609479819408,0.5653182846868502,0.4946590996612184,0.0883492231369018,0.8721283674240112,-0.3331450223922729,8.836057831916213,-13.200987318110466,11.423789429050684,0.0286381524056196,0.1754459142684936,17.742438323336838,-0.2550072073936462,-2.460490826360881,-0.4512404870418831
2,-0.060593,0.361201,0.580699,0.080316,-0.065549,-0.704683,0.701908,-0.5279463813100009,10.356802002573012,4.167781358718872,-0.2205409492289647,9.784270410409569,-0.6243626824919134,0.0585773587226867,0.5636505484580994,0.7297289371490479,0.4570758156208442,0.4748120357382188,0.5535225094722306,0.5091642063372639,0.9015592932701112,0.7068970799446106,0.1798208206892013,8.157368881279229,-9.77485142467916,4.579501626679301,-0.2270770370960235,-0.2265280783176422,7.5448916476964945,-1.0278483629226685,-0.558136206259951,0.1191938314482104
3,-0.056846,0.28856,0.571732,0.087803,-0.056764,-0.69844,0.70799,3.1138822541341185,0.8978244535148143,0.9152432788927108,-0.0199751976131112,9.763854229846595,-0.9149437114242464,0.876494288444519,0.215038001537323,0.2593371570110321,0.4386895924494637,0.4805713062531626,0.5618721983737132,0.5107858726558758,0.2212542742490768,0.965527594089508,0.8776056170463562,2.257578436270356,-2.9734768813610075,3.164594496500492,-0.1749918311834335,-1.0112961530685425,-7.411864402475953,-1.0454869270324707,2.265750344549119,0.7605479533519596
4,-0.053167,0.236778,0.566132,0.086736,-0.056972,-0.700608,0.705961,0.6795785929530859,-6.989308852246404,-2.261892792338133,0.0997341478924732,9.757754159405827,-0.972972852675244,-0.9585739970207214,-0.7690078616142273,0.4429484903812408,0.4382586083253033,0.4898424207749455,0.556473012570341,0.5082534784177212,0.5614342093467712,0.5737928748130798,-0.0372399315237998,-2.5512042397260664,8.624200211086869,1.0287678781986236,0.1285244077444076,1.0442765951156616,-6.071062957471609,0.0486374497413635,-0.572827360239625,6.157253632715344
5,-0.048886,0.175502,0.560658,0.088082,-0.05648,-0.702535,0.703915,-0.7755812718328088,-11.814522438561916,4.670361462777853,0.2165352572515606,9.80054934503734,-0.2696688998122699,-1.7710860967636108,0.2712126970291137,0.2630086243152618,0.456343276429313,0.4809263138016719,0.531468878203131,0.5272584746335883,0.1905163377523422,-0.2838558852672577,-0.7711717486381531,-4.0087472733214495,8.859567302319407,-5.307142532011866,0.227762684226036,0.1331621557474136,-10.293799895215034,0.7572527527809143,0.0767306177174206,3.3738112474322315
6,-0.044495,0.106493,0.55687,0.091277,-0.04648,-0.703961,0.702814,1.2610840574279427,-10.248592972266673,4.372006292712689,0.3143004157591611,9.801177121546864,-0.092520544985542,0.6477680802345276,0.2951459884643554,0.0397915281355381,0.4530425668087359,0.4745268268535578,0.5287168670509187,0.5385493373478974,0.8470587730407715,0.0942213609814643,-0.3240521252155304,-4.13475528742969,4.122607753518223,-8.593716225495934,0.1257332116365432,0.3072163462638855,-9.451823001128435,0.049416784197092,0.7085474978059529,0.9979166667304932
7,-0.039707,0.034589,0.552498,0.091809,-0.036052,-0.707588,0.699707,1.226598288849741,-11.896619707012176,-1.612293742585182,0.1998970973899587,9.79944752127528,-0.3181816045740619,0.1920251846313476,-0.2571313977241516,-0.4950131773948669,0.4514622607705759,0.4774057405715758,0.5369418084125634,0.5291115220173253,0.4347543120384216,-0.4776067435741424,-0.002265568356961,-7.957307496705651,10.472152721327545,-8.558666539424657,-0.3282509744167328,-0.2330341935157776,-9.422506890273093,-0.558530867099762,1.821658085294068,0.9241951585680246
8,-0.030472,-0.087476,0.540435,0.06315,-0.060635,-0.71917,0.689297,-0.7322985218800604,-11.594765588915347,-2.391730301606655,0.0370821280472213,9.8045018820554,-0.201938485290762,-0.682558000087738,0.1821173429489135,-0.1811990886926651,0.4590410500861507,0.4706288121292839,0.5374053581404016,0.5281907436406549,-0.9418789148330688,-1.127861738204956,-0.115971565246582,-7.542829454469681,5.774347955828905,-6.944286638215184,-0.28211310505867,-0.1871850192546844,-10.021224478572606,-0.5460389852523804,1.403174314548075,2.2648829140648243
9,-0.028049,-0.124269,0.537408,0.051887,-0.071909,-0.718785,0.689554,-0.2514927167284302,-11.198083315610884,-0.0498176316142082,0.022098192532896,9.806603238248824,0.020937254428165,-0.3121832609176636,0.3240498602390289,-0.1353541314601898,0.4618446277055042,0.4620646774421836,0.5342553050661565,0.5364392667885749,0.8328649401664734,-0.8112515211105347,-0.045969970524311,-5.93989566090405,3.504409219679236,-6.5043959223032,-0.1150446683168411,-0.0765439718961715,-9.650219082838296,-0.5858774185180664,1.6190302112333474,1.653226787606627
