timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
34766294329,0.104035,0.154131,0.583116,-0.044588,0.043988,-0.700848,0.710556,0
34766327652,0.097993,0.143386,0.575769,-0.047283,0.046706,-0.692622,0.718233,1
34766360976,0.09307,0.120712,0.568823,-0.057886,0.049618,-0.690589,0.719217,2
34766427622,0.083673,0.045564,0.558393,-0.077158,0.056172,-0.691058,0.716471,4
34766460946,0.080867,-0.005358,0.554729,-0.08206,0.066489,-0.694196,0.711995,5
34766494269,0.079239,-0.060361,0.551582,-0.089929,0.080306,-0.698522,0.705359,6
34766527593,0.075759,-0.114256,0.548186,-0.099388,0.081795,-0.699401,0.703043,7
34766560916,0.072216,-0.159537,0.546281,-0.097829,0.072987,-0.698143,0.705478,8
34766627562,0.070647,-0.203246,0.540121,-0.113437,0.058256,-0.704366,0.698289,10
34766660886,0.074677,-0.189411,0.540581,-0.112353,0.054022,-0.707616,0.695513,11
34766694209,0.080514,-0.153091,0.541569,-0.11197,0.050624,-0.708028,0.695411,12
34766727532,0.086827,-0.098565,0.541814,-0.11426,0.033431,-0.706887,0.697236,13
34766760856,0.094563,-0.036634,0.542768,-0.103772,0.013214,-0.707396,0.699033,14
34766794179,0.104187,0.022367,0.547451,-0.088883,0.021995,-0.712156,0.696025,15
34766860826,0.118798,0.112388,0.552964,-0.04535,0.060796,-0.722636,0.687055,17
34766894149,0.122728,0.140117,0.54383,-0.039207,0.05957,-0.73186,0.677713,18
34766927472,0.12463,0.156268,0.529576,-0.044404,0.049473,-0.738544,0.67092,19
34766960796,0.124586,0.160839,0.516603,-0.047657,0.043716,-0.740109,0.66937,20
34766994119,0.12316,0.152602,0.506653,-0.040643,0.0426,-0.738872,0.671269,21
34767060766,0.116734,0.098309,0.495983,-0.009483,0.046157,-0.717511,0.694952,23
34767094089,0.113649,0.055152,0.4902,0.000391,0.043079,-0.710886,0.701987,24
34767127413,0.111496,0.002706,0.488473,0.014961,0.023301,-0.703229,0.710424,25
34767160736,0.10829,-0.052987,0.489189,0.027804,0.015247,-0.688149,0.724877,26
34767194059,0.106938,-0.109746,0.491554,0.045505,0.012195,-0.679178,0.73246,27
34767260706,0.112369,-0.198558,0.490876,0.035319,-0.004086,-0.68603,0.726704,29
34767294029,0.118256,-0.216662,0.488043,-0.0059,-0.000276,-0.699689,0.714423,30
34767327353,0.122189,-0.210193,0.486047,-0.035489,-0.000421,-0.708465,0.704853,31
34767360676,0.123953,-0.179832,0.486195,-0.051244,-0.004578,-0.714682,0.697554,32
34767393999,0.12475,-0.129361,0.48759,-0.064726,-0.017271,-0.717711,0.693111,33
34767460646,0.124107,0.005158,0.487939,-0.09546,-0.056544,-0.711213,0.694166,35
34767493969,0.126108,0.071625,0.493391,-0.086587,-0.06177,-0.711274,0.694821,36
34767527293,0.128956,0.130493,0.502389,-0.063063,-0.049179,-0.720707,0.688612,37
34767560616,0.132881,0.175643,0.510531,-0.03739,-0.02788,-0.732604,0.679056,38
34767593939,0.135363,0.206411,0.513427,-0.022945,-0.010175,-0.741065,0.670965,39
34767627262,0.134813,0.223361,0.512883,-0.018346,-0.001958,-0.744869,0.666955,40
34767693909,0.132379,0.217307,0.511449,-0.000934,-0.001274,-0.743612,0.668609,42
34767727233,0.129563,0.192998,0.511741,0.004532,-0.001869,-0.742936,0.669345,43
34767760556,0.126355,0.157187,0.51149,0.001563,0.00166,-0.739851,0.672767,44
34767793879,0.12238,0.109304,0.51214,0.00499,0.005325,-0.733341,0.679822,45
34767827202,0.116816,0.048538,0.51425,0.010763,0.010571,-0.724214,0.68941,46
34767893849,0.108387,-0.089829,0.516426,-0.000206,0.002234,-0.709887,0.704312,48
34767927173,0.105692,-0.155287,0.519996,-0.002758,-0.00538,-0.707582,0.706606,49
34767960496,0.104152,-0.210626,0.520205,-0.016224,-0.012012,-0.708926,0.704994,50
34767993819,0.102671,-0.251996,0.515692,-0.042791,-0.028249,-0.705756,0.706597,51
34768027143,0.100967,-0.272909,0.513856,-0.066536,-0.049727,-0.696312,0.712916,52
34768093789,0.104748,-0.256506,0.521467,-0.073074,-0.056033,-0.704455,0.70375,54
34768127113,0.109012,-0.228555,0.525777,-0.058542,-0.055395,-0.70925,0.700335,55
34768160436,0.114141,-0.194817,0.526999,-0.049547,-0.048149,-0.709671,0.701137,56
34768193759,0.119834,-0.160174,0.526493,-0.044435,-0.037121,-0.707786,0.70405,57
34768227082,0.12414,-0.128056,0.523937,-0.040512,-0.01932,-0.702453,0.710313,58
34768293729,0.13332,-0.079337,0.516494,-0.037914,0.012835,-0.686804,0.725739,60
34768327053,0.138616,-0.064665,0.511346,-0.042737,0.022078,-0.675965,0.735362,61
34768360376,0.145585,-0.056296,0.505897,-0.048431,0.025524,-0.670245,0.740118,62
34768393699,0.153679,-0.054179,0.50119,-0.060883,0.034386,-0.666407,0.742302,63
34768427023,0.160396,-0.057883,0.499014,-0.072265,0.052116,-0.658257,0.747502,64
34768460346,0.168607,-0.063632,0.497206,-0.075671,0.070853,-0.648466,0.754152,65
34768526992,0.181375,-0.075337,0.491881,-0.108816,0.097894,-0.627662,0.764602,67
34768560316,0.187053,-0.077726,0.487929,-0.118271,0.092085,-0.620795,0.76951,68
34768593639,0.194181,-0.077604,0.48477,-0.129722,0.079046,-0.621258,0.768741,69
34768626963,0.200699,-0.074741,0.486516,-0.133169,0.076716,-0.628349,0.7626,70
34768660286,0.208145,-0.070367,0.491017,-0.121032,0.084975,-0.63672,0.756782,71
34768726933,0.220436,-0.062178,0.499473,-0.094285,0.097071,-0.656005,0.742526,73
34768760256,0.224372,-0.058665,0.501291,-0.096592,0.10514,-0.662905,0.734964,74
34768793579,0.22664,-0.055769,0.502829,-0.101822,0.114585,-0.669508,0.726816,75
34768826903,0.227693,-0.053586,0.505805,-0.102965,0.116959,-0.674335,0.721798,76
34768860226,0.226218,-0.051576,0.50904,-0.100656,0.116983,-0.679192,0.717553,77
34768926873,0.221605,-0.04964,0.516523,-0.102545,0.116419,-0.696463,0.700622,79
34768960196,0.217135,-0.048202,0.521529,-0.099949,0.119468,-0.701078,0.695864,80
34768993519,0.211796,-0.046475,0.527317,-0.091556,0.122059,-0.702462,0.695173,81
34769026843,0.206337,-0.045432,0.532595,-0.084305,0.124002,-0.700629,0.697592,82
34769060166,0.199666,-0.04391,0.536509,-0.083179,0.123217,-0.69851,0.699988,83
34769126813,0.186891,-0.04295,0.539818,-0.110546,0.123242,-0.699203,0.69549,85
34769160136,0.180844,-0.043217,0.541527,-0.120503,0.119543,-0.698781,0.694906,86
