timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
99711790630,0.000366,0.222008,0.368925,-0.003769,-0.027976,-0.717628,0.695855,0
99711823954,0.001152,0.218286,0.37026,-0.004047,-0.029836,-0.717035,0.696386,1
99711890600,-0.001949,0.177227,0.375315,-0.01369,-0.024129,-0.715577,0.697983,3
99711923923,-0.004596,0.140349,0.379011,-0.018281,-0.019419,-0.714067,0.699569,4
99711957247,-0.003959,0.093958,0.383622,-0.023637,-0.019103,-0.714361,0.699117,5
99712023894,-0.004547,0.001287,0.3873,-0.043162,-0.024378,-0.713096,0.699311,7
99712057217,-0.005778,-0.024223,0.387336,-0.044653,-0.046752,-0.710689,0.70053,8
99712090540,-0.006716,-0.031615,0.386888,-0.045529,-0.061895,-0.710062,0.699934,9
99712157186,-0.003904,-0.018029,0.387446,-0.049186,-0.048022,-0.719098,0.691501,11
99712190510,-0.005143,-0.012257,0.386822,-0.055549,-0.03721,-0.719789,0.690966,12
99712223834,-0.006537,-0.012474,0.385103,-0.059962,-0.039876,-0.716926,0.69342,13
99712257157,-0.009323,-0.022271,0.38303,-0.063958,-0.049637,-0.709791,0.699744,14
99712323804,-0.013509,-0.063786,0.383737,-0.068566,-0.070927,-0.699162,0.708125,16
99712357127,-0.013318,-0.075495,0.386181,-0.066037,-0.090521,-0.696917,0.708345,17
99712390449,-0.010671,-0.067022,0.388772,-0.052643,-0.112729,-0.702046,0.701179,18
99712457097,-0.01462,0.028284,0.392394,-0.054179,-0.070386,-0.717978,0.690376,20
99712490420,-0.020218,0.094592,0.398777,-0.049476,-0.037659,-0.720485,0.690677,21
99712523744,-0.023268,0.153784,0.410657,-0.022368,-0.016144,-0.722782,0.690525,22
99712590390,-0.026136,0.224323,0.424834,0.019782,-0.015405,-0.722835,0.690566,24
99712623713,-0.026512,0.236907,0.424833,0.020445,-0.027661,-0.723932,0.689014,25
99712657035,-0.02822,0.236674,0.424692,0.01795,-0.032855,-0.724,0.688784,26
99712723684,-0.034527,0.20034,0.424592,0.001237,-0.046354,-0.723977,0.688263,28
99712757007,-0.038689,0.16514,0.427069,-0.006602,-0.047695,-0.723122,0.68904,29
99712790330,-0.043476,0.120007,0.430043,-0.017334,-0.049857,-0.719921,0.692046,30
99712856977,-0.051287,0.026787,0.436153,-0.032026,-0.056426,-0.709486,0.701727,32
99712890300,-0.053062,-0.004647,0.436163,-0.031389,-0.074186,-0.712197,0.697343,33
99712923623,-0.053713,-0.017066,0.438208,-0.020144,-0.07902,-0.714526,0.69484,34
99712990269,-0.058921,-0.005765,0.433987,-0.032499,-0.063486,-0.716282,0.694157,36
99713023594,-0.061534,0.004145,0.433057,-0.030659,-0.056119,-0.715444,0.695737,37
99713056917,-0.06421,0.009487,0.430118,-0.027111,-0.056643,-0.713028,0.698318,38
99713090240,-0.066606,0.005912,0.424976,-0.029343,-0.060639,-0.710036,0.700936,39
99713156886,-0.070413,-0.030214,0.416919,-0.048348,-0.079254,-0.704578,0.703527,41
99713190210,-0.071846,-0.050465,0.412923,-0.06067,-0.090059,-0.703339,0.702512,42
99713223533,-0.071339,-0.050733,0.408254,-0.077808,-0.096127,-0.70533,0.698008,43
99713290180,-0.072722,0.039671,0.41188,-0.050277,-0.085477,-0.715421,0.69162,45
99713323503,-0.074865,0.111244,0.419099,-0.042038,-0.064991,-0.712973,0.696906,46
99713356826,-0.07593,0.176685,0.431442,-0.01398,-0.042272,-0.715121,0.697581,47
99713423473,-0.073518,0.255843,0.449119,0.027827,-0.007581,-0.719897,0.693481,49
99713456796,-0.073294,0.272054,0.445847,0.024577,-0.02547,-0.718478,0.694648,50
99713490120,-0.073942,0.275856,0.441232,0.024156,-0.041203,-0.718579,0.693803,51
99713556766,-0.073814,0.250404,0.437887,0.017721,-0.056559,-0.722456,0.688872,53
99713590090,-0.074172,0.22205,0.437696,0.013854,-0.055173,-0.723034,0.688466,54
99713623413,-0.07446,0.181429,0.439186,0.0115,-0.053575,-0.724286,0.687318,55
99713690059,-0.075886,0.075806,0.442247,0.00338,-0.063679,-0.723322,0.68756,57
99713723382,-0.07345,0.028522,0.439649,-0.021371,-0.074065,-0.722627,0.686926,58
99713756706,-0.070858,-0.000612,0.436073,-0.041214,-0.082968,-0.72239,0.685252,59
99713823353,-0.06491,-0.000955,0.431116,-0.045786,-0.092873,-0.726307,0.679527,61
99713856676,-0.064968,0.016822,0.432929,-0.037819,-0.080906,-0.72439,0.683581,62
99713889999,-0.066068,0.036132,0.436868,-0.025192,-0.070886,-0.722308,0.687467,63
99713923316,-0.066538,0.050122,0.439886,-0.021164,-0.063386,-0.719621,0.691144,64
99713989969,-0.069378,0.063422,0.442018,-0.021333,-0.050836,-0.711963,0.70005,66
99714023293,-0.066732,0.061769,0.438059,-0.027705,-0.043944,-0.710694,0.70158,67
99714056616,-0.064496,0.057978,0.434467,-0.031411,-0.047718,-0.714024,0.697787,68
99714123262,-0.061082,0.05254,0.430261,-0.038896,-0.069623,-0.715298,0.694254,70
99714156586,-0.061519,0.053263,0.431365,-0.045155,-0.044216,-0.716466,0.694754,71
99714189909,-0.062963,0.054891,0.434285,-0.04768,-0.015671,-0.718085,0.694143,72
99714256556,-0.059899,0.053985,0.433374,-0.050167,0.003697,-0.716828,0.695433,74
99714289879,-0.06003,0.053038,0.433298,-0.0577,-0.003401,-0.712238,0.699555,75
99714323203,-0.05554,0.050494,0.430159,-0.061411,-0.011564,-0.712778,0.6986,76
99714389849,-0.052507,0.047529,0.431223,-0.059126,-0.018897,-0.718744,0.692499,78
99714423173,-0.049965,0.045916,0.431632,-0.057509,-0.029554,-0.720855,0.690064,79
99714456496,-0.048411,0.045135,0.433034,-0.053606,-0.04249,-0.722732,0.687735,80
99714523143,-0.0433,0.044216,0.437333,-0.056596,-0.039289,-0.725747,0.684504,82
99714556466,-0.041876,0.044412,0.439508,-0.058248,-0.035062,-0.725008,0.685377,83
99714589789,-0.042219,0.044964,0.441584,-0.057702,-0.03431,-0.722934,0.687648,84
99714656436,-0.038376,0.04598,0.446685,-0.05932,-0.02376,-0.719198,0.69186,86
99714689759,-0.038575,0.046569,0.448568,-0.067141,-0.011102,-0.719719,0.690922,87
99714723082,-0.038959,0.047459,0.450631,-0.070701,-0.000713,-0.720562,0.689776,88
99714756406,-0.038586,0.047284,0.457129,-0.049777,-0.019386,-0.721003,0.69087,89
99714823052,-0.039163,0.049671,0.461406,-0.027105,-0.055916,-0.720826,0.690325,91
99714856376,-0.039824,0.051416,0.463759,-0.025505,-0.055627,-0.720882,0.690351,92
99714889699,-0.040805,0.053032,0.465922,-0.024472,-0.050892,-0.721384,0.690229,93
99714956346,-0.043838,0.056525,0.467194,-0.027401,-0.061833,-0.714927,0.695921,95
99714989669,-0.045985,0.058127,0.468046,-0.026997,-0.070806,-0.711758,0.698325,96
99715022993,-0.046351,0.058458,0.471246,-0.02895,-0.0701,-0.711058,0.699031,97
99715089639,-0.04815,0.059282,0.476277,-0.029303,-0.068469,-0.709331,0.70093,99
99715122963,-0.047713,0.05881,0.476116,-0.030494,-0.07603,-0.707432,0.702018,100
99715156286,-0.048081,0.059049,0.477099,-0.030595,-0.082975,-0.705306,0.703366,101
99715222932,-0.048258,0.061154,0.478881,-0.031509,-0.084917,-0.70112,0.707267,103
99715256255,-0.048454,0.062491,0.48019,-0.030916,-0.084722,-0.699206,0.70921,104
