timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
26172094644,-0.033114,0.177668,0.010714,0.048906,0.028495,-0.718451,0.693271,0
26172127967,-0.037747,0.164853,0.010548,0.044983,0.029066,-0.715474,0.696583,1
26172194613,-0.047538,0.098318,0.008605,0.024327,0.010263,-0.710868,0.70283,3
26172227935,-0.051502,0.052505,0.008868,0.012971,0.005411,-0.707163,0.706911,4
26172261259,-0.054307,0.00885,0.009825,0.004067,0.008376,-0.700921,0.713178,5
26172294581,-0.057517,-0.025475,0.011435,0.00203,-0.001813,-0.696933,0.717132,6
26172361227,-0.060574,-0.05912,0.010896,-0.007358,-0.026067,-0.699746,0.713878,8
26172394550,-0.058742,-0.06274,0.00777,-0.017901,-0.031965,-0.709015,0.704242,9
26172427873,-0.057824,-0.060952,0.00533,-0.015735,-0.04021,-0.715243,0.69754,10
26172494519,-0.059013,-0.056267,0.001495,-0.019756,-0.053465,-0.709139,0.702761,12
26172527842,-0.06007,-0.060131,-0.000698,-0.020469,-0.054691,-0.707579,0.704217,13
26172561165,-0.060598,-0.0703,-0.002305,-0.022423,-0.056709,-0.704924,0.706657,14
26172627810,-0.0637,-0.107424,-0.007923,-0.023454,-0.060325,-0.703477,0.707765,16
26172661132,-0.063396,-0.116414,-0.013294,-0.022697,-0.067745,-0.699985,0.710575,17
26172694456,-0.062091,-0.104851,-0.01687,-0.021355,-0.064045,-0.69986,0.711082,18
26172727779,-0.061808,-0.067969,-0.012805,0.000996,-0.052571,-0.700207,0.712001,19
26172794424,-0.059643,0.054324,0.001431,0.035333,-0.024326,-0.705767,0.707144,21
26172827747,-0.058562,0.112833,0.011413,0.054298,-0.003375,-0.711321,0.700759,22
26172861070,-0.058032,0.155245,0.022489,0.081166,0.020577,-0.711495,0.697685,23
26172927716,-0.057761,0.192328,0.02691,0.08239,0.024838,-0.706373,0.70259,25
26172961039,-0.060045,0.187488,0.027276,0.072608,0.019784,-0.700365,0.709807,26
26172994362,-0.061173,0.169217,0.02755,0.063689,0.014505,-0.700401,0.710755,27
26173027684,-0.061548,0.139411,0.027806,0.052843,0.007307,-0.701889,0.710286,28
26173094330,-0.061736,0.053401,0.032363,0.034022,0.001921,-0.701533,0.711822,30
26173127653,-0.063029,0.005443,0.034888,0.027381,0.00556,-0.696328,0.717179,31
26173160976,-0.065312,-0.032149,0.030728,0.007161,-0.01999,-0.692148,0.721443,32
26173227622,-0.065015,-0.06594,0.025714,-0.008107,-0.044484,-0.691595,0.720869,34
26173260945,-0.063407,-0.059568,0.025334,-0.012064,-0.057234,-0.696677,0.714996,35
26173294267,-0.061894,-0.046894,0.027459,-0.007552,-0.05926,-0.703838,0.707844,36
26173360913,-0.060354,-0.023983,0.03174,0.005569,-0.044536,-0.706218,0.70657,38
26173394236,-0.060643,-0.022108,0.033612,0.015468,-0.041886,-0.704554,0.708244,39
26173427559,-0.061358,-0.028825,0.033594,0.022305,-0.044964,-0.702427,0.709984,40
26173460882,-0.061195,-0.04463,0.029714,0.022252,-0.054239,-0.699708,0.71202,41
26173527528,-0.061225,-0.097992,0.023441,0.013069,-0.077663,-0.696393,0.713326,43
26173560851,-0.06026,-0.121465,0.020602,0.008384,-0.087167,-0.694267,0.714371,44
26173594173,-0.061013,-0.129614,0.015077,-0.001388,-0.10279,-0.688339,0.718068,45
26173660819,-0.065706,-0.071017,0.015035,0.024489,-0.082634,-0.680284,0.727864,47
