timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
7097361008,0.048172,0.239476,0.062511,0.029724,0.016033,-0.697276,0.716007,0
7097394331,0.049495,0.236807,0.058823,0.024692,0.004639,-0.697961,0.715695,1
7097460977,0.054268,0.195481,0.059147,0.012553,-0.00906,-0.698074,0.715859,3
7097494301,0.056571,0.157613,0.060967,0.00973,-0.016448,-0.69959,0.714289,4
7097560948,0.060416,0.063925,0.064593,0.00265,-0.022781,-0.704114,0.709717,6
7097594271,0.06041,0.022179,0.061696,-0.005855,-0.036315,-0.705852,0.707404,7
7097627595,0.059074,-0.00567,0.0609,-0.011802,-0.039896,-0.705211,0.707776,8
7097694241,0.054625,-0.020678,0.057905,-0.021484,-0.054047,-0.702311,0.70949,10
7097727565,0.052667,-0.015504,0.059437,-0.026586,-0.04301,-0.70662,0.705784,11
7097794212,0.045924,-0.009951,0.063083,-0.02456,-0.022137,-0.703143,0.71028,13
7097827535,0.042378,-0.019571,0.063599,-0.029322,-0.02078,-0.701841,0.711426,14
7097860858,0.03983,-0.036243,0.061929,-0.038324,-0.024199,-0.700411,0.7123,15
7097927505,0.035996,-0.081921,0.059288,-0.057562,-0.040489,-0.699328,0.711328,17
7097960829,0.034947,-0.09726,0.058898,-0.064394,-0.048184,-0.701905,0.707715,18
7098027475,0.029633,-0.057421,0.059756,-0.055901,-0.053674,-0.695963,0.713884,20
7098060799,0.029913,0.001624,0.065262,-0.040043,-0.033473,-0.702391,0.709876,21
7098094122,0.031732,0.072603,0.074985,-0.016043,-0.007385,-0.708966,0.705022,22
7098160769,0.035974,0.190308,0.09416,0.030801,0.037974,-0.714019,0.698417,24
7098194092,0.037155,0.223448,0.093115,0.032148,0.041543,-0.715253,0.696889,25
7098260739,0.034182,0.241782,0.07893,0.000535,0.018688,-0.709451,0.704507,27
7098294063,0.031679,0.234056,0.075416,-0.011189,0.010947,-0.707512,0.706528,28
7098327386,0.03187,0.216205,0.07379,-0.019171,0.007664,-0.706428,0.707484,29
7098394033,0.032712,0.150443,0.077959,-0.028323,0.005934,-0.707442,0.706178,31
7098427356,0.032466,0.102771,0.080239,-0.032052,0.000753,-0.708382,0.705101,32
7098494003,0.031457,0.014008,0.079169,-0.054689,-0.020415,-0.708324,0.70347,34
7098527326,0.02904,-0.009458,0.07947,-0.058032,-0.023349,-0.705676,0.705768,35
7098560650,0.027641,-0.017838,0.083764,-0.048384,-0.021357,-0.702675,0.709543,36
7098627297,0.026686,-0.002438,0.086406,-0.047297,-0.016449,-0.706571,0.705869,38
7098660620,0.025924,0.008861,0.086158,-0.042221,-0.013408,-0.707727,0.705095,39
7098727267,0.023111,0.012532,0.081599,-0.041862,-0.015121,-0.702687,0.710106,41
7098760590,0.021434,0.001701,0.076821,-0.048483,-0.02333,-0.69945,0.712653,42
7098793913,0.021175,-0.018082,0.072484,-0.052851,-0.034627,-0.699729,0.711609,43
7098860560,0.02509,-0.07258,0.064624,-0.058502,-0.064471,-0.705976,0.702865,45
7098893884,0.026961,-0.091803,0.059573,-0.069473,-0.081286,-0.70699,0.699093,46
7098960531,0.03112,-0.054554,0.059475,-0.046419,-0.072581,-0.713136,0.695712,48
7098993854,0.032979,0.007221,0.065505,-0.023298,-0.056434,-0.712952,0.69855,49
7099027177,0.033642,0.083619,0.077488,0.006502,-0.029932,-0.713849,0.69963,50
7099093824,0.032258,0.204676,0.101915,0.065539,0.03598,-0.713318,0.696841,52
7099127148,0.031542,0.237253,0.10049,0.06751,0.040679,-0.711399,0.698355,53
7099193795,0.028477,0.258143,0.084324,0.036241,0.018511,-0.706483,0.706559,55
7099227118,0.028924,0.248718,0.076473,0.021968,0.008358,-0.706227,0.707595,56
7099260441,0.028861,0.230998,0.072458,0.011878,0.00362,-0.70558,0.708521,57
7099327088,0.029118,0.164672,0.073108,0.000521,0.002223,-0.704882,0.70932,59
7099360412,0.029084,0.117354,0.075386,-0.003168,0.005304,-0.705818,0.708366,60
7099427058,0.024438,0.023216,0.075472,-0.019786,-9.1e-05,-0.703322,0.710596,62
7099460381,0.022262,-0.007315,0.075856,-0.027716,0.006626,-0.702154,0.711455,63
7099493705,0.020142,-0.022126,0.07683,-0.02916,0.009457,-0.697624,0.715808,64
7099560352,0.015551,-0.011622,0.076141,-0.046827,0.00607,-0.689109,0.723118,66
7099593675,0.013369,0.002928,0.075849,-0.049551,0.011509,-0.687038,0.724838,67
7099660322,0.00803,0.027989,0.071548,-0.061025,0.002685,-0.680283,0.7304,69
7099693646,0.0068,0.035485,0.068874,-0.069905,0.004963,-0.681545,0.728413,70
7099726969,0.006475,0.039934,0.065688,-0.076429,0.019643,-0.682447,0.726663,71
7099793616,0.008385,0.038933,0.06275,-0.090695,0.036837,-0.687577,0.719482,73
7099826939,0.011893,0.036332,0.060528,-0.09804,0.036125,-0.691735,0.714553,74
7099893586,0.01595,0.03206,0.060898,-0.107645,0.025566,-0.689709,0.715584,76
7099926909,0.017528,0.031572,0.05949,-0.110259,0.026735,-0.688361,0.716441,77
7099960233,0.020443,0.030464,0.060393,-0.107085,0.01581,-0.692282,0.713462,78
7100026880,0.025742,0.02917,0.064043,-0.09887,0.015866,-0.697151,0.709897,80
7100060203,0.028268,0.028266,0.067631,-0.090635,0.018607,-0.700736,0.707395,81
7100126850,0.035232,0.02659,0.070066,-0.091084,0.027077,-0.706669,0.701135,83
7100160173,0.038184,0.026491,0.070073,-0.093817,0.024537,-0.706512,0.701026,84
7100193496,0.040366,0.027022,0.070213,-0.09387,0.020504,-0.705512,0.702154,85
7100260143,0.044031,0.02833,0.070773,-0.096098,0.033558,-0.70364,0.703228,87
7100293466,0.045246,0.028695,0.071049,-0.098888,0.044426,-0.702633,0.703245,88
7100360113,0.048043,0.027215,0.072144,-0.098003,0.053655,-0.701285,0.704071,90
7100393437,0.048939,0.026749,0.071052,-0.096314,0.04673,-0.701819,0.704265,91
7100460084,0.048621,0.025934,0.069042,-0.094767,0.04889,-0.703966,0.702183,93
7100493406,0.048758,0.025965,0.068403,-0.09559,0.051211,-0.704869,0.700999,94
7100526730,0.048007,0.026388,0.068389,-0.096595,0.049312,-0.704609,0.701259,95
7100593377,0.047399,0.027069,0.068536,-0.098859,0.052132,-0.702121,0.703232,97
7100626701,0.048108,0.027723,0.069531,-0.098971,0.051965,-0.702507,0.702843,98
7100693347,0.04829,0.028777,0.069963,-0.095073,0.046759,-0.701854,0.704397,100
7100726671,0.047633,0.02888,0.070202,-0.093304,0.03988,-0.700857,0.706048,101
7100759994,0.047149,0.028798,0.070445,-0.09482,0.038457,-0.699764,0.707008,102
7100826641,0.047416,0.029093,0.072996,-0.092702,0.036807,-0.696061,0.711021,104
7100859964,0.047186,0.029302,0.074269,-0.088062,0.03108,-0.695876,0.712064,105
7100926611,0.047708,0.029143,0.077247,-0.082308,0.025555,-0.697873,0.711017,107
7100959935,0.048068,0.029052,0.078771,-0.074898,0.015906,-0.700235,0.709795,108
7100993258,0.048021,0.02894,0.080173,-0.07012,0.009082,-0.700698,0.709945,109
7101059905,0.048073,0.028508,0.082533,-0.060849,-0.0081,-0.701634,0.709888,111
7101093228,0.04809,0.028354,0.083785,-0.056629,-0.014679,-0.701806,0.709962,112
7101159875,0.048155,0.028776,0.086422,-0.044592,-0.036481,-0.701439,0.710397,114
7101193198,0.047233,0.029485,0.085443,-0.044996,-0.053799,-0.698149,0.712509,115
7101226522,0.045871,0.030545,0.084056,-0.045922,-0.065484,-0.693395,0.716105,116
7101293169,0.043371,0.032119,0.083422,-0.047442,-0.091445,-0.686736,0.71957,118
7101326492,0.042108,0.033959,0.086026,-0.045814,-0.092235,-0.688159,0.718213,119
7101393139,0.03999,0.035635,0.089956,-0.043776,-0.08566,-0.692102,0.715361,121
7101426462,0.037728,0.036861,0.090932,-0.043635,-0.087073,-0.691618,0.715667,122
7101459785,0.035955,0.038064,0.0921,-0.044899,-0.089433,-0.690072,0.716789,123
7101526432,0.03233,0.040343,0.098153,-0.039356,-0.080214,-0.687924,0.720262,125
7101559756,0.031259,0.041329,0.101056,-0.038423,-0.072033,-0.688335,0.720785,126
