timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
27049995423,0.029943,0.206632,0.162846,0.049077,0.046162,-0.700464,0.710501,0
27050028746,0.029313,0.204918,0.159154,0.037665,0.03607,-0.699508,0.712719,1
27050095392,0.028892,0.164172,0.151097,0.014881,0.016729,-0.698652,0.715112,3
27050128715,0.028413,0.129386,0.150091,0.006283,0.010135,-0.699067,0.714957,4
27050162038,0.028706,0.087884,0.151359,0.00032,0.008659,-0.69978,0.714306,5
27050228684,0.030926,0.004137,0.154911,-0.009267,-0.001256,-0.698665,0.715387,7
27050262007,0.032307,-0.025068,0.150406,-0.032505,-0.015756,-0.696877,0.716281,8
27050295329,0.032194,-0.043305,0.146284,-0.039255,-0.033627,-0.696882,0.71532,9
27050361975,0.028985,-0.050865,0.130925,-0.076956,-0.057729,-0.696021,0.711547,11
27050395298,0.02607,-0.048308,0.126356,-0.084565,-0.062317,-0.693026,0.713218,12
27050428621,0.022882,-0.046162,0.125777,-0.083297,-0.051964,-0.690998,0.716159,13
27050495267,0.017922,-0.056175,0.129554,-0.076273,-0.023033,-0.696593,0.713029,15
27050528590,0.014072,-0.069298,0.131096,-0.070325,-0.014569,-0.69881,0.711693,16
27050561913,0.010661,-0.08322,0.129764,-0.070833,-0.013245,-0.700893,0.709617,17
27050628559,0.006845,-0.058298,0.128763,-0.063339,-0.012995,-0.705823,0.705431,19
27050661882,0.006112,-0.0102,0.134294,-0.044988,0.001627,-0.701409,0.711336,20
27050695204,0.006925,0.052196,0.143164,-0.019366,0.019082,-0.69881,0.71479,21
27050761850,0.01085,0.159658,0.15831,0.026675,0.047648,-0.70157,0.710505,23
27050795173,0.014295,0.18665,0.158714,0.038793,0.05033,-0.706578,0.704776,24
27050828496,0.017136,0.195827,0.153201,0.025826,0.038566,-0.707863,0.704823,25
27050895142,0.022056,0.172678,0.147749,-0.000742,0.016984,-0.706702,0.707307,27
27050928465,0.024399,0.145539,0.149403,-0.005762,0.010797,-0.707261,0.706847,28
27050995111,0.027232,0.067753,0.15682,-0.010166,0.000273,-0.703603,0.71052,30
27051028434,0.028036,0.023577,0.162424,-0.006768,0.006807,-0.700341,0.713744,31
27051061756,0.028138,-0.013646,0.161956,-0.025609,-0.011319,-0.698062,0.715489,32
27051128402,0.028694,-0.049992,0.159676,-0.038424,-0.032602,-0.696576,0.715711,34
27051161725,0.028228,-0.051522,0.156709,-0.057206,-0.038057,-0.697292,0.713487,35
27051195048,0.027725,-0.046041,0.155129,-0.057414,-0.031773,-0.701249,0.70989,36
27051261694,0.023183,-0.03819,0.153672,-0.055531,-0.019752,-0.702411,0.709328,38
27051295016,0.021683,-0.042669,0.15333,-0.053736,-0.015152,-0.703353,0.708645,39
27051328339,0.019536,-0.054957,0.151976,-0.057961,-0.016182,-0.701569,0.710057,40
27051394985,0.012105,-0.086662,0.151031,-0.064946,-0.023463,-0.69535,0.715346,42
27051428309,0.010083,-0.082055,0.146698,-0.075187,-0.039063,-0.693147,0.715799,43
27051461632,0.011027,-0.04901,0.151266,-0.064736,-0.025637,-0.696624,0.71405,44
27051528278,0.015941,0.071984,0.17439,-0.004718,0.009901,-0.69999,0.714068,46
27051561600,0.018769,0.129246,0.185681,0.021797,0.02598,-0.705329,0.708068,47
27051594923,0.020463,0.17141,0.193587,0.046849,0.040252,-0.710347,0.701136,48
27051661569,0.018091,0.201731,0.193682,0.050555,0.030667,-0.709101,0.702624,50
27051694892,0.014348,0.192289,0.190913,0.030664,0.021932,-0.702886,0.710303,51
27051728215,0.011499,0.169436,0.189829,0.014095,0.013744,-0.701918,0.711985,52
27051794860,0.009316,0.09492,0.193106,-0.011485,0.00774,-0.704186,0.70988,54
27051828183,0.007448,0.051542,0.197438,-0.013694,0.006866,-0.70284,0.711183,55
27051861506,0.004858,0.012417,0.20324,-0.004935,0.014603,-0.698858,0.715094,56
27051928152,0.001573,-0.033035,0.209597,-0.005936,0.003144,-0.692861,0.721039,58
27051961475,-0.000901,-0.039728,0.208536,-0.014398,-0.015596,-0.686133,0.727167,59
27051994798,-0.001392,-0.037715,0.203933,-0.035624,-0.0298,-0.684187,0.727826,60
27052061444,-0.002413,-0.017443,0.201135,-0.059162,-0.000143,-0.695235,0.716344,62
27052094767,-0.002477,-0.00607,0.204071,-0.046223,0.006862,-0.696331,0.716198,63
27052128090,-0.001918,0.002935,0.206609,-0.032973,0.01087,-0.696283,0.716927,64
27052194736,-0.001181,0.011578,0.2078,-0.024488,0.01189,-0.688984,0.724265,66
27052228059,5.1e-05,0.01263,0.207376,-0.026454,0.005976,-0.686701,0.726434,67
27052261382,0.002362,0.01121,0.205014,-0.029146,0.004946,-0.687982,0.725125,68
27052328027,0.00548,0.00915,0.203755,-0.031344,0.014883,-0.693745,0.719384,70
27052361350,0.008388,0.008249,0.202733,-0.033663,0.016794,-0.696516,0.716554,71
27052394673,0.00902,0.008199,0.202506,-0.035424,0.013491,-0.697219,0.715856,72
27052461319,0.011369,0.008043,0.201469,-0.039043,0.001002,-0.705296,0.707836,74
27052494641,0.01061,0.008216,0.200736,-0.049671,0.001621,-0.704432,0.70803,75
27052527965,0.009114,0.0081,0.199481,-0.063893,-0.002277,-0.700186,0.711092,76
27052594610,0.009005,0.008734,0.196904,-0.087273,-0.015536,-0.693636,0.71485,78
27052627934,0.009238,0.009421,0.197593,-0.087698,-0.014582,-0.692867,0.715564,79
27052694579,0.010416,0.010335,0.196534,-0.092753,-0.018164,-0.691978,0.715705,81
27052727902,0.01084,0.010428,0.196659,-0.096088,-0.016601,-0.692321,0.714971,82
27052761225,0.011461,0.009751,0.196367,-0.106511,-0.01302,-0.694425,0.71152,83
27052827871,0.012635,0.00834,0.194684,-0.123559,-0.009462,-0.692235,0.710953,85
27052861194,0.012451,0.007528,0.193666,-0.134407,-0.013201,-0.689742,0.711348,86
27052894516,0.012305,0.006356,0.191938,-0.142528,-0.022064,-0.687852,0.711378,87
27052961163,0.011529,0.002921,0.186608,-0.168855,-0.028667,-0.686123,0.707037,89
27052994485,0.01127,0.000968,0.1841,-0.188448,-0.028183,-0.685493,0.702704,90
27053027809,0.011568,-0.001133,0.182486,-0.21104,-0.023405,-0.6869,0.695041,91
27053094454,0.014802,-0.002297,0.183648,-0.210463,-0.033286,-0.69493,0.686782,93
27053127777,0.015572,-0.002121,0.185062,-0.2061,-0.037752,-0.698177,0.684577,94
27053161100,0.015915,0.000131,0.18329,-0.199924,-0.047447,-0.699431,0.684526,95
27053227746,0.016157,0.003053,0.187624,-0.188899,-0.047365,-0.700437,0.686631,97
27053261069,0.015674,0.004152,0.189858,-0.19126,-0.0363,-0.700773,0.686308,98
27053294391,0.015216,0.005248,0.191742,-0.205019,-0.019342,-0.699696,0.684119,99
27053361037,0.014981,0.00885,0.197617,-0.199497,-0.003643,-0.691034,0.694737,101
27053394360,0.014001,0.010665,0.199524,-0.191841,0.001645,-0.685918,0.701933,102
