timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
7273737107,0.054672,0.249855,0.108741,-0.01578,0.06311,-0.714486,0.696619,0
7273770430,0.055821,0.24088,0.10633,-0.019814,0.055153,-0.717061,0.694542,1
7273837077,0.057592,0.188365,0.098908,-0.036759,0.034907,-0.718852,0.693312,3
7273870400,0.058006,0.145356,0.096336,-0.049134,0.03352,-0.717204,0.69432,4
7273937047,0.054354,0.046784,0.09392,-0.06427,0.019158,-0.705549,0.70548,6
7273970371,0.05196,0.009901,0.090173,-0.076461,0.008302,-0.701767,0.708243,7
7274003693,0.049391,-0.012117,0.085976,-0.084963,-0.001396,-0.69623,0.712771,8
7274070340,0.047218,-0.014704,0.078281,-0.109089,-0.022473,-0.696781,0.708583,10
7274103664,0.046328,-0.006029,0.079541,-0.106997,-0.012384,-0.699964,0.706009,11
7274170311,0.044612,0.003572,0.08563,-0.092706,-0.00519,-0.702807,0.705295,13
7274203634,0.045041,-0.002186,0.087657,-0.088819,-0.00409,-0.704642,0.70397,14
7274236958,0.045635,-0.017101,0.090374,-0.088546,-0.004763,-0.704649,0.703994,15
7274303604,0.045173,-0.063145,0.095697,-0.092597,-0.017745,-0.701156,0.706747,17
7274336927,0.045125,-0.07932,0.098544,-0.093331,-0.020448,-0.699914,0.707808,18
7274403574,0.04329,-0.043733,0.097481,-0.078601,-0.019316,-0.700444,0.709103,20
7274436898,0.042736,0.015123,0.100696,-0.060683,-0.000346,-0.702688,0.708905,21
7274470221,0.042321,0.084759,0.108449,-0.039584,0.026298,-0.703312,0.709291,22
7274536868,0.045792,0.200204,0.121485,-0.008823,0.059249,-0.708998,0.702662,24
7274570191,0.047185,0.234762,0.121989,-0.005229,0.063366,-0.709389,0.701944,25
7274636838,0.046866,0.262187,0.116621,-0.015511,0.046857,-0.710086,0.702383,27
7274670161,0.046462,0.258937,0.115937,-0.019624,0.044478,-0.71025,0.702269,28
7274703484,0.045398,0.245125,0.115384,-0.025825,0.043167,-0.709018,0.703394,29
7274770131,0.04216,0.181383,0.114456,-0.04357,0.035335,-0.702404,0.709564,31
7274803454,0.039606,0.133012,0.114205,-0.053292,0.031313,-0.698679,0.712761,32
7274870101,0.032452,0.036363,0.113364,-0.080596,0.018543,-0.6888,0.720219,34
7274903425,0.030421,0.005293,0.112269,-0.086566,0.014863,-0.686876,0.721448,35
7274936748,0.028786,-0.008145,0.107599,-0.096349,0.001761,-0.684293,0.722812,36
7275003395,0.026292,0.004044,0.101346,-0.108459,0.003893,-0.684748,0.720654,38
7275036718,0.025391,0.016438,0.099606,-0.105594,0.007886,-0.686185,0.719679,39
7275103365,0.02654,0.027782,0.095992,-0.10465,0.008957,-0.691352,0.714844,41
7275136688,0.029221,0.022123,0.094224,-0.106154,0.003882,-0.69476,0.711355,42
7275170011,0.031575,0.008519,0.092892,-0.108012,-0.004049,-0.69744,0.708445,43
7275236659,0.035438,-0.03664,0.093306,-0.113609,-0.016023,-0.696852,0.707979,45
7275269982,0.036689,-0.057653,0.095366,-0.11494,-0.018124,-0.694553,0.70997,46
7275336628,0.041593,-0.034027,0.100559,-0.091305,-0.015219,-0.696488,0.711574,48
7275369952,0.045803,0.019527,0.104503,-0.072634,-0.00701,-0.703648,0.706792,49
7275403275,0.049333,0.087941,0.111153,-0.053419,0.008696,-0.706848,0.705292,50
7275469922,0.055706,0.209984,0.124027,-0.01739,0.044603,-0.70867,0.703914,52
7275503245,0.055906,0.248158,0.125427,-0.004834,0.04746,-0.70693,0.705673,53
7275536569,0.056176,0.267979,0.121078,-0.012251,0.033982,-0.704877,0.708409,54
7275603215,0.055353,0.272585,0.111574,-0.031658,0.010082,-0.706217,0.707215,56
7275636539,0.056175,0.260361,0.109805,-0.038353,0.004929,-0.708888,0.70426,57
7275703186,0.056681,0.204208,0.111978,-0.045571,0.004139,-0.710587,0.70212,59
