frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.061543,0.263481,0.220805,-0.006401,0.040079,-0.707519,0.705528,0.9612124914504588,25.41048054988384,-3.818334591580927,0.0380674401569878,9.61309843571186,-1.9383732242695983,0.1142147332429885,-0.2128825783729553,0.2000850439071655,-0.3014518718529665,-0.370994968608833,-0.6791113758268795,-0.5570433894198447,-0.1225363761186599,0.529075562953949,0.0445716902613639,18.788319833421703,-16.813946344357728,-0.8038649709004908,0.1117713451385498,-0.0586335994303226,20.42913590613604,0.0937877148389816,-2.416242957703024,3.186113962130249
1,0.062264,0.259232,0.215845,-0.010011,0.028448,-0.708848,0.704717,1.3918259681902825,18.667725953316687,-7.455192087548971,0.0855458745341748,9.645057170030476,-1.7708641559936105,-1.0218886137008667,0.227640151977539,0.0747079029679298,-0.3020089376537675,-0.3684980581183533,-0.6741647638485013,-0.5643595819423752,0.9328072667121888,1.0596108436584473,-0.1102453172206878,16.806846741485593,-18.024487670767307,-1.8064239835441112,0.0676764771342277,0.8619888424873352,15.873981369727847,0.1492814421653747,-2.4941475967690345,3.299906053265929
2,0.06577,0.213028,0.206313,-0.025192,0.009502,-0.710499,0.703183,1.2494108630299567,3.453716558796167,-3.348045522534847,0.0852068153055384,9.720527129295467,-1.2940120751701294,-1.287550449371338,-0.0771192014217376,-0.1269917786121368,-0.3105549611929584,-0.3604364159123454,-0.6603497878926227,-0.5810157688095525,1.0105966329574585,1.0320372581481934,-0.2712296843528747,7.504720380827784,-8.295253503403067,-0.9000386224329471,-0.0731245055794715,2.0057077407836914,-2.2011475239962337,0.4297660887241363,0.0607974186542443,0.6140054660633206
3,0.067909,0.174166,0.20361,-0.032147,0.001704,-0.711522,0.701926,-1.0876010293088854,-11.141106459891796,-3.159316263836622,0.0328055489898542,9.788830850192904,-0.5900038647616281,-2.540036916732788,0.0262458231300115,-0.0794049501419067,-0.3256762400735324,-0.3480417676220466,-0.6394910112587181,-0.6032024463479049,1.363033413887024,1.764750361442566,-0.2705653011798858,-1.967631613588333,2.8627047225683926,-0.9752718503326177,0.0774487629532814,0.1716722100973129,-13.5304308694005,0.7955139875411987,4.226078357125819,-1.6697075284168124
4,0.070134,0.072206,0.201119,-0.040786,-0.008659,-0.710768,0.70219,0.3284555266333743,-14.730812036323549,5.5154135265260935,-0.0237933105795644,9.801300455665588,0.3229967132382094,-1.4554994106292725,-0.0529655627906322,-0.2447283565998077,-0.3428924205347196,-0.330294279739139,-0.6119129343690002,-0.6315797722747937,1.2032369375228882,1.1916993856430054,-0.5165781378746033,-11.381134528672694,10.092027615070345,-2.2257674398593603,-0.1141421198844909,0.7262759804725647,-4.434442290620505,-0.0126263368874788,0.205721657091286,-0.4219970760965719
5,0.06921,0.030689,0.199017,-0.051436,-0.018821,-0.70921,0.702867,0.2829698415425606,-12.330249608963728,1.1580237881869078,-0.1484454165668226,9.798979319241642,0.3582542333738878,0.5999436974525452,-0.3567462861537933,0.0790373012423515,-0.3514673339759342,-0.3296397102403822,-0.6107960213054732,-0.6282806138436345,-0.252554327249527,-0.2970306873321533,-0.0716445967555046,-10.175271715468169,7.315743869370221,-1.696098107214272,-0.1233850345015525,0.0432142205536365,-10.022775799667835,-0.1047175228595733,2.808926370629668,-1.9812254007853567
6,0.067045,-0.001242,0.195757,-0.049343,-0.030307,-0.707633,0.704203,-0.4710649487894028,-11.374645166653394,-0.779529498001933,-0.1035434679144062,9.805395031502842,0.1178322881708852,0.6363154649734497,-0.1995678097009658,0.0868739336729049,-0.350450161499251,-0.3397866376914433,-0.6152538223305644,-0.6190253834554891,-0.4448891282081604,-0.3862427473068237,0.1196531951427459,-8.40705734333098,7.271244217908382,-2.286818413149565,-0.1392777562141418,0.0141546986997127,-9.552035771983862,-0.2349547892808914,2.728831381912529,-2.5665032234057783
7,0.066856,0.004737,0.190569,-0.05896,-0.038016,-0.708494,0.702221,-0.6925090939357876,-10.687049855983256,-0.6898878055214881,-0.0700440389258554,9.804787128737567,-0.177860786545556,0.7186137437820435,-0.0365375019609928,0.0885661616921424,-0.3452674223778458,-0.3471431525829584,-0.6233458172464162,-0.6096901233866644,-0.4641653597354889,-0.1691461205482483,0.2726392745971679,-7.2276254409343,7.056112689974904,-3.438246602463722,-0.1263206750154495,0.0477098561823368,-9.178189599865677,-0.4105387330055237,2.878949754926562,-2.7324977954655885
8,0.065081,0.031407,0.185474,-0.061525,-0.021041,-0.708797,0.70241,-0.1249033499351236,-10.572746600455044,-0.3882487549474462,-0.0313182741407421,9.797623228457567,-0.4194947378868237,0.6102994680404663,-0.0863550454378128,0.1378570348024368,-0.3407231206856494,-0.3536130275769012,-0.6295602480926507,-0.6020958737237456,-0.5183793306350708,-0.1658198833465576,0.256483256816864,-7.286776718083024,7.198112930724024,-1.9137112228304147,-0.073271170258522,0.0717802494764328,-9.403775886318089,-0.4820182919502258,2.9724288336127995,-2.4371863770104945
9,0.062695,0.035823,0.184725,-0.060724,-0.013008,-0.705694,0.70579,0.8274041788548231,-8.591376384371518,-0.1766284134726971,0.0051795677663438,9.78398750181496,-0.666280354636535,0.6462093591690063,-0.0058045666664838,0.0871234238147735,-0.335019212320099,-0.3589466592991605,-0.6364967719948664,-0.5948035066864467,-0.5005052089691162,-0.1757004261016845,0.2648972868919372,-7.426357038208842,6.019471301922202,-2.437731735933572,0.0592790581285953,0.1376801282167434,-9.210636409962175,-0.5598205327987671,2.6161139342710373,-2.3349402006313205
