frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.00092,0.205364,0.512634,0.019295,0.018771,-0.722904,0.690424,0.5894086753474548,23.092837228751183,-4.09993590298295,0.136034482478816,9.637993222993613,-1.8058116968646645,-0.2940904796123504,0.6094344258308411,0.7301081418991089,-0.6320540392894127,-0.7629485834774876,-0.0999011149311848,-0.0918524958008697,0.8865013718605042,0.3154457211494446,0.2606317698955536,19.54577369321585,-13.550029888361692,2.596122408860922,0.3835667073726654,0.1946906447410583,20.00305451986789,0.1468361169099807,0.514963492552936,-1.2991105673529206
1,-0.002738,0.197315,0.507318,0.016778,0.011747,-0.720846,0.692793,4.297250326935947,20.324471416568755,-7.755088641837239,0.3187702181169763,9.657818451926111,-1.6719316342070698,-0.814734697341919,-0.9166361689567566,0.2492121756076812,-0.6371630334849174,-0.760133148873473,-0.08626925802639,-0.0936945597867261,-0.0061393296346068,0.5024833679199219,0.1842274814844131,14.387605332618952,-13.607180931603908,1.333973644810915,0.1896016150712967,-0.3611681461334228,20.49965730308294,0.8482378721237183,0.5109860037567093,0.5439443801045417
2,-0.008839,0.142437,0.497913,0.006068,-0.004507,-0.713173,0.700947,-0.207238253933005,10.96302835906744,-2.729758141368628,0.4608739923058077,9.712249714815616,-1.2767891376905145,-1.165229082107544,0.2172148823738098,0.7621856331825256,-0.6527419978658512,-0.7483005678361303,-0.0717243823965066,-0.0939669885933071,1.826438069343567,0.6443235874176025,-0.4163529574871063,8.993926672926545,-10.131361262071133,-1.093899471865967,-0.225113496184349,-1.347874879837036,6.598167846456169,0.8437184691429138,0.0713741367521463,0.1272765544730238
3,-0.012803,0.098137,0.493836,-0.004492,-0.012852,-0.705928,0.708153,0.1613859822858125,-3.4710423721283674,-2.002859578835964,0.7195305179826915,9.756121005246042,-0.6861285260532051,-1.5829638242721558,0.8471980094909668,0.1897030472755432,-0.6721806957403085,-0.7280848057329091,-0.0698236018924027,-0.1148491558157028,2.15826678276062,1.5289424657821655,-0.7472688555717468,1.3075327971309425,0.2063391496688127,-2.7336346905410287,-0.2192987352609634,-1.819595456123352,-10.273314741069075,0.5320326685905457,-0.9905576092045754,-0.2112469781177118
4,-0.016749,0.04678,0.490714,-0.014772,-0.020491,-0.69949,0.714196,-0.3591788374055177,-12.555843494200706,-0.3803565769255161,0.6939182300813496,9.78201006426215,-0.033391185124393,-2.0614070892333984,-0.0720882043242454,-0.4187358021736145,-0.6956057564466983,-0.7047578972802842,-0.0708433687335626,-0.1201249968845577,1.1900663375854492,1.5591758489608765,-0.9151623845100404,-8.730364583823084,11.290362955379486,-2.137889980572462,-0.3395552635192871,1.3199084997177124,-8.506573948615788,0.5184432864189148,-1.841779666824639,0.1704266362231224
5,-0.02043,-0.002444,0.491531,-0.018315,-0.024226,-0.694607,0.718748,-1.3797725423030551,-14.173119701373576,5.14577591201365,0.5304295033626258,9.776767487433553,0.5512270113933831,-0.364527016878128,-0.2516852915287018,-0.2497444152832031,-0.7175377443757278,-0.6831750808227058,-0.0718822203073569,-0.1150840937966469,0.1619452834129333,0.108612336218357,-0.5768704414367676,-13.21634621528387,7.445604174992441,-5.29206595891118,0.0459143109619617,-0.7685041427612305,-9.326562298256158,0.3149590790271759,-0.8765954952642321,1.0548958605371417
6,-0.025878,-0.067137,0.485573,-0.030267,-0.038103,-0.691911,0.720341,-0.3779595257211476,-14.19002875059843,-0.6154980427086353,0.4698370509622618,9.783350957477092,0.4854629650413989,0.1311716139316558,-0.3663142323493957,-0.2544744908809662,-0.716583157041078,-0.68600505642997,-0.0681567262556488,-0.1061143556317367,-0.4887840151786804,0.0532444678246974,-0.1144815236330032,-10.548022493565082,8.72701644243896,-3.5643440484210847,0.1544392108917236,0.0669243708252906,-10.722466037279366,0.3321597278118133,-1.8438173101320865,-0.5262959106892346
7,-0.022851,-0.078215,0.477139,-0.050458,-0.07063,-0.693247,0.715454,0.1765678789244964,-12.727201931381224,0.5256833317488432,0.3833760343445465,9.790414904513954,0.4137415081223473,0.3792794942855835,-0.1948859691619873,-0.1947083622217178,-0.7149931457623028,-0.688641511297181,-0.0683953367472011,-0.0993970489723687,-0.3214168548583984,-0.2722606956958771,0.1888410001993179,-11.126071387845275,5.727980756929516,-3.513051960340142,0.0227617695927619,0.1350538879632949,-9.478471938601135,-0.1751376390457153,-1.3052879408136009,-1.0742505493484438
8,-0.022533,-0.076015,0.470175,-0.057699,-0.073875,-0.699243,0.708712,0.0514525393396615,-11.697529213297368,-0.4502390549143776,0.3151595168065279,9.79847955302596,0.2467319503337144,0.4572233557701111,-0.1331493109464645,-0.21578249335289,-0.7097656385691591,-0.694712347098145,-0.0692454034604637,-0.0938757920563635,-0.495807021856308,-0.4922876358032226,0.2511703670024872,-9.682857031592729,6.419526851052045,-3.344072819511592,-0.052088264375925,-0.0885976776480674,-9.7573192751199,-0.2672432065010071,-1.2976138990543782,-0.6549917025767267
9,-0.01993,-0.066272,0.469536,-0.042689,-0.054746,-0.707783,0.703011,0.298259326741565,-10.459654474282264,-0.4003483945965767,0.187614009199012,9.80484032022953,0.0166773468027415,0.6680828332901001,-0.0750142857432365,-0.4649413526058197,-0.7023918874423165,-0.7027236594849386,-0.0730010298410723,-0.086578817494019,-0.6766724586486816,-0.5772535800933838,0.2341753989458084,-8.582576407322287,6.479712147423625,-3.775097799661755,0.0355568379163742,-0.2134870141744613,-9.818153390789032,-0.3234289884567261,-1.3002063997656106,-0.7929696290072054
