timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
99873386555,-0.00092,0.205364,0.512634,0.019295,0.018771,-0.722904,0.690424,0
99873419878,-0.002738,0.197315,0.507318,0.016778,0.011747,-0.720846,0.692793,1
99873486525,-0.008839,0.142437,0.497913,0.006068,-0.004507,-0.713173,0.700947,3
99873519848,-0.012803,0.098137,0.493836,-0.004492,-0.012852,-0.705928,0.708153,4
99873553172,-0.016749,0.04678,0.490714,-0.014772,-0.020491,-0.69949,0.714196,5
99873586495,-0.02043,-0.002444,0.491531,-0.018315,-0.024226,-0.694607,0.718748,6
99873653141,-0.025878,-0.067137,0.485573,-0.030267,-0.038103,-0.691911,0.720341,8
99873686465,-0.022851,-0.078215,0.477139,-0.050458,-0.07063,-0.693247,0.715454,9
99873719788,-0.022533,-0.076015,0.470175,-0.057699,-0.073875,-0.699243,0.708712,10
99873786434,-0.01993,-0.066272,0.469536,-0.042689,-0.054746,-0.707783,0.703011,12
99873819758,-0.01829,-0.07152,0.470604,-0.0406,-0.047822,-0.710166,0.701234,13
99873853081,-0.018738,-0.086445,0.469688,-0.04655,-0.048887,-0.70876,0.702212,14
99873886404,-0.018719,-0.107652,0.468537,-0.05792,-0.057268,-0.703128,0.706382,15
99873953051,-0.022295,-0.114056,0.460922,-0.06265,-0.077065,-0.696681,0.710473,17
99873986374,-0.024044,-0.072261,0.459236,-0.052823,-0.062406,-0.693971,0.715345,18
99874019697,-0.024938,-0.008288,0.461335,-0.036335,-0.048883,-0.699047,0.712477,19
99874086344,-0.023445,0.121099,0.474435,0.001219,-0.011136,-0.720983,0.692862,21
99874119667,-0.022856,0.165518,0.478576,0.019715,0.008608,-0.722251,0.691296,22
99874152990,-0.023513,0.193167,0.473548,0.020404,-0.001147,-0.716339,0.697453,23
99874186314,-0.023999,0.205965,0.46547,0.013353,-0.022153,-0.711246,0.702468,24
99874252960,-0.022968,0.195193,0.453776,0.004967,-0.035253,-0.71569,0.69751,26
99874286283,-0.018742,0.175796,0.45429,0.003822,-0.035399,-0.718061,0.695069,27
99874319607,-0.018222,0.144664,0.454133,0.001563,-0.036379,-0.715868,0.697286,28
99874386253,-0.016713,0.05093,0.459193,-0.011777,-0.039212,-0.705402,0.707624,30
99874419577,-0.018421,-0.001882,0.458558,-0.019161,-0.042269,-0.694138,0.718344,31
99874452900,-0.02096,-0.041263,0.451564,-0.037078,-0.071788,-0.680882,0.727923,32
99874486223,-0.022209,-0.058404,0.448428,-0.042742,-0.069241,-0.67279,0.735346,33
99874552870,-0.022031,-0.046722,0.436716,-0.054882,-0.073275,-0.686065,0.721757,35
99874586193,-0.021244,-0.03409,0.4385,-0.04846,-0.054892,-0.695874,0.714422,36
99874619516,-0.021073,-0.028156,0.438155,-0.042312,-0.049609,-0.701784,0.7094,37
99874686163,-0.016679,-0.045301,0.428745,-0.051065,-0.064372,-0.70253,0.706895,39
99874719486,-0.014899,-0.067071,0.423368,-0.059741,-0.076959,-0.699772,0.707692,40
99874752809,-0.013457,-0.089569,0.4187,-0.067503,-0.083913,-0.699222,0.706747,41
99874786130,-0.01167,-0.096076,0.414208,-0.069541,-0.09471,-0.700246,0.704166,42
99874852779,-0.011611,-0.024375,0.41902,-0.012654,-0.068505,-0.716195,0.694414,44
99874886103,-0.01024,0.04228,0.428773,0.016354,-0.053131,-0.718826,0.692964,45
99874919426,-0.009556,0.107671,0.432387,0.013906,-0.029163,-0.72726,0.685601,46
99874986072,-0.009416,0.193688,0.437235,0.033519,0.010652,-0.73466,0.677523,48
99875019396,-0.011241,0.213373,0.430332,0.026337,-0.005863,-0.729038,0.683941,49
99875052719,-0.013308,0.220819,0.422677,0.019466,-0.019725,-0.720824,0.692564,50
99875086042,-0.014116,0.218755,0.418788,0.018287,-0.029914,-0.718595,0.694545,51
99875152689,-0.015629,0.181204,0.415956,0.016889,-0.02985,-0.715324,0.69795,53
99875186012,-0.016716,0.145992,0.413217,0.014889,-0.031745,-0.711211,0.702103,54
99875219335,-0.019493,0.098718,0.410596,0.008538,-0.042305,-0.705758,0.707137,55
99875285982,-0.022509,-0.007099,0.406458,-0.019959,-0.053288,-0.695088,0.716669,57
99875319305,-0.02367,-0.045762,0.400833,-0.040612,-0.072042,-0.692126,0.717023,58
99875352628,-0.02514,-0.067892,0.399523,-0.041886,-0.069088,-0.693907,0.715518,59
99875385952,-0.025871,-0.074587,0.400571,-0.049572,-0.07746,-0.694535,0.713557,60
99875452598,-0.028346,-0.057149,0.404222,-0.046701,-0.060643,-0.694559,0.715352,62
99875485921,-0.027296,-0.04364,0.408053,-0.046107,-0.044545,-0.699421,0.711829,63
99875519245,-0.025692,-0.029897,0.409602,-0.042892,-0.031949,-0.703736,0.708446,64
99875585891,-0.020466,-0.008851,0.40953,-0.03885,-0.022562,-0.704662,0.708119,66
99875619214,-0.01929,-0.003656,0.407384,-0.041609,-0.023699,-0.703693,0.708889,67
99875652538,-0.018637,-0.00105,0.405191,-0.044057,-0.024889,-0.702829,0.709557,68
99875719184,-0.012083,4.6e-05,0.402292,-0.047947,-0.027923,-0.702246,0.709769,70
99875752507,-0.012424,0.001087,0.399331,-0.054587,-0.035391,-0.697175,0.713943,71
99875785831,-0.009887,0.004161,0.396297,-0.062885,-0.045062,-0.692976,0.716798,72
99875819154,-0.008259,0.006139,0.39448,-0.066627,-0.049193,-0.692287,0.716855,73
99875885801,-0.00325,0.009247,0.395497,-0.066145,-0.042888,-0.699054,0.71071,75
99875919124,-0.002296,0.01138,0.396665,-0.070024,-0.024246,-0.697757,0.712491,76
99875952447,-0.001132,0.012279,0.396678,-0.074655,-0.017234,-0.699412,0.7106,77
99876019092,0.00289,0.0131,0.399284,-0.079844,-0.02673,-0.700643,0.708527,79
99876052417,0.003299,0.013616,0.3986,-0.079655,-0.031355,-0.702008,0.707006,80
99876085740,0.004255,0.01464,0.398972,-0.076659,-0.033954,-0.705328,0.703906,81
99876119063,0.004995,0.015549,0.398628,-0.073913,-0.038516,-0.707569,0.701712,82
99876185710,0.005442,0.016865,0.399998,-0.078319,-0.044961,-0.706416,0.702012,84
99876219033,0.005305,0.017923,0.401682,-0.079521,-0.043713,-0.705137,0.703241,85
99876252357,0.005164,0.019133,0.402823,-0.081032,-0.040038,-0.70498,0.703445,86
99876319003,0.004134,0.020578,0.4077,-0.084863,-0.026396,-0.705613,0.703003,88
99876352326,0.00317,0.022249,0.409968,-0.080724,-0.019757,-0.704137,0.705184,89
99876385650,0.00197,0.021739,0.413354,-0.076736,-0.01462,-0.70443,0.705462,90
99876418973,0.000782,0.022181,0.414661,-0.076935,-0.015157,-0.704259,0.705599,91
99876485620,-0.002123,0.023077,0.415702,-0.069293,-0.036756,-0.703388,0.706465,93
99876518943,-0.004213,0.023576,0.41501,-0.070397,-0.047644,-0.702857,0.706234,94
99876552266,-0.006921,0.024843,0.414195,-0.072465,-0.049714,-0.701999,0.706736,95
99876618912,-0.012011,0.028387,0.418521,-0.069909,-0.045134,-0.700055,0.709224,97
99876652236,-0.01361,0.02987,0.419422,-0.069294,-0.041782,-0.700222,0.709325,98
99876685559,-0.013263,0.0295,0.421579,-0.068088,-0.041707,-0.700707,0.708967,99
99876718882,-0.013417,0.029614,0.422834,-0.067169,-0.042141,-0.701027,0.708712,100
99876785529,-0.015566,0.02964,0.423786,-0.066681,-0.053591,-0.699785,0.709212,102
99876818852,-0.016723,0.029918,0.42452,-0.068565,-0.052422,-0.698119,0.71076,103
99876852175,-0.017463,0.030562,0.425707,-0.069522,-0.043708,-0.697236,0.712123,104
