timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
26013011841,-0.032419,0.187056,0.090778,0.078085,0.080787,-0.711084,0.694072,0
26013045164,-0.038619,0.182214,0.090672,0.071762,0.078814,-0.708469,0.697646,1
26013111811,-0.050555,0.133155,0.085295,0.044987,0.060357,-0.706462,0.703736,3
26013145134,-0.054671,0.094933,0.083949,0.031656,0.049683,-0.708199,0.703551,4
26013178457,-0.058228,0.053164,0.085453,0.024559,0.045061,-0.707326,0.705022,5
26013245103,-0.064789,-0.009204,0.087966,0.01428,0.030472,-0.705076,0.708333,7
26013278426,-0.068268,-0.023014,0.090215,0.013323,0.026685,-0.703282,0.710285,8
26013311749,-0.068497,-0.026582,0.081425,-0.011024,-0.00681,-0.708083,0.70601,9
26013378395,-0.070534,-0.017439,0.0763,-0.004471,-0.020092,-0.711546,0.702338,11
26013411718,-0.071905,-0.01459,0.075768,0.002088,-0.019027,-0.710515,0.703422,12
26013445042,-0.072791,-0.018343,0.07573,0.009805,-0.013848,-0.711168,0.702818,13
26013511688,-0.076106,-0.053718,0.0723,0.002417,-0.023078,-0.709733,0.704089,15
26013545011,-0.077468,-0.079248,0.066991,-0.01058,-0.029787,-0.707285,0.706221,16
26013578334,-0.078766,-0.096225,0.057729,-0.028045,-0.055113,-0.706408,0.705098,17
26013644980,-0.074581,-0.05084,0.053818,-0.031253,-0.057517,-0.715292,0.695753,19
26013678303,-0.073303,0.011782,0.062299,-0.005967,-0.035121,-0.714524,0.698704,20
26013711626,-0.072103,0.08143,0.073697,0.025669,0.001366,-0.716107,0.697517,21
26013778271,-0.063947,0.178207,0.092372,0.081998,0.061896,-0.720788,0.685499,23
26013811596,-0.061445,0.199313,0.093046,0.083573,0.06501,-0.722571,0.68314,24
26013844919,-0.059342,0.205315,0.091546,0.073827,0.061423,-0.722752,0.684402,25
26013911565,-0.061249,0.176878,0.087201,0.052522,0.05229,-0.719021,0.691025,27
26013944888,-0.060295,0.147375,0.085484,0.041732,0.050888,-0.717287,0.693663,28
26013978211,-0.060344,0.108629,0.085351,0.03153,0.047306,-0.714837,0.696976,29
26014044858,-0.063304,0.022897,0.088567,0.016701,0.045581,-0.704147,0.708393,31
26014078180,-0.063246,-0.00846,0.086976,0.000639,0.024118,-0.703567,0.710219,32
26014111503,-0.062948,-0.025578,0.085354,-0.006653,0.024956,-0.7034,0.710324,33
26014178150,-0.060023,-0.028127,0.073797,-0.03119,-0.015442,-0.710885,0.702447,35
26014211473,-0.060355,-0.023709,0.072968,-0.024274,-0.019922,-0.710711,0.702783,36
26014244796,-0.060047,-0.024095,0.07057,-0.022626,-0.021246,-0.707236,0.706296,37
26014311442,-0.060077,-0.039857,0.0669,-0.022533,-0.022515,-0.702891,0.710584,39
26014344765,-0.057097,-0.055172,0.061032,-0.026903,-0.027465,-0.701392,0.711738,40
26014378088,-0.055209,-0.071536,0.055956,-0.03272,-0.034262,-0.700717,0.711865,41
26014444734,-0.051766,-0.066274,0.04751,-0.03363,-0.056008,-0.700646,0.710512,43
26014478057,-0.048365,-0.032358,0.046411,-0.033321,-0.049463,-0.70394,0.707751,44
26014511380,-0.045101,0.020201,0.047298,-0.024927,-0.044872,-0.709278,0.703057,45
26014578027,-0.040458,0.127894,0.060676,0.030143,-0.00126,-0.712422,0.701102,47
26014611349,-0.039201,0.162501,0.067294,0.058676,0.022915,-0.713154,0.698171,48
26014644673,-0.037002,0.18049,0.068396,0.065187,0.028764,-0.711877,0.698681,49
26014711319,-0.034193,0.165753,0.061128,0.049863,0.017249,-0.708347,0.70389,51
26014744642,-0.032584,0.137395,0.057223,0.03526,0.01082,-0.706289,0.706963,52
26014777965,-0.031578,0.098985,0.053756,0.016935,0.00403,-0.704313,0.709676,53
26014844611,-0.030689,0.016709,0.055772,0.007985,0.011091,-0.701108,0.712924,55
26014877934,-0.029082,-0.014631,0.060008,0.007932,0.003696,-0.702587,0.711544,56
26014911257,-0.028087,-0.034918,0.061654,0.008007,0.005709,-0.702759,0.71136,57
26014977904,-0.024547,-0.045832,0.056846,-0.010431,-0.019668,-0.702402,0.711432,59
26015011227,-0.022587,-0.039232,0.053315,-0.017865,-0.02726,-0.70532,0.708139,60
26015044550,-0.021705,-0.028834,0.052214,-0.016683,-0.031677,-0.70602,0.707286,61
26015111196,-0.020222,-0.00484,0.054372,-0.001363,-0.022789,-0.706859,0.706986,63
26015144519,-0.01901,0.003385,0.055389,0.003898,-0.015527,-0.704503,0.709521,64
26015177842,-0.018711,0.007946,0.054648,0.003173,-0.008229,-0.702012,0.712111,65
26015244488,-0.019797,0.008953,0.047172,-0.01508,0.002501,-0.697812,0.716118,67
26015277811,-0.021478,0.004758,0.042624,-0.02708,-0.000471,-0.694157,0.719314,68
26015311125,-0.021863,0.001246,0.036587,-0.039993,-0.004012,-0.691011,0.721726,69
26015377781,-0.016152,-0.00657,0.028417,-0.055607,-0.000406,-0.696951,0.714959,71
26015411104,-0.013328,-0.009313,0.025539,-0.067332,0.012213,-0.700385,0.710477,72
26015444427,-0.010885,-0.011128,0.023482,-0.075152,0.027053,-0.70375,0.705944,73
26015511073,-0.007676,-0.011874,0.020797,-0.082091,0.033623,-0.703089,0.705547,75
26015544395,-0.006326,-0.012163,0.019939,-0.080767,0.038887,-0.701766,0.706745,76
26015577719,-0.005013,-0.012305,0.018855,-0.078703,0.040788,-0.700993,0.707638,77
26015644365,-0.002417,-0.012845,0.012616,-0.085934,0.042147,-0.69826,0.709416,79
26015677688,-0.000326,-0.013084,0.010595,-0.087433,0.046479,-0.700319,0.706929,80
26015711011,0.002306,-0.01287,0.010334,-0.086319,0.04967,-0.704054,0.703129,81
26015777658,0.006663,-0.01206,0.009538,-0.088771,0.053357,-0.704717,0.701887,83
26015810981,0.008599,-0.011404,0.009138,-0.090473,0.056132,-0.704636,0.701536,84
26015844304,0.010352,-0.01057,0.009696,-0.085484,0.0602,-0.705202,0.701255,85
26015910950,0.012719,-0.009694,0.010815,-0.079778,0.062809,-0.701721,0.70518,87
26015944273,0.014907,-0.010378,0.010671,-0.083708,0.066573,-0.70343,0.702671,88
26015977596,0.01759,-0.010588,0.009392,-0.094557,0.071069,-0.709058,0.695158,89
