frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.005573,0.25199,-0.01112,-0.011221,-0.003575,-0.711187,0.702905,0.3372424980705604,22.16923419085741,-2.858810053217411,-0.0711869847161695,9.635190440532565,-1.824397739391029,-0.4576921164989471,-0.002756685949862,-0.0313603654503822,-0.3396542287322412,-0.4051727399080152,-0.654869032180177,-0.5400153772892016,0.3227601051330566,0.6771268844604492,-0.990742802619934,15.650372520828244,-15.344779800724982,3.110450818380713,0.1700364649295807,-0.1377018392086029,16.423982565653322,0.0233614072203636,-2.1235078194767234,1.3746844253838062
1,-0.005757,0.247534,-0.014463,-0.01894,-0.014006,-0.711106,0.70269,0.5895815842289477,18.25769904527068,-8.052399271285534,-0.2015713872777298,9.702236854845284,-1.4129276467993854,-1.859110236167908,0.0047253938391804,-0.3367476463317871,-0.3530238149116925,-0.3948311429367463,-0.6450950532655596,-0.5507585707211021,0.7401760220527649,0.98933744430542,-1.1365060806274414,13.877226537507772,-13.972053523671626,5.077809460246563,0.1896076053380966,0.1901902556419372,18.50537032228112,0.2715285420417785,-2.9330399492934345,3.1963565392032263
2,-0.006777,0.208195,-0.013395,-0.027105,-0.01637,-0.708232,0.705269,-0.1453242340726777,11.077171455597878,-0.0020657003581523,-0.1847764659518375,9.775128488054872,-0.7636302103415131,-1.2203601598739624,-0.022511787712574,0.2410166710615158,-0.3646095316162393,-0.3824231427390137,-0.6266473063931913,-0.5728225576421899,0.6631374359130859,0.6485646367073059,-0.8001074194908142,8.652878024038673,-11.90086567401886,3.1346114461690187,0.116870529949665,1.0603687763214111,11.305690288370847,0.4910951852798462,-1.7850250755541026,2.2603997773014006
3,-0.006663,0.172413,-0.010245,-0.030712,-0.016908,-0.706709,0.706636,-0.8581202196359634,-3.905087284621596,-0.4470119095614179,-0.1056953213192056,9.798862414863706,-0.3761441833948716,-1.0874208211898804,0.0860216170549392,0.2841194570064544,-0.3686791452172246,-0.376497759464856,-0.6143512456794545,-0.5872798037216859,1.1101481914520264,1.14301860332489,-0.4095132946968078,0.0587368511289358,-1.23092243565917,0.0286518017277121,0.1643874645233154,1.6590499877929688,-6.841154765042663,0.4102658629417419,1.4478463999673723,-0.8132056306976825
4,-0.010808,0.077047,-0.007279,-0.042545,-0.010468,-0.702507,0.710327,-0.3765115188699215,-15.473888995718957,1.4457722240418196,0.0410240158071043,9.805166483443974,0.1655253288465552,-1.387654423713684,-0.1079694703221321,0.3613147437572479,-0.3761638081142237,-0.3723560400103077,-0.5940635791406884,-0.6057558807041901,1.1716387271881104,1.0166363716125488,-0.4747674465179443,-9.129694741287826,10.259799425935745,-4.731095625203848,0.6828390955924988,-1.1658645868301392,-12.492826189273597,0.5530745387077332,4.139536676487326,-1.7991130760088565
5,-0.014104,0.037494,-0.009452,-0.055465,-0.019048,-0.696904,0.714763,1.0494636794205754,-15.070470692157745,5.244987396872044,0.0711721661729505,9.798439221015572,0.3948541810944676,0.64644855260849,0.0305765345692634,-0.1637583076953888,-0.378447672467245,-0.3677782176691409,-0.5870325563464648,-0.6139294400555304,-0.3529485762119293,-0.2459054142236709,0.3830645978450775,-14.61157541604638,9.325766763964294,-10.308506465959548,0.0050829220563173,0.8989425897598267,-7.783667670589685,-0.463875263929367,1.517585852756351,-0.953371787887439
6,-0.021485,0.005549,-0.00878,-0.063815,-0.018407,-0.690349,0.720422,0.5392998787669465,-13.269558750033378,-1.2455495114266872,-0.0106301596099685,9.806495101699232,-0.054203098423127,0.9345903992652892,-0.2875411808490753,-0.1788893789052963,-0.3748164935996663,-0.3762426473893277,-0.6010033770823032,-0.5972847381977309,-0.985057532787323,-0.5607812404632568,0.5427163243293762,-9.842079040777683,8.238609825161099,-5.031588976341486,0.183715209364891,0.109097234904766,-9.823368495088816,0.0452691540122032,1.922745885418356,-2.221393316428363
7,-0.023492,0.006803,-0.009875,-0.076155,-0.020465,-0.687464,0.721924,-0.3805585657710209,-9.383175581359865,-0.6204232241511345,-0.0423172887543449,9.80021441399455,-0.3526698573702946,0.8247947692871094,-0.1539619266986847,0.027185970917344,-0.3727563113642096,-0.383786100298627,-0.6088426630011521,-0.5857230469694495,-0.4179102480411529,-0.4313204288482666,0.4149950444698334,-6.631310822123289,4.427395586979389,-3.7673844488054513,0.1331268101930618,-0.1432534903287887,-9.64407692682147,-0.3012911677360534,2.2895748722508547,-2.850577062401176
8,-0.025345,0.016524,-0.008776,-0.081916,-0.013448,-0.688022,0.720927,0.0117700058359652,-8.836839337682724,-2.354564061772823,-0.0443910171553259,9.787935362657905,-0.6039209656288846,0.3528488874435425,0.0624606274068355,-0.0902056843042373,-0.3685488768347737,-0.3892000081868619,-0.6158853408048108,-0.5773908886310348,-0.2170136123895645,-0.0953388065099716,0.1325412988662719,-5.416971272474527,4.920917355313897,-3.9795638489350673,0.1168405264616012,-0.2163597047328949,-9.137942345151306,-0.4618094861507416,2.525876029463112,-2.9589482975319026
9,-0.025622,0.012239,-0.006478,-0.079071,-0.012562,-0.687526,0.721733,0.5602681037221103,-9.664697105523944,-0.533291907056421,-0.0863656482181511,9.78305869653225,-0.6742834091544151,0.0878323465585708,0.1384090632200241,-0.1589551419019699,-0.3664747960983613,-0.3871431566926764,-0.6200798847004526,-0.5756016157724881,0.0300449021160602,0.0272048506885767,0.041342943906784,-6.59044572777152,5.290142297372221,-3.24889658151865,0.1295972913503646,-0.0897961109876632,-9.370756244769693,-0.7135977149009705,2.486060444164276,-2.3744703931175173
