timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
8538525219,0.019085,0.283289,0.182433,-0.018873,0.039819,-0.706691,0.706148,0
8538558542,0.021023,0.278445,0.176503,-0.024538,0.02878,-0.71,0.703185,1
8538625189,0.024415,0.236732,0.168384,-0.035497,0.007447,-0.711143,0.702111,3
8538658512,0.025354,0.198765,0.167887,-0.038902,0.002046,-0.710065,0.703057,4
8538725159,0.026757,0.098044,0.170413,-0.044832,-0.004888,-0.709506,0.703255,6
8538758482,0.026754,0.049944,0.172647,-0.049271,-0.003251,-0.708403,0.704079,7
8538791805,0.02588,0.016871,0.176093,-0.048387,4.9e-05,-0.707763,0.704791,8
8538858452,0.025414,0.002733,0.176967,-0.051783,-0.002561,-0.7119,0.700365,10
8538891775,0.02504,0.012018,0.175786,-0.055006,0.004662,-0.714228,0.697733,11
8538958422,0.022817,0.024184,0.171488,-0.055793,0.005253,-0.716227,0.695614,13
8538991745,0.021735,0.018627,0.166806,-0.062624,-0.00073,-0.713079,0.69828,14
8539025069,0.019742,0.000471,0.161112,-0.076468,-0.009823,-0.708848,0.701135,15
8539091716,0.017759,-0.052964,0.150117,-0.107124,-0.040702,-0.703432,0.701464,17
8539125039,0.017301,-0.063959,0.14424,-0.116089,-0.05333,-0.701086,0.70154,18
8539191685,0.016715,0.009982,0.143492,-0.08634,-0.0339,-0.700095,0.708,20
8539225009,0.017198,0.083807,0.149837,-0.062271,-0.008019,-0.703842,0.707577,21
8539258332,0.017471,0.155953,0.156124,-0.041402,0.01352,-0.704853,0.708016,22
8539324979,0.020367,0.2472,0.158988,-0.018247,0.029159,-0.708869,0.704501,24
8539358302,0.021832,0.266237,0.153837,-0.027157,0.018211,-0.709551,0.703896,25
8539424949,0.027871,0.272794,0.145976,-0.040588,-0.001116,-0.715396,0.697539,27
8539458273,0.030507,0.263339,0.145668,-0.042908,-0.003669,-0.716974,0.695768,28
8539491596,0.032317,0.243661,0.148336,-0.04022,-0.003282,-0.717098,0.695803,29
8539558242,0.032543,0.165738,0.1544,-0.043975,-0.00386,-0.713128,0.699643,31
8539591566,0.031973,0.111467,0.155204,-0.053539,-0.008313,-0.71178,0.70031,32
8539658212,0.030795,0.023183,0.154051,-0.075705,-0.020801,-0.709658,0.700158,34
8539691536,0.030962,0.006659,0.154306,-0.074236,-0.022297,-0.708719,0.70122,35
8539724859,0.030237,0.006136,0.154075,-0.079765,-0.028361,-0.710028,0.699066,36
8539791506,0.031318,0.025155,0.156802,-0.077828,-0.024669,-0.713716,0.69566,38
8539824829,0.03146,0.031564,0.156492,-0.076309,-0.025919,-0.713654,0.695847,39
