timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
27079904137,0.0467,0.205248,0.421879,0.085956,0.089185,-0.701856,0.701467,0
27079937460,0.044653,0.188856,0.424418,0.091167,0.092198,-0.698461,0.703804,1
27079970784,0.042563,0.159353,0.423713,0.085678,0.087154,-0.69367,0.709849,2
27080037430,0.041993,0.072456,0.412935,0.034668,0.044078,-0.699281,0.712644,4
27080070754,0.042913,0.032442,0.405201,-0.001507,0.014247,-0.704172,0.709885,5
27080104077,0.041935,0.002666,0.398388,-0.038695,-0.006115,-0.699215,0.713837,6
27080137401,0.042315,-0.017523,0.394864,-0.068291,-0.024853,-0.692309,0.717933,7
27080170724,0.043012,-0.027722,0.39147,-0.08394,-0.037485,-0.691602,0.716404,8
27080237371,0.043639,-0.032234,0.393344,-0.082997,-0.034508,-0.695021,0.713349,10
27080270695,0.043589,-0.031823,0.393466,-0.082048,-0.033808,-0.694937,0.713574,11
27080304018,0.043225,-0.031844,0.392813,-0.083444,-0.033496,-0.693633,0.714695,12
27080337341,0.040742,-0.031278,0.393986,-0.086004,-0.034195,-0.692231,0.715716,13
27080370665,0.039371,-0.034425,0.392502,-0.091861,-0.03735,-0.690471,0.716531,14
27080403988,0.037893,-0.038404,0.390062,-0.099607,-0.044105,-0.688479,0.717029,15
27080470635,0.036566,-0.020553,0.387511,-0.098685,-0.052157,-0.688483,0.716612,17
27080503958,0.038304,0.012012,0.388251,-0.068093,-0.038114,-0.694606,0.715146,18
27080537282,0.041312,0.059753,0.394845,-0.02045,-0.01108,-0.702249,0.711552,19
27080570605,0.042649,0.108453,0.405792,0.026462,0.015991,-0.705892,0.707644,20
27080603925,0.042663,0.150125,0.418879,0.061094,0.039876,-0.706104,0.70434,21
27080670574,0.039049,0.192462,0.442775,0.096623,0.082443,-0.697279,0.705457,23
27080703899,0.036701,0.188854,0.449766,0.105735,0.097551,-0.692596,0.706835,24
27080737222,0.035266,0.166556,0.451666,0.107417,0.101748,-0.690456,0.708082,25
27080770546,0.033747,0.131819,0.448324,0.094024,0.097857,-0.689977,0.710996,26
