frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.037252,0.16639,0.407667,0.145283,0.085515,-0.662077,0.730229,2.204387821091712,16.41874524952173,-4.880567224746942,-0.269124801264517,9.733868256905676,-1.161799799594283,-2.241929292678833,-0.8325656652450562,-0.1642830222845077,-0.0278966359745608,-0.0107610538733791,-0.7477429402349814,-0.6633147973467195,2.2439863681793213,2.480564832687378,-1.4710955619812012,-1.2202045917510986,1.1093535423278809,-0.0271822251379489,-0.0150202885270118,0.2358933538198471,1.0988587747737764,-0.066740833222866,0.6707886258412152,-0.6154035693582147
1,0.037756,0.151949,0.411856,0.145115,0.087523,-0.665476,0.726927,0.6507368216112256,6.43938072155714,-6.097237847691774,-0.3990465182177722,9.798096106666328,-0.0920719518346711,-3.025164127349853,-0.5362110137939453,-0.4023585617542267,-0.0424676330252033,-0.0139761990725273,-0.7102809506587167,-0.7024971529299724,2.304496049880981,2.1740126609802246,-2.272867679595948,-0.1485615372657776,0.4635618329048157,0.6077814102172852,-0.2488007992506027,0.0932361111044883,0.5529399162584916,-0.1485401540994644,0.3655331383356824,0.4964769283456727
2,0.039056,0.120423,0.406517,0.124223,0.07329,-0.674124,0.724399,1.0474300547011195,-5.662257115653157,-5.557208010682463,-0.5771190660841763,9.724319507315755,1.1291316748972982,-3.020775079727173,-0.2137975543737411,-0.5129502415657043,-0.0548210514133995,-0.0094480796447792,-0.6650872433905789,-0.744690824899945,1.847498893737793,1.725658297538757,-2.4014034271240234,0.7502480149269104,-0.1126213073730468,0.8286912441253662,-0.3174887895584106,-0.0634076446294784,-0.0913695483195129,0.3197412490844726,0.4993301258197054,1.5836645910806952
3,0.046442,0.041641,0.381296,0.052115,0.005712,-0.697156,0.715,1.0359367469146847,-17.40731205023527,-3.2621745807647704,-0.8022028098419308,9.52260801744759,2.201543391446024,-2.637660264968872,0.8497941493988037,-0.5444838404655457,-0.0605161642986563,0.0041256600901146,-0.6226841129850902,-0.7801187735276857,1.718008041381836,1.183125376701355,-1.584125518798828,1.573821783065796,-0.6838425397872925,0.8567190766334534,-0.1227123290300369,0.0210315976291894,-0.7735741697940975,0.3027444779872894,-0.1919349046054296,-0.5420507849102839
4,0.048353,0.015872,0.370752,0.017952,-0.026368,-0.699428,0.713991,0.8218352196160703,-21.590237202072142,-0.6769044053077697,-0.9761116621576248,9.28957842925191,2.9868600945472714,-1.2003356218338013,0.3894280195236206,0.1283437460660934,-0.0538886863609641,0.0223542955405688,-0.5892476573315547,-0.8058434009628382,0.2039039731025695,0.5948486924171448,-0.0726966187357902,1.9264047145843504,-0.8899472951889038,0.7396888732910156,-0.0697521865367889,0.130335122346878,-0.9221265356004238,0.0968417003750801,-0.2666076125455088,-0.4272926252214238
5,0.05125,0.001828,0.368092,0.002738,-0.046855,-0.700525,0.712083,1.698505752877891,-18.172645265102386,2.0923644931942222,-0.865323575143516,9.317091874599456,2.934860734979808,1.1170508861541748,0.1954578012228012,0.4055773615837097,-0.0483222515239002,0.0193048959878772,-0.5916004348934065,-0.8045503398636579,-1.216767430305481,-0.1609086990356445,1.414543867111206,1.588085651397705,-0.7987726330757141,0.7154901027679443,-0.0379766710102558,0.0574130155146122,-0.6049023048164323,0.1875796765089035,-0.1029624166234396,0.0187026124025171
6,0.052439,-0.001221,0.369108,0.001175,-0.05131,-0.702194,0.710134,-0.022817250355333,-9.010297377490996,3.1151544660270214,-0.6840707898057997,9.529240587329864,2.212692123578489,2.711799144744873,0.2318383604288101,0.7193188667297363,-0.0358320560873308,0.0160985970050284,-0.6220329022253953,-0.782005094500851,-2.2944774627685547,-1.2175382375717163,2.075206756591797,0.6495448350906372,-0.333182156085968,0.3696237504482269,-0.0851280689239502,-0.1191621422767639,-0.4114480268903076,0.3166168630123138,-0.2012826334642246,0.7422142050862311
7,0.052839,0.001014,0.374328,0.010826,-0.040416,-0.70465,0.70832,-1.5784630769148469,5.442623015603423,1.9568290645450352,-0.4106696629289537,9.741254275503756,1.053430683355406,3.122185230255127,0.2126912623643875,0.5627893209457397,-0.0256327783161479,0.0051297502373571,-0.6680296913217999,-0.7436753902801425,-2.3562397956848145,-1.86956524848938,1.919737339019776,-0.8580774068832397,0.3551633358001709,0.0673335939645767,-0.2113010883331298,0.3956004679203033,0.453659859675914,0.7866010665893555,-0.4019952119555324,1.1808260601688176
8,0.053479,0.002764,0.380564,0.024931,-0.027548,-0.708547,0.704685,0.8139937123354524,11.267416964077947,-2.29981306540966,-0.331562077813968,9.800509597548842,-0.1023196526073385,2.4274661540985107,-0.0425411164760589,0.0567286759614944,-0.0194832044784786,0.0043474088054928,-0.7107727841074958,-0.7031383663433244,-1.4272677898406982,-1.1618670225143433,0.91074138879776,-0.9563315510749816,0.7827662229537964,-0.4968957304954529,-0.0219259709119796,-0.2650737762451172,0.5092958221800625,0.4232862293720245,0.0691350114892702,-0.2763633194169961
9,0.052937,9.2e-05,0.380806,0.021316,-0.027983,-0.706993,0.706345,-0.3701820966526866,10.037830745458605,-4.264524407637119,-0.2933109288202598,9.774485513976217,-0.73741170017533,0.9498412013053894,-0.2055860310792923,0.1795971989631652,-0.0206124660545314,-0.0002333103495828,-0.7332103932157669,-0.6796892931950848,-0.4235929548740387,-0.2528348267078399,0.1695061028003692,-0.8061920404434204,0.7677255272865295,-0.2967922687530517,-0.0013109527062624,0.0121980495750904,0.3542219091178849,0.146348163485527,-0.1242620289574377,-0.1777698751254007
