timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
32464131428,-0.003261,0.207831,0.496294,0.17151,0.105936,-0.706256,0.678648,0
32464164752,-0.004436,0.197988,0.497085,0.170205,0.115499,-0.701215,0.682633,1
32464198075,-0.006321,0.172574,0.491071,0.161879,0.107437,-0.695911,0.691347,2
32464264722,-0.011236,0.087087,0.469785,0.122599,0.058073,-0.693073,0.707988,4
32464298046,-0.009105,0.043284,0.458318,0.08633,0.020883,-0.70062,0.707985,5
32464331369,-0.006768,0.009211,0.448764,0.040083,-0.023508,-0.710816,0.701842,6
32464364693,-0.005719,-0.013642,0.443964,0.007955,-0.053939,-0.715779,0.696195,7
32464398016,-0.005314,-0.028283,0.445026,-0.00249,-0.061016,-0.71738,0.694001,8
32464464663,-0.004187,-0.039611,0.448299,0.000981,-0.049943,-0.726444,0.685408,10
32464497987,-0.003573,-0.039968,0.449079,-0.000792,-0.053374,-0.728224,0.683257,11
32464531310,-0.003737,-0.040432,0.448003,-0.005701,-0.064177,-0.725791,0.684891,12
32464564634,-0.004254,-0.041808,0.445872,-0.011761,-0.07638,-0.722203,0.68735,13
32464597957,-0.00638,-0.044535,0.443662,-0.018198,-0.084618,-0.719137,0.689457,14
32464664604,-0.008532,-0.041331,0.435386,-0.023996,-0.084582,-0.713006,0.695624,16
32464697928,-0.009194,-0.017325,0.429368,-0.006007,-0.073342,-0.712062,0.698249,17
32464731251,-0.008959,0.023967,0.427949,0.026595,-0.041761,-0.718463,0.693801,18
32464764575,-0.010033,0.076015,0.437498,0.068411,0.005769,-0.719108,0.691499,19
32464797898,-0.013417,0.126464,0.459582,0.116725,0.052221,-0.709168,0.693347,20
32464831222,-0.016976,0.162097,0.48467,0.157626,0.090586,-0.697774,0.692864,21
32464897869,-0.01926,0.178585,0.51127,0.194156,0.138493,-0.690573,0.682812,23
32464931192,-0.018017,0.162125,0.506389,0.185125,0.134003,-0.694736,0.681992,24
32464964516,-0.016309,0.132697,0.492925,0.163077,0.112128,-0.700964,0.685188,25
32464997839,-0.013536,0.093956,0.478242,0.133832,0.081826,-0.707277,0.689314,26
32465031163,-0.0115,0.054212,0.464518,0.101308,0.046428,-0.714146,0.691069,27
32465097810,-0.010655,-0.000698,0.446119,0.029899,-0.0228,-0.725705,0.686978,29
32465131133,-0.011295,-0.013038,0.442007,0.007191,-0.054599,-0.724054,0.687541,30
32465164457,-0.012162,-0.016812,0.441755,0.000886,-0.067781,-0.722245,0.688307,31
32465197778,-0.01299,-0.016509,0.446501,0.009851,-0.056647,-0.723618,0.687802,32
32465231104,-0.013641,-0.01499,0.450808,0.021622,-0.038031,-0.726842,0.68541,33
32465297751,-0.014973,-0.016337,0.451808,0.020677,-0.039289,-0.726346,0.685894,35
32465331075,-0.016202,-0.021728,0.448619,0.008378,-0.05248,-0.72456,0.687159,36
32465364398,-0.016443,-0.028697,0.443423,-0.00452,-0.059578,-0.727793,0.68319,37
32465397721,-0.013622,-0.028902,0.439205,-0.01123,-0.066285,-0.73521,0.674498,38
32465431045,-0.01024,-0.007856,0.435154,0.001253,-0.058533,-0.743511,0.666156,39
32465497692,-0.009157,0.094094,0.45105,0.082374,0.021448,-0.732362,0.675574,41
32465531015,-0.009963,0.144389,0.470736,0.127109,0.051191,-0.721695,0.678513,42
32465564339,-0.010883,0.176894,0.487637,0.149924,0.072609,-0.708904,0.685351,43
32465597663,-0.009546,0.186806,0.496266,0.156114,0.084542,-0.699348,0.692382,44
32465630986,-0.007341,0.175332,0.49631,0.153692,0.080826,-0.701782,0.690904,45
32465697633,-0.004052,0.109843,0.478452,0.103138,0.037158,-0.715898,0.689544,47
32465730956,-0.00389,0.071299,0.468886,0.064834,0.01165,-0.71704,0.693913,48
32465764280,-0.003165,0.039119,0.461314,0.032153,-0.015947,-0.719605,0.693455,49
32465797603,-0.002274,0.015186,0.458181,0.009682,-0.038818,-0.717566,0.695341,50
32465830927,-0.00171,0.002071,0.456081,-0.004667,-0.051804,-0.714716,0.697478,51
32465897574,-0.000273,-0.001904,0.452594,-0.012015,-0.056387,-0.717399,0.694273,53
32465930897,0.000113,0.000763,0.452097,-0.009136,-0.054726,-0.717261,0.694592,54
32465964221,0.000833,0.003047,0.452142,-0.007846,-0.049678,-0.717551,0.694688,55
32465997544,0.000356,0.00619,0.450945,-0.008068,-0.043912,-0.717294,0.695339,56
32466030868,0.000943,0.006593,0.449941,-0.008423,-0.042525,-0.716817,0.695913,57
32466064191,0.001549,0.006002,0.448382,-0.011239,-0.047302,-0.716177,0.696223,58
