timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
23690825283,0.028118,0.190366,0.293173,0.105795,0.068043,-0.688997,0.713765,0
23690858606,0.028482,0.178942,0.294328,0.107722,0.06039,-0.697213,0.706146,1
23690891930,0.026934,0.148027,0.29081,0.096822,0.059428,-0.701861,0.703196,2
23690958577,0.0246,0.060258,0.275419,0.033115,0.024368,-0.712151,0.700822,4
23690991900,0.02267,0.02606,0.266208,-0.004185,-0.004283,-0.711932,0.702223,5
23691025224,0.020427,0.004356,0.261132,-0.027833,-0.014745,-0.706967,0.706545,6
23691058548,0.016046,-0.006898,0.2605,-0.035871,-0.01805,-0.702049,0.710996,7
23691091871,0.01401,-0.011496,0.25994,-0.039707,-0.023254,-0.7028,0.709898,8
23691158518,0.011276,-0.012287,0.262081,-0.0397,-0.015392,-0.702413,0.710495,10
23691191842,0.009741,-0.011832,0.262943,-0.038028,-0.01245,-0.70221,0.710844,11
23691225165,0.007962,-0.012092,0.262536,-0.039628,-0.013578,-0.700817,0.71211,12
23691258489,0.007705,-0.014704,0.2632,-0.043099,-0.016342,-0.699027,0.713608,13
23691291812,0.00617,-0.018326,0.261625,-0.048964,-0.020332,-0.69748,0.714641,14
23691325136,0.004633,-0.024091,0.258795,-0.058323,-0.027681,-0.696376,0.714767,15
23691391783,0.006548,-0.037349,0.253174,-0.081968,-0.052016,-0.700773,0.706748,17
23691425107,0.010154,-0.031334,0.249008,-0.087199,-0.063164,-0.709048,0.696891,18
23691458430,0.017514,0.000283,0.245724,-0.071331,-0.062848,-0.722016,0.685314,19
23691491754,0.020679,0.054648,0.249539,-0.030596,-0.041381,-0.727398,0.684283,20
23691525078,0.020725,0.117884,0.260735,0.013301,-0.008195,-0.723122,0.690544,21
23691591725,0.019228,0.209427,0.294066,0.090203,0.070356,-0.70328,0.701648,23
23691625048,0.020438,0.218422,0.302475,0.102009,0.069924,-0.709007,0.694272,24
23691658372,0.021629,0.200957,0.304027,0.100161,0.07217,-0.71063,0.692651,25
23691691695,0.020532,0.162981,0.301546,0.093609,0.068124,-0.71229,0.692272,26
23691725019,0.019456,0.112846,0.291413,0.066556,0.03988,-0.721851,0.687685,27
23691791666,0.019599,0.028621,0.265431,-0.012878,-0.033034,-0.731204,0.681237,29
23691824989,0.019366,0.009573,0.25884,-0.031539,-0.046772,-0.727545,0.683737,30
23691858313,0.01892,-0.001062,0.256864,-0.035526,-0.058174,-0.727203,0.683029,31
23691891637,0.017967,-0.001625,0.258721,-0.030839,-0.052639,-0.727384,0.683513,32
23691924960,0.016261,0.000462,0.262385,-0.022783,-0.043003,-0.726188,0.685771,33
23691991607,0.015352,-0.000472,0.268251,-0.016746,-0.033214,-0.724707,0.688052,35
23692024931,0.013699,-0.003967,0.268298,-0.020233,-0.034469,-0.723178,0.689504,36
23692058255,0.013175,-0.011494,0.270042,-0.028012,-0.039984,-0.720857,0.691363,37
