timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
78078297724,-0.043768,0.164129,0.381091,0.053678,0.000644,-0.622361,0.780887,0
78078331048,-0.043398,0.153356,0.380785,0.056265,-0.000441,-0.624108,0.77931,1
78078364371,-0.038645,0.133921,0.377375,0.050665,-0.001134,-0.635865,0.770135,2
78078431019,-0.025268,0.079749,0.366022,0.022662,-0.017842,-0.667317,0.744215,4
78078464342,-0.018941,0.051402,0.361245,0.010851,-0.030111,-0.683914,0.72886,5
78078497666,-0.012719,0.025088,0.358134,-0.001058,-0.036675,-0.703102,0.710142,6
78078530989,-0.007346,0.003956,0.354677,-0.007929,-0.042475,-0.717999,0.694701,7
78078564313,-0.0034,-0.011982,0.353661,-0.010918,-0.041466,-0.730901,0.681135,8
78078630960,0.001029,-0.025144,0.347697,-0.028062,-0.045372,-0.744769,0.665186,10
78078664284,0.002162,-0.022116,0.343912,-0.035519,-0.042979,-0.746475,0.663073,11
78078697607,0.0027,-0.011381,0.341506,-0.036241,-0.039955,-0.744269,0.665698,12
78078730931,0.003186,0.012076,0.341018,-0.028046,-0.033651,-0.737071,0.674394,13
78078764255,0.002187,0.048733,0.343581,-0.013255,-0.017676,-0.724164,0.689274,14
78078830902,-0.008752,0.132449,0.360665,0.028407,0.018685,-0.686271,0.726551,16
78078864226,-0.017836,0.163276,0.370045,0.043431,0.028504,-0.664822,0.745193,17
78078897549,-0.026905,0.180893,0.377211,0.057306,0.030683,-0.646233,0.760367,18
78078930873,-0.032346,0.18419,0.38082,0.063621,0.029718,-0.637238,0.767462,19
78078964196,-0.034028,0.176022,0.380285,0.065265,0.027277,-0.635766,0.768634,20
78079030844,-0.027853,0.138484,0.366076,0.052073,0.010504,-0.650355,0.757771,22
78079064167,-0.022034,0.114047,0.355753,0.031716,-0.003383,-0.666509,0.744814,23
78079097491,-0.01846,0.089403,0.346745,0.013407,-0.020389,-0.676332,0.736193,24
78079130815,-0.016342,0.065254,0.341832,-0.001612,-0.026399,-0.68607,0.727055,25
78079164138,-0.013998,0.04247,0.339219,-0.01106,-0.024302,-0.698136,0.715467,26
78079230785,-0.011441,0.004927,0.332892,-0.027371,-0.029812,-0.718449,0.694401,28
78079264109,-0.009623,-0.006306,0.329909,-0.034129,-0.030547,-0.727033,0.685073,29
78079297433,-0.007145,-0.009124,0.326127,-0.04371,-0.031474,-0.732472,0.678663,30
78079330756,-0.005213,0.000464,0.323653,-0.048806,-0.028116,-0.733035,0.677855,31
78079364080,-0.00441,0.023346,0.32312,-0.044855,-0.018314,-0.725152,0.686883,32
78079430727,-0.008663,0.094688,0.337751,-0.000778,0.012608,-0.691396,0.722366,34
78079464051,-0.013969,0.128191,0.348205,0.02192,0.027265,-0.672094,0.739639,35
78079497374,-0.019626,0.151172,0.35629,0.036764,0.037033,-0.655762,0.753162,36
78079530698,-0.024184,0.159729,0.361692,0.044633,0.043532,-0.644647,0.761934,37
78079564022,-0.02535,0.153825,0.362676,0.046384,0.042945,-0.643368,0.762943,38
78079630669,-0.017857,0.114297,0.355711,0.04155,0.031028,-0.66019,0.749306,40
78079663992,-0.011102,0.089756,0.349461,0.028502,0.028835,-0.675518,0.736228,41
78079697316,-0.004524,0.066669,0.343364,0.015265,0.024133,-0.690209,0.723047,42
78079730640,0.001616,0.047832,0.338703,0.007066,0.017519,-0.700843,0.713065,43
78079763963,0.006088,0.033204,0.335827,0.000965,0.016603,-0.708628,0.705386,44
78079830610,0.01086,0.014985,0.335003,-0.0032,0.016918,-0.713849,0.700087,46
78079863934,0.012578,0.01065,0.334524,-0.005647,0.013629,-0.715421,0.698538,47
78079897257,0.01393,0.008918,0.333608,-0.005578,0.008529,-0.716837,0.697166,48
78079930581,0.013958,0.008021,0.332925,-0.005246,0.004019,-0.718486,0.69551,49
78079963905,0.014344,0.007597,0.332355,-0.005867,0.002959,-0.720179,0.693757,50
78080030552,0.013343,0.008676,0.331494,-0.013883,0.012656,-0.718576,0.695194,52
78080063875,0.013341,0.009386,0.330419,-0.018431,0.013229,-0.717318,0.696376,53
78080097199,0.013894,0.009833,0.328708,-0.021939,0.006281,-0.716912,0.69679,54
78080130523,0.013775,0.012067,0.326319,-0.024972,0.002386,-0.715594,0.698066,55
78080197170,0.014749,0.012677,0.324668,-0.026431,0.005177,-0.71374,0.699893,57
78080230494,0.014693,0.012336,0.325887,-0.027248,0.00696,-0.714352,0.699221,58
78080263817,0.015572,0.012108,0.326649,-0.027631,0.009821,-0.714675,0.698842,59
78080297141,0.017272,0.011684,0.326778,-0.028003,0.010497,-0.715648,0.697821,60
78080330464,0.018421,0.01203,0.327409,-0.027088,0.005711,-0.717127,0.696393,61
78080397112,0.020468,0.012411,0.32856,-0.018573,-0.000416,-0.718996,0.694766,63
78080430435,0.020463,0.011928,0.330757,-0.014029,-0.002973,-0.718964,0.694899,64
78080463759,0.020649,0.012109,0.331882,-0.011819,-0.005077,-0.71851,0.695398,65
78080497083,0.020822,0.012524,0.332108,-0.010765,-0.00655,-0.717173,0.696781,66
78080530406,0.020199,0.01187,0.333896,-0.009454,-0.00818,-0.71692,0.697043,67
78080597053,0.022393,0.010151,0.334442,-0.009964,-0.010921,-0.719376,0.694464,69
78080630377,0.022667,0.008976,0.335114,-0.012566,-0.009526,-0.721344,0.692397,70
78080663700,0.023569,0.007949,0.335427,-0.014247,-0.010728,-0.722816,0.690811,71
78080697024,0.024436,0.007233,0.335628,-0.014466,-0.012647,-0.723106,0.69047,72
78080730348,0.023341,0.00653,0.336969,-0.014268,-0.014649,-0.722854,0.690698,73
78080796995,0.023311,0.005648,0.337855,-0.014615,-0.02036,-0.722489,0.690928,75
78080830317,0.023556,0.0063,0.339222,-0.014233,-0.023821,-0.722663,0.690644,76
78080863642,0.023833,0.006724,0.340008,-0.013273,-0.026796,-0.722669,0.690547,77
78080896966,0.024002,0.006919,0.340495,-0.011741,-0.030136,-0.722367,0.690753,78
78080930290,0.022517,0.006763,0.342561,-0.009978,-0.031687,-0.721944,0.691154,79
78080996937,0.022081,0.007553,0.344166,-0.004986,-0.039108,-0.721244,0.691558,81
78081030260,0.021768,0.00794,0.344823,-0.003509,-0.040042,-0.720277,0.692521,82
78081063584,0.021255,0.008844,0.345119,-0.002884,-0.042087,-0.718799,0.693937,83
78081096907,0.020674,0.010081,0.345267,-0.00188,-0.045819,-0.717233,0.695323,84
78081130231,0.019234,0.011043,0.345774,-0.001176,-0.050666,-0.715787,0.696478,85
78081196879,0.017245,0.013048,0.347401,0.002356,-0.057601,-0.713294,0.69849,87
78081230202,0.016274,0.01376,0.349242,0.004909,-0.059235,-0.712457,0.699195,88
78081263526,0.015585,0.014262,0.350747,0.006877,-0.061539,-0.711832,0.699615,89
78081296849,0.01521,0.014446,0.351831,0.007629,-0.063516,-0.711644,0.699622,90
78081330173,0.014805,0.013263,0.353716,0.008663,-0.06202,-0.712815,0.698551,91
78081396820,0.014615,0.011057,0.355794,0.013111,-0.06023,-0.715353,0.696039,93
78081430143,0.014,0.010453,0.357512,0.014847,-0.059922,-0.715676,0.695699,94
78081463467,0.013504,0.010322,0.358346,0.015284,-0.060729,-0.715853,0.695437,95
78081496791,0.013188,0.01045,0.358683,0.01541,-0.062536,-0.716162,0.694956,96
78081530114,0.01234,0.010631,0.360168,0.01603,-0.0639,-0.71621,0.694768,97
78081596762,0.01133,0.010736,0.362741,0.019663,-0.062898,-0.715979,0.695005,99
78081630085,0.010881,0.010246,0.36294,0.021561,-0.064312,-0.715759,0.695045,100
78081663409,0.010614,0.009987,0.363283,0.022689,-0.065227,-0.71547,0.695222,101
78081696732,0.010619,0.009792,0.363734,0.023704,-0.066314,-0.715428,0.695129,102
78081730056,0.010766,0.009663,0.363563,0.024381,-0.066747,-0.715665,0.694819,103
78081796703,0.010832,0.008752,0.363832,0.025336,-0.066667,-0.716613,0.693816,105
78081830027,0.009883,0.008277,0.364249,0.02658,-0.065912,-0.716987,0.693454,106
78081863350,0.00935,0.007786,0.364378,0.027369,-0.064407,-0.717223,0.693321,107
78081896674,0.009162,0.007434,0.364029,0.027129,-0.063524,-0.717294,0.693338,108
78081929998,0.008279,0.007528,0.364204,0.026267,-0.06374,-0.717061,0.693593,109
78081996645,0.007447,0.00771,0.363187,0.024514,-0.064706,-0.716217,0.694439,111
78082029969,0.006213,0.007629,0.362926,0.024261,-0.065141,-0.715809,0.694828,112
78082063292,0.005398,0.007549,0.362753,0.024762,-0.065103,-0.715541,0.695089,113
78082096616,0.00499,0.007379,0.362572,0.025407,-0.064653,-0.715617,0.69503,114
78082129940,0.004462,0.006912,0.363329,0.02577,-0.063731,-0.715742,0.694974,115
78082196586,0.004222,0.006357,0.362896,0.024284,-0.063763,-0.715892,0.694869,117
78082229910,0.00341,0.006062,0.363021,0.023121,-0.064905,-0.715997,0.694695,118
78082263234,0.003275,0.005671,0.363077,0.022527,-0.06591,-0.716296,0.694312,119
78082296558,0.003465,0.005264,0.363272,0.022974,-0.066293,-0.716624,0.693922,120
78082329881,0.002384,0.005176,0.364137,0.023989,-0.066305,-0.716709,0.693799,121
78082396528,0.001848,0.00526,0.365087,0.026406,-0.066341,-0.71597,0.69447,123
78082429852,0.001179,0.005045,0.365541,0.026701,-0.067124,-0.715446,0.694924,124
78082463176,0.00118,0.005054,0.365728,0.026913,-0.069701,-0.714837,0.695288,125
78082496499,0.001666,0.00512,0.365968,0.027381,-0.071807,-0.714232,0.695677,126
78082529823,0.001681,0.005134,0.367008,0.028226,-0.074204,-0.713797,0.695838,127
78082596470,0.002903,0.004479,0.368595,0.031194,-0.079132,-0.713447,0.695528,129
78082629794,0.002707,0.003699,0.36982,0.032283,-0.081465,-0.713547,0.695106,130
78082663117,0.003087,0.003028,0.370624,0.033616,-0.084248,-0.714002,0.694243,131
78082696441,0.003744,0.002511,0.371252,0.035536,-0.086001,-0.714383,0.69354,132
78082729764,0.003717,0.001892,0.37215,0.037727,-0.087233,-0.7147,0.692943,133
78082796411,0.004321,0.001343,0.372785,0.041078,-0.088882,-0.715052,0.69218,135
78082829735,0.004653,0.000897,0.372996,0.04243,-0.089836,-0.714985,0.692044,136
78082863059,0.004947,0.000472,0.373039,0.044274,-0.090509,-0.714974,0.691852,137
78082896382,0.005269,1.9e-05,0.372819,0.045724,-0.090499,-0.715023,0.691709,138
78082929706,0.005629,-0.000919,0.372824,0.046617,-0.091053,-0.71511,0.691486,139
78082996353,0.006945,-0.002099,0.371539,0.046171,-0.095235,-0.715341,0.690714,141
78083029677,0.006667,-0.00319,0.371549,0.046622,-0.098005,-0.715227,0.690414,142
78083063000,0.006715,-0.003855,0.371583,0.047876,-0.099957,-0.715277,0.689996,143
78083096324,0.006955,-0.004273,0.371509,0.049398,-0.101069,-0.715424,0.689575,144
78083129648,0.006682,-0.004964,0.371854,0.051562,-0.102209,-0.715615,0.68905,145
78083196295,0.006818,-0.006266,0.371395,0.054739,-0.104471,-0.716272,0.687781,147
