frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.05141,0.169617,0.654195,0.089222,0.012711,-0.600652,0.794415,1.0974375097990037,12.06412614493966,-0.7288157943308353,0.50877234629523,9.774883573383091,-0.6026597135214135,0.3511451184749603,-0.3307057023048401,-0.3046691417694092,-0.3026909028632544,-0.2874960039739278,0.6693826575557487,0.61453330973979,-0.0123102040961384,0.00611421931535,-0.0229166373610496,0.0010425597429275,0.0023532062768936,0.0096741914749145,-0.0124731753021478,0.0032234340906143,-0.010613748472929,0.0075239916332066,-0.0248434224206954,0.037135844695568
1,-0.051678,0.165754,0.653874,0.087809,0.011334,-0.601762,0.793753,4.126712266227603,11.95828676637411,-4.1887656945586205,0.1837486024751327,9.789594235780834,-0.548162582321465,-0.7027391791343689,-0.8120640516281128,-1.2924076318740845,-0.284825674071166,-0.2887556066273045,0.6667598622655732,0.6252406925503283,-0.0073029287159442,0.0063497493974864,-0.0156366191804409,-0.0035154074430465,-0.0039025545120239,0.0038877129554748,-0.011986874975264,0.0068205306306481,-0.0176455468058586,0.0094212340191006,-0.0197946145985275,0.0486792752340436
2,-0.045773,0.151004,0.651145,0.079933,0.011131,-0.609388,0.788754,5.010305365294218,4.418631265765428,-3.1833214088022705,-0.5309037698108703,9.792001881444454,-0.0721945314906304,-1.6400930881500244,-0.5724388360977173,-2.206268548965454,-0.2589599741212343,-0.2962234054713974,0.6449283609825138,0.6551784440970322,-0.0004319730214774,0.0041138124652206,-0.0126477545127272,0.0033821538090705,-0.0010321289300918,-0.0020819902420043,-0.0201706700026989,0.0058617074973881,-0.0240033913999795,0.0092755733057856,-0.0222137315042316,0.0432002593010664
3,-0.026397,0.095118,0.641319,0.055524,-0.007303,-0.64574,0.761501,3.2018691651448608,-4.014236810648441,-0.187854850483872,-1.4291123272724449,9.68460358299911,0.5800550830034539,-1.5986135005950928,0.360638290643692,-2.328364610671997,-0.236501031610615,-0.3152065584129985,0.6091553550086368,0.6882163956887223,0.00135341018904,0.0014482013648375,-0.015404125675559,0.0014202669262886,-0.0040920078754425,0.003477931022644,-0.0214065909385681,0.0052169621922075,-0.014744564667344,0.0042557665146887,-0.0229527133032679,0.0287397722721099
4,-0.013941,0.062084,0.637688,0.041812,-0.023275,-0.669195,0.741545,1.0747612753495572,-10.57943236182928,-0.0626975714534521,-2.240887121449411,9.485281618615984,1.0854708123471588,-1.0551543235778809,0.12215606123209,-1.7674589157104492,-0.2203330531317116,-0.3383364107318695,0.5746171446013391,0.7118967651263558,0.0033281440846621,0.011263015680015,-0.0103917233645915,-0.0009720027446746,-0.0028495490550994,0.0061699151992797,-0.0206544008105993,0.0098106935620307,-0.0178694186896085,0.0066166585311293,-0.0214819831635802,0.0128299632176756
5,-0.004915,0.031854,0.634525,0.031507,-0.034366,-0.690179,0.722135,-0.3991626919433474,-14.01477272145748,0.2888695488393306,-2.7010291827514767,9.335904127097129,1.3098583174690603,-0.1858892440795898,-0.1827991753816604,-0.6763845086097717,-0.2058329370093884,-0.3488173456976742,0.5581597157073764,0.7241664600207685,-0.0017422481905668,-0.0008218239527195,-0.0102660898119211,0.0017169341444969,0.0020832270383834,0.0026797652244567,-0.0195995774120092,0.0130204064771533,-0.0227086754143238,0.0069578881375491,-0.0124986123714596,-0.0022279051825404
6,0.001603,0.007426,0.632086,0.020324,-0.038204,-0.70652,0.706369,-0.3226809252873063,-12.773698309618236,1.00042616533339,-2.768831968389452,9.314226548296212,1.3225481415636835,0.1933970302343368,0.0880926623940467,0.2081330120563507,-0.2018784340789094,-0.3495086714425921,0.5571467516166558,0.7257246479036548,-0.0228081196546554,-7.358216680586338e-05,-0.0169867761433124,-0.000184528529644,-0.0050892978906631,0.0066863298416137,-0.0238082595169544,0.0140194380655884,-0.0305769245713949,-0.000287246890366,-0.0324916721515357,0.0311512173280119
7,0.007593,-0.008885,0.633101,0.012875,-0.045486,-0.719186,0.693208,-1.0103034162253142,-9.34962636297941,0.2262595826040953,-2.5398484407141804,9.403196040603518,1.1399315935920924,0.4673711955547333,0.3334664702415466,0.9040926694869996,-0.2129576854187109,-0.349078451878178,0.5657065467986526,0.7160790979621469,0.0210485514253377,0.0145488772541284,-0.0080145858228206,-0.0035824179649353,0.0064799338579177,4.8279762268066406e-05,-0.0290775820612907,0.0045223971828818,-0.0135574007093906,-0.0028921936172991,-0.0389182711329311,0.0244748083040118
8,0.010669,-0.028523,0.63339,0.005811,-0.051276,-0.731931,0.679422,0.0815269212163984,-5.121597164046764,0.7089718606978654,-2.081433495465666,9.54907458409071,0.8082035115614533,1.1901366710662842,0.0854620188474655,1.5410735607147217,-0.2264601124558118,-0.3409724862354219,0.5852613530540413,0.699944811674774,-0.0115437461063265,0.0006638471386395,-0.024691566824913,0.0016634762287139,-0.0063484460115432,0.0056091547012329,-0.0281816832721233,0.0169303007423877,0.0166729023814201,-0.011438250541687,-0.0616355682451277,0.0317044672966003
9,0.010698,-0.032706,0.633696,0.004268,-0.051476,-0.734932,0.676171,0.894350639924407,0.0556365470260381,-0.7894844903051853,-1.427808551197499,9.697143915620446,0.3116915849676355,1.3116343021392822,-0.0862970352172851,1.7934633493423462,-0.2423716758132959,-0.3276913461282955,0.6137805251825108,0.6761270730958178,0.0197726301848888,0.0170135255903005,-0.022192457690835,0.0020028352737426,0.007650151848793,0.0027932524681091,-0.0298132952302694,0.015520223416388,-0.0329448227465152,-0.0217450410127639,-0.0401478129278868,0.0346679932773113
