timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
79466408368,0.013061,0.176793,0.357469,0.07853,-0.017963,-0.592878,0.801253,0
79466441692,0.014113,0.167776,0.357272,0.078659,-0.019345,-0.596748,0.79833,1
79466475015,0.018122,0.152715,0.355008,0.074234,-0.022073,-0.604833,0.792578,2
79466541662,0.035077,0.109684,0.344934,0.053488,-0.033687,-0.634012,0.770736,4
79466574985,0.04375,0.084886,0.339421,0.038896,-0.045288,-0.652176,0.755713,5
79466608309,0.05136,0.062516,0.333936,0.025474,-0.053515,-0.669957,0.74003,6
79466641633,0.056778,0.041929,0.32939,0.014392,-0.062015,-0.685685,0.725109,7
79466674956,0.060392,0.024507,0.326661,0.004949,-0.063041,-0.698249,0.713057,8
79466741603,0.064413,0.002387,0.323888,-0.00592,-0.061123,-0.71712,0.694239,10
79466774927,0.065645,-0.004473,0.324189,-0.008831,-0.056481,-0.723589,0.68786,11
79466808250,0.066215,-0.008773,0.325328,-0.012264,-0.053869,-0.728343,0.682982,12
79466841574,0.06643,-0.009539,0.324702,-0.016657,-0.053169,-0.731193,0.679892,13
79466874897,0.065881,-0.005844,0.323137,-0.020693,-0.052017,-0.730195,0.680942,14
79466941545,0.063328,0.023417,0.319074,-0.028913,-0.038535,-0.715737,0.696706,16
79466974868,0.059417,0.056256,0.318257,-0.025449,-0.030307,-0.696482,0.716482,17
79467008192,0.051078,0.094149,0.320207,-0.014237,-0.027001,-0.672731,0.739258,18
79467041515,0.039422,0.129197,0.324904,-0.002707,-0.016364,-0.647639,0.761766,19
79467074839,0.02798,0.154153,0.330914,0.010608,-0.011069,-0.627363,0.778576,20
79467141486,0.015347,0.166834,0.33973,0.038579,-0.015958,-0.607599,0.793146,22
79467174809,0.015111,0.156859,0.342273,0.045332,-0.013211,-0.608653,0.792031,23
79467208133,0.019946,0.140901,0.34439,0.046423,-0.006847,-0.615578,0.786678,24
79467241456,0.02774,0.119797,0.343869,0.043302,-0.007909,-0.628817,0.776306,25
79467308103,0.046909,0.071088,0.338924,0.032885,-0.025785,-0.668525,0.742515,27
79467341427,0.054935,0.047937,0.33783,0.027463,-0.030669,-0.687074,0.72542,28
79467374750,0.061381,0.028242,0.335993,0.020821,-0.038325,-0.702525,0.710322,29
79467408074,0.065128,0.013283,0.334782,0.016799,-0.045292,-0.712129,0.700385,30
79467441397,0.069043,0.002229,0.332104,0.01009,-0.053657,-0.719134,0.692723,31
79467508044,0.075229,-0.00967,0.329106,0.003183,-0.064602,-0.729566,0.680845,33
79467541367,0.076929,-0.010774,0.328207,0.000929,-0.062808,-0.732128,0.678265,34
79467574692,0.077826,-0.006778,0.327909,0.001706,-0.057807,-0.731147,0.679764,35
79467608015,0.078531,0.005535,0.328707,0.007978,-0.050979,-0.724919,0.686899,36
79467641338,0.077125,0.029346,0.330311,0.021033,-0.047986,-0.710952,0.701286,37
79467707986,0.060075,0.098579,0.335576,0.059111,-0.059683,-0.653821,0.751972,39
79467741309,0.048867,0.130233,0.33883,0.07298,-0.06308,-0.628177,0.772068,40
79467774633,0.038731,0.152936,0.341834,0.082773,-0.067456,-0.608182,0.786583,41
79467807956,0.031768,0.164182,0.343358,0.089397,-0.070999,-0.593977,0.796341,42
79467841280,0.028252,0.162105,0.34352,0.088778,-0.069794,-0.588986,0.800215,43
79467907927,0.033156,0.12885,0.34094,0.076333,-0.057448,-0.599833,0.794401,45
79467941250,0.039038,0.104906,0.338642,0.067887,-0.053625,-0.614249,0.784356,46
