frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.046591,0.187039,0.393354,0.06104,-0.015795,-0.611146,0.789003,1.9711923748098312,11.986575287747382,-2.0265911675572394,0.0224292671011877,9.785397368612886,-0.6448888262353837,-0.4370836019515991,-0.0116105806082487,-0.7282046675682068,-0.2488669659206399,-0.2642488522390117,0.6804797735091375,0.636541505673022,0.0174191948026418,0.0184008199721574,-0.0222290083765983,-0.0050327777862548,0.0016181468963623,0.0189789533615112,0.0135421128943562,0.020577447488904,0.0256967513144016,-0.0316456072032451,-0.0807044989176094,0.0601551934942603
1,-0.046835,0.177504,0.390498,0.057761,-0.015955,-0.611712,0.788808,3.945600789056718,7.253174308210611,-3.262335908806324,-0.4204379735536873,9.7912963635236,-0.3523094630926847,-1.0161234140396118,-0.3168791830539703,-1.4913907051086426,-0.2378544674185087,-0.2753386128457988,0.6649446829058429,0.652274786271278,-0.0090544894337654,0.0195157248526811,-0.0057608196511864,0.0061473846435546,-0.0058737844228744,0.0098973512649536,0.0487461984157562,0.0314047783613204,-0.0327870018362998,-0.0359780564904212,-0.058862377204746,-0.016119067890942
2,-0.041876,0.159685,0.385822,0.05262,-0.023006,-0.620466,0.782128,2.8260394179940223,-1.4355471826255322,-0.943864904677868,-1.0229066580150277,9.752855281448364,0.0767145616317633,-0.9619613885879515,-0.6113646626472473,-1.519679307937622,-0.2157628077941823,-0.2829073504393936,0.6450209894970665,0.6762824081853037,-0.0019100273493677,0.0135524282231926,0.0020325884688645,-0.0206168144941329,-0.0040228217840194,-0.0032968521118164,0.0321691483259201,0.0091941617429256,-0.0352484235137701,-0.0005907714366912,-0.047637291900441,0.183561208410561
3,-0.02696,0.11355,0.37526,0.02816,-0.038089,-0.649337,0.759024,2.083360079614073,-8.854856640410423,-0.4614753191998228,-1.6320532128050922,9.6615541313231,0.401471078483574,-0.7623903751373291,0.2592155635356903,-1.6464954614639282,-0.1966784817220007,-0.2971204695480869,0.6254998789779634,0.6941087723912731,0.0344248116016387,0.0146620608866214,-0.0006225833203643,-0.0201168656349182,0.0094210505485534,-0.0029936432838439,-0.003651987761259,-0.0155196227133274,-0.0517284336715936,0.0549093820154666,-0.0395575919497758,0.1149868538782
4,-0.020472,0.092242,0.371582,0.018099,-0.034581,-0.662755,0.747819,0.2245050670869648,-13.718116172003745,0.6373515625983476,-2.215882444052398,9.532752979364991,0.621998583709076,-0.5809089541435242,0.5935982465744019,-1.2576054334640503,-0.1861958734165151,-0.3200017966566829,0.60488490511209,0.7050136517910466,-0.0135389855131506,0.0039807609282433,0.0011369672138243,-0.0010060109198093,-0.0028373599052429,-0.0026741027832031,-0.0500926189124584,-0.0396890565752983,0.0139998837798833,0.0782251060009002,-0.08253807102032,0.1866501143366098
5,-0.016417,0.071581,0.370056,0.011953,-0.030491,-0.674491,0.737557,-1.6151654986292123,-13.31908762783408,1.813912877994776,-2.5426643749177456,9.44496948197186,0.7055356757041067,-0.0457691922783851,0.2713035643100738,-0.2909942269325256,-0.1821052609764266,-0.3351310101838556,0.593055561858909,0.709090886484332,0.0164087917655706,-0.0123258279636502,-0.0252283941954374,-0.0034139528870582,0.0229664593935012,0.0030930638313293,-0.0753788501024246,-0.0202363245189189,0.0086842417150735,0.0695768818259239,-0.0605015227138996,0.1035714336335659
6,-0.01423,0.053102,0.370604,0.010058,-0.025981,-0.683292,0.729614,-1.9152610826209189,-7.709307133871317,1.3151567161381243,-2.476303604781628,9.46934462929368,0.6081353319209069,0.4815098345279693,0.0030813142657279,0.5356780290603638,-0.1843237172351617,-0.3352185443965443,0.5971785784300624,0.7050043131639474,-0.048429325222969,-0.0243557523936033,-0.0104103665798902,0.002815768122673,-0.0148730278015136,0.01250821352005,-0.0776851847767829,-0.0180841479450464,-0.0147656074553728,0.0296689011156559,-0.023524229580909,0.0204471602231264
7,-0.012516,0.038588,0.370776,0.006619,-0.02384,-0.691683,0.721777,-1.0710932543613016,-3.448478073620796,0.6879536225885152,-2.1491079785488543,9.56222165043354,0.3400567517736926,0.9901102185249328,-0.0356855541467666,1.0786848068237305,-0.1904284873433389,-0.3263651558919763,0.6133088259620162,0.6935957471389843,-0.0189907439053058,0.0028716609813272,-0.0124161262065172,0.0023195669054985,0.000214084982872,0.0130501985549926,-0.0637934431433677,-0.0259373188018798,-0.0052332244783639,-0.0048495791852474,-0.024542832038924,-0.0104193949446082
8,-0.005637,0.020917,0.370188,0.002678,-0.029081,-0.709271,0.704331,0.8801707234025001,-0.1674935784459114,-1.7301263412833212,-1.7369959347918629,9.651526073783636,-0.0360467776670935,0.598273515701294,0.629217267036438,1.0940629243850708,-0.2041271353685446,-0.3217537091273124,0.6311199765700592,0.6756436726614377,-0.0111615825444459,0.0237690601497888,-0.0021921838633716,-0.0017893835902214,-0.0131699293851852,0.0155770778656005,-0.0601236969232559,-6.85080885887e-05,0.0485211620628833,-0.0202740058302879,-0.0472560374978929,0.0105056119233369
9,-0.003297,0.016403,0.368891,-0.000234,-0.03488,-0.715538,0.697702,1.7358336130142211,1.1037468390762806,-1.1991758827865122,-1.3300165777482091,9.714004449528456,-0.1988877559506334,0.180580660700798,0.617298424243927,1.0067793130874634,-0.2236177193829991,-0.3179003463763403,0.6395934826084291,0.6632154064326009,-0.0128998281434178,0.0372621268033981,0.0060632163658738,-0.0027504973113536,-0.0059283226728439,0.0040003657341003,-0.0573646537959575,0.0012031301157549,-0.0354974298387765,-0.0110549172386527,-0.0166970139093697,0.0087929627865552
