timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
79003738544,-0.027928,0.171271,0.375379,0.091038,-0.052431,-0.611413,0.784307,0
79003771867,-0.033377,0.16882,0.376583,0.09141,-0.04412,-0.606748,0.788387,1
79003805191,-0.034164,0.154527,0.37673,0.091457,-0.03782,-0.609232,0.786792,2
79003871839,-0.019926,0.103083,0.372699,0.075133,-0.037225,-0.64133,0.76267,4
79003905162,-0.011724,0.074544,0.369178,0.063724,-0.040716,-0.660629,0.746895,5
79003938486,-0.004085,0.048722,0.367259,0.053589,-0.044289,-0.679221,0.730634,6
79003971809,0.00223,0.027657,0.365138,0.04477,-0.049271,-0.696,0.714949,7
79004005133,0.006815,0.01199,0.363441,0.040006,-0.053621,-0.708882,0.702147,8
79004071780,0.011527,-0.003161,0.359707,0.034688,-0.058915,-0.720074,0.690521,10
79004105103,0.012068,-0.006547,0.358336,0.032272,-0.058259,-0.722346,0.688317,11
79004138427,0.012704,-0.007384,0.357772,0.028,-0.060286,-0.724767,0.68578,12
79004171750,0.013234,-0.007436,0.355731,0.024587,-0.060908,-0.726644,0.683867,13
79004205074,0.013317,-0.005065,0.353532,0.021484,-0.058845,-0.727243,0.683516,14
79004271721,0.01197,0.017888,0.349768,0.018094,-0.05273,-0.718026,0.693781,16
79004305045,0.008693,0.046107,0.348936,0.019338,-0.053147,-0.704704,0.707244,17
79004338368,0.000946,0.082925,0.352703,0.03055,-0.043995,-0.68334,0.728133,18
79004371692,-0.0123,0.120172,0.358774,0.049502,-0.030722,-0.656172,0.752359,19
79004405015,-0.028218,0.149999,0.364151,0.062917,-0.020271,-0.628118,0.775306,20
79004471662,-0.050298,0.17081,0.369521,0.076745,-0.016234,-0.591846,0.802225,22
79004504986,-0.052215,0.161254,0.368835,0.079208,-0.018011,-0.589304,0.803817,23
79004538309,-0.044714,0.142329,0.368675,0.079534,-0.022986,-0.601297,0.794725,24
79004571624,-0.033231,0.11522,0.365126,0.074598,-0.03275,-0.624182,0.77702,25
79004638280,-0.009281,0.055542,0.35784,0.051215,-0.045287,-0.677297,0.732526,27
79004671603,-0.000322,0.030916,0.355424,0.044567,-0.049004,-0.697473,0.713543,28
79004704927,0.006305,0.012457,0.353279,0.036762,-0.052842,-0.712573,0.698639,29
79004738250,0.01055,0.001916,0.350785,0.031001,-0.053204,-0.722684,0.688431,30
79004771574,0.013792,-0.004903,0.349773,0.028108,-0.053628,-0.728579,0.68228,31
79004838221,0.01836,-0.009226,0.34829,0.026961,-0.05044,-0.73284,0.677993,33
79004871545,0.018906,-0.008908,0.347682,0.027043,-0.047506,-0.732428,0.678647,34
79004904868,0.019272,-0.007615,0.346481,0.025823,-0.044924,-0.732655,0.678625,35
79004938192,0.021251,-0.003552,0.344313,0.024591,-0.045459,-0.732679,0.678609,36
79004971515,0.022145,0.007253,0.341465,0.023193,-0.047051,-0.728889,0.682619,37
79005038162,0.01936,0.056483,0.337341,0.029966,-0.062949,-0.700694,0.710048,39
79005071486,0.012722,0.089161,0.338764,0.040283,-0.061846,-0.677427,0.731878,40
79005104809,0.003885,0.119492,0.342122,0.052553,-0.053485,-0.65454,0.7523,41
79005138133,-0.003565,0.143095,0.345794,0.062061,-0.044418,-0.634637,0.769032,42
79005171456,-0.010198,0.156797,0.348604,0.067443,-0.037854,-0.620499,0.780384,43
79005238103,-0.011464,0.146911,0.351899,0.065209,-0.033916,-0.618724,0.782163,45
79005271427,-0.004661,0.123989,0.350234,0.057617,-0.0314,-0.632013,0.772175,46
79005304751,0.005767,0.094174,0.346682,0.047707,-0.036531,-0.654694,0.753502,47
79005338074,0.01652,0.064366,0.342737,0.034929,-0.041052,-0.677647,0.733409,48
79005371398,0.024425,0.038384,0.339415,0.02309,-0.046085,-0.695597,0.716581,49
79005438045,0.031473,0.005353,0.33731,0.009343,-0.057798,-0.717259,0.694343,51
79005471368,0.032519,-0.00216,0.338144,0.008582,-0.05789,-0.720835,0.690632,52
79005504692,0.033225,-0.005836,0.339424,0.008708,-0.054782,-0.723795,0.687781,53
79005538015,0.033033,-0.006893,0.340956,0.009938,-0.052205,-0.725198,0.686486,54
79005571339,0.032808,-0.007329,0.342968,0.012937,-0.048686,-0.725379,0.686504,55
79005637986,0.032623,-0.008679,0.347106,0.014962,-0.036193,-0.725429,0.687182,57
79005671309,0.032503,-0.009675,0.348478,0.014186,-0.030725,-0.726179,0.686672,58
79005704633,0.032332,-0.010552,0.349795,0.013124,-0.024214,-0.726799,0.686297,59
