timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
43595246005,0.025061,0.194413,0.63584,0.095619,0.081846,-0.697781,0.705166,0
43595279329,0.023099,0.185267,0.639558,0.097761,0.089712,-0.696401,0.70528,1
43595312652,0.020283,0.161711,0.639281,0.094466,0.085578,-0.695144,0.70748,2
43595379300,0.017962,0.08829,0.631915,0.060596,0.051743,-0.697201,0.712434,4
43595412623,0.019663,0.050685,0.625416,0.035437,0.028988,-0.703001,0.709713,5
43595445947,0.020828,0.021795,0.619914,0.006922,0.015536,-0.706012,0.707996,6
43595479270,0.019929,0.002941,0.615054,-0.014926,-0.001879,-0.703862,0.710177,7
43595545918,0.018624,-0.012779,0.606039,-0.03681,-0.043043,-0.69536,0.716427,9
43595579241,0.018293,-0.013415,0.604486,-0.037559,-0.043577,-0.69394,0.717731,10
43595612565,0.01848,-0.01268,0.604159,-0.035649,-0.036272,-0.695301,0.716917,11
43595645888,0.021082,-0.009985,0.603431,-0.034612,-0.031751,-0.696207,0.716302,12
43595679212,0.021604,-0.010665,0.602491,-0.035154,-0.032721,-0.696531,0.715918,13
43595745859,0.024662,-0.014414,0.600556,-0.039813,-0.037041,-0.697131,0.714879,15
43595779183,0.025702,-0.01424,0.598385,-0.04178,-0.040037,-0.697863,0.71389,16
43595812507,0.0269,-0.004068,0.596884,-0.032857,-0.039068,-0.698772,0.713521,17
43595845830,0.031876,0.025311,0.601961,-0.003881,-0.012774,-0.70336,0.710708,18
43595912477,0.037673,0.119243,0.614143,0.043865,0.062846,-0.707055,0.702993,20
43595945801,0.039274,0.164968,0.625041,0.054536,0.078902,-0.698415,0.709237,21
43595979125,0.03914,0.194882,0.635028,0.069392,0.087623,-0.690876,0.714281,22
43596012448,0.03791,0.205919,0.643746,0.08855,0.094391,-0.686851,0.715182,23
43596045772,0.037207,0.199005,0.648906,0.098631,0.093828,-0.686879,0.713909,24
43596112419,0.036402,0.143544,0.639756,0.081969,0.074846,-0.689178,0.71604,26
43596145743,0.03906,0.104645,0.629195,0.049898,0.057018,-0.693977,0.715999,27
43596179067,0.04102,0.068664,0.617079,0.016829,0.028457,-0.700714,0.712676,28
43596212390,0.045372,0.039335,0.607702,-0.005033,0.004572,-0.712551,0.701587,29
43596245714,0.049702,0.017797,0.60145,-0.020375,-0.006439,-0.720947,0.692661,30
43596312361,0.053025,9e-05,0.592116,-0.03725,-0.032432,-0.720344,0.691857,32
43596345684,0.054446,0.00118,0.591615,-0.036524,-0.037748,-0.719705,0.69229,33
43596379008,0.05449,0.003023,0.592369,-0.032119,-0.034199,-0.71883,0.693601,34
43596412332,0.054631,0.004851,0.593789,-0.027905,-0.029645,-0.71821,0.694634,35
43596478979,0.055501,0.008625,0.597904,-0.025494,-0.025255,-0.717101,0.696045,37
43596512303,0.05572,0.007754,0.596689,-0.027926,-0.025519,-0.716622,0.696435,38
43596545626,0.058503,0.007372,0.59453,-0.029562,-0.026604,-0.717007,0.695931,39
43596578950,0.058507,0.020755,0.591897,-0.025204,-0.027281,-0.714304,0.698849,40
43596612273,0.058976,0.050957,0.592158,-0.004978,-0.021495,-0.7113,0.702542,41
43596678921,0.060261,0.143071,0.609498,0.054793,0.031732,-0.707176,0.704196,43
43596712244,0.059646,0.185184,0.620783,0.081779,0.062363,-0.702026,0.704686,44
43596745568,0.05833,0.213843,0.629771,0.098343,0.088815,-0.694023,0.707653,45
