timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
30542973640,0.013383,0.207957,0.02373,0.003557,0.0648,-0.713403,0.697742,0
30543006962,0.013959,0.199466,0.0186,0.000678,0.057823,-0.711605,0.700196,1
30543040285,0.014687,0.176845,0.011475,-0.009378,0.046503,-0.709835,0.702769,2
30543106931,0.01388,0.096626,-0.001756,-0.041861,0.013719,-0.701632,0.711176,4
30543140254,0.011084,0.049346,-0.003172,-0.041668,0.003879,-0.697278,0.715578,5
30543173577,0.012037,0.009752,-0.008493,-0.060894,-0.016686,-0.699428,0.711908,6
30543206900,0.013946,-0.018874,-0.013289,-0.076423,-0.040297,-0.703145,0.705778,7
30543240223,0.014211,-0.034334,-0.016005,-0.075009,-0.038686,-0.704446,0.704722,8
30543306868,0.013276,-0.04094,-0.021553,-0.092153,-0.047452,-0.706621,0.699959,10
30543340192,0.013761,-0.038458,-0.020932,-0.095693,-0.041641,-0.705222,0.701264,11
30543373514,0.013281,-0.039038,-0.019083,-0.096388,-0.03122,-0.704795,0.702139,12
30543406837,0.015325,-0.042435,-0.018409,-0.095244,-0.025328,-0.705338,0.701987,13
30543440160,0.016098,-0.05086,-0.018929,-0.092922,-0.022034,-0.704475,0.703274,14
30543506806,0.018421,-0.07799,-0.027887,-0.096958,-0.02195,-0.701673,0.70553,16
30543540129,0.019718,-0.087502,-0.034179,-0.096772,-0.027295,-0.700455,0.706579,17
30543573452,0.020062,-0.083476,-0.039227,-0.095047,-0.029559,-0.700135,0.707039,18
30543606774,0.02061,-0.060305,-0.038981,-0.083658,-0.025618,-0.703,0.705788,19
30543640098,0.024281,-0.017776,-0.034554,-0.070656,-0.010473,-0.706458,0.704141,20
30543673420,0.025956,0.036599,-0.028726,-0.058598,0.00054,-0.712159,0.699568,21
30543740066,0.029268,0.136031,-0.013617,-0.02839,0.000334,-0.720018,0.693375,23
30543773389,0.029772,0.16823,-0.005765,-0.006443,0.017014,-0.721096,0.692596,24
30543806712,0.032459,0.186969,-0.00622,-0.006965,0.026703,-0.723002,0.690294,25
30543840035,0.034092,0.193429,-0.010748,-0.017454,0.017863,-0.722134,0.691303,26
30543873358,0.034695,0.187459,-0.014255,-0.025693,0.015032,-0.717819,0.695593,27
30543940004,0.037357,0.137349,-0.01873,-0.044906,0.010824,-0.712941,0.699701,29
30543973326,0.038786,0.096006,-0.018862,-0.052609,0.009903,-0.711247,0.700901,30
30544006649,0.04051,0.048243,-0.018627,-0.058211,0.006196,-0.709983,0.701782,31
30544039972,0.041716,0.002638,-0.02443,-0.084203,-0.003081,-0.707456,0.701717,32
30544073295,0.041915,-0.031566,-0.029956,-0.10308,-0.035627,-0.708254,0.697482,33
30544139941,0.042223,-0.059188,-0.038428,-0.122024,-0.039285,-0.713377,0.688956,35
30544173264,0.040135,-0.054579,-0.042146,-0.130059,-0.044268,-0.711981,0.688627,36
30544206586,0.036695,-0.044182,-0.0433,-0.133617,-0.039044,-0.70928,0.691045,37
30544239910,0.03445,-0.033346,-0.039963,-0.125315,-0.027716,-0.710436,0.69196,38
30544273232,0.031602,-0.024708,-0.037388,-0.110449,-0.011442,-0.711954,0.693392,39
30544339878,0.027531,-0.023366,-0.04224,-0.097336,-0.002743,-0.708478,0.698983,41
30544373201,0.025929,-0.033643,-0.046511,-0.095045,-0.002601,-0.706178,0.701621,42
30544406524,0.025064,-0.050564,-0.051094,-0.091358,-0.001798,-0.706234,0.702057,43
30544439847,0.026586,-0.069003,-0.05607,-0.091741,0.000636,-0.708301,0.699923,44
30544473170,0.025929,-0.080526,-0.065798,-0.093232,-0.012877,-0.70947,0.698422,45
30544539816,0.028485,-0.053056,-0.077212,-0.091975,-0.018723,-0.70932,0.698609,47
30544573139,0.02931,-0.008492,-0.079694,-0.08925,-0.006204,-0.713956,0.694451,48
30544606461,0.031519,0.04682,-0.077097,-0.077179,0.007565,-0.721484,0.688074,49
30544639784,0.031482,0.099572,-0.073094,-0.063179,0.010493,-0.725257,0.685492,50
30544673107,0.029662,0.140908,-0.066595,-0.040659,0.013386,-0.72495,0.68747,51
