timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
11007910405,0.014148,0.235875,0.327074,0.138015,0.077856,-0.686411,0.70974,0
11007943729,0.012845,0.227451,0.330804,0.142194,0.078125,-0.686502,0.708797,1
11007977052,0.012958,0.203639,0.32907,0.133107,0.066402,-0.689031,0.709302,2
11008043700,0.016397,0.128666,0.314874,0.081555,0.018782,-0.701488,0.707751,4
11008077023,0.01803,0.091555,0.305785,0.049166,-0.011365,-0.706534,0.705878,5
11008110347,0.019335,0.064455,0.299289,0.021641,-0.038455,-0.708314,0.704517,6
11008143670,0.019858,0.047421,0.29663,0.002443,-0.048103,-0.710381,0.702168,7
11008176994,0.020001,0.038094,0.296548,-0.003772,-0.050029,-0.711736,0.700654,8
11008243641,0.019898,0.034156,0.301878,-0.003726,-0.045978,-0.712529,0.700125,10
11008276965,0.020234,0.034639,0.30333,-0.004721,-0.040342,-0.712045,0.700958,11
11008310288,0.019708,0.034504,0.303924,-0.007843,-0.040705,-0.709702,0.703282,12
11008343612,0.018724,0.03315,0.303663,-0.013005,-0.042881,-0.707133,0.70566,13
11008376936,0.017863,0.03149,0.301295,-0.020075,-0.047257,-0.705607,0.70674,14
11008443583,0.016324,0.027204,0.296779,-0.034615,-0.055086,-0.704687,0.706529,16
11008476906,0.016102,0.033107,0.294882,-0.03459,-0.053329,-0.70752,0.703829,17
11008510230,0.017537,0.05009,0.295261,-0.021364,-0.038678,-0.712401,0.70038,18
11008543553,0.019028,0.082025,0.296333,0.003802,-0.018968,-0.714597,0.699269,19
11008576877,0.019507,0.125019,0.296608,0.030772,-0.003662,-0.71217,0.701323,20
11008643524,0.016649,0.21114,0.313182,0.08414,0.056709,-0.703863,0.703052,22
11008676848,0.014575,0.236401,0.325025,0.10208,0.092774,-0.697507,0.703176,23
11008710171,0.01243,0.245228,0.335254,0.116119,0.115935,-0.693084,0.701933,24
11008743495,0.010318,0.237481,0.340926,0.12314,0.117616,-0.691617,0.701903,25
11008776819,0.007698,0.213827,0.341245,0.119963,0.107756,-0.689548,0.70606,26
11008843466,0.004673,0.138561,0.327505,0.078253,0.052316,-0.692109,0.715629,28
11008876789,0.004791,0.101423,0.319487,0.049869,0.019391,-0.696664,0.7154,29
11008910113,0.005417,0.073094,0.311956,0.01781,-0.004556,-0.698087,0.715777,30
11008943436,0.005559,0.055779,0.306555,-0.005265,-0.025707,-0.696557,0.717022,31
11008976760,0.005497,0.048192,0.304548,-0.015086,-0.041381,-0.694066,0.718563,32
11009043407,0.006961,0.047083,0.307593,-0.00953,-0.037697,-0.698414,0.714637,34
11009076731,0.007641,0.050067,0.307906,-0.008726,-0.035849,-0.699556,0.713625,35
11009110054,0.007671,0.051245,0.307302,-0.010688,-0.038051,-0.698166,0.714844,36
11009143378,0.007202,0.050168,0.305707,-0.01595,-0.040647,-0.695344,0.71735,37
11009176701,0.007086,0.048882,0.302861,-0.022831,-0.043595,-0.692796,0.719453,38
11009243348,0.00865,0.051668,0.296596,-0.029507,-0.050192,-0.69627,0.715415,40
11009276672,0.010914,0.071802,0.293927,-0.022151,-0.047997,-0.6966,0.71551,41
11009309996,0.011918,0.110022,0.294411,0.00237,-0.032898,-0.698304,0.715041,42
11009343319,0.011505,0.160133,0.300625,0.04067,-0.002953,-0.700563,0.712425,43
11009376643,0.010347,0.209828,0.311871,0.079346,0.033281,-0.698848,0.710076,44
11009443290,0.007595,0.270146,0.340934,0.13156,0.100467,-0.691587,0.703069,46
11009476613,0.007392,0.271923,0.350918,0.144601,0.115311,-0.689593,0.700183,47
11009509937,0.007647,0.255616,0.353372,0.142311,0.113757,-0.689841,0.700661,48
11009543261,0.007876,0.224697,0.347304,0.122238,0.099004,-0.690472,0.706049,49
11009576584,0.007697,0.183749,0.334868,0.090535,0.065235,-0.693129,0.712124,50
11009643232,0.007579,0.109375,0.314769,0.034607,0.008119,-0.697001,0.716189,52
11009676555,0.007456,0.087174,0.308329,0.013431,-0.01155,-0.694286,0.719482,53
11009709879,0.007335,0.075243,0.303474,-0.006459,-0.027412,-0.692013,0.721335,54
11009743202,0.006743,0.070354,0.301304,-0.017602,-0.032911,-0.690851,0.722033,55
11009776526,0.007591,0.069503,0.300555,-0.016002,-0.025423,-0.69076,0.72246,56
11009843173,0.007625,0.073107,0.297407,-0.023625,-0.011739,-0.685895,0.727223,58
11009876497,0.008157,0.07522,0.292025,-0.034998,-0.007992,-0.67957,0.732732,59
11009909820,0.008252,0.076426,0.287686,-0.051487,0.00991,-0.671417,0.739222,60
11009943144,0.008663,0.076984,0.284736,-0.063162,0.026435,-0.666074,0.742736,61
11009976467,0.010755,0.077193,0.278474,-0.071953,0.031273,-0.664382,0.743264,62
11010043114,0.013666,0.075827,0.270962,-0.087473,0.024429,-0.666097,0.740315,64
11010076438,0.016098,0.07493,0.267457,-0.088065,0.018747,-0.66919,0.737616,65
11010109762,0.018693,0.07334,0.26661,-0.090121,0.029864,-0.674429,0.73221,66
11010143085,0.020721,0.071621,0.265961,-0.095778,0.039363,-0.67609,0.729507,67
11010176409,0.02393,0.070554,0.26314,-0.100524,0.036253,-0.679875,0.725501,68
11010243056,0.029613,0.066002,0.260857,-0.109968,0.04446,-0.689832,0.714187,70
11010276380,0.030293,0.064948,0.259281,-0.113643,0.04223,-0.688754,0.714787,71
11010309703,0.030922,0.063018,0.257506,-0.119297,0.036727,-0.686983,0.715873,72
11010343027,0.031804,0.061075,0.255713,-0.128178,0.037601,-0.687676,0.713624,73
11010376351,0.033992,0.059998,0.25328,-0.135002,0.039222,-0.689677,0.710339,74
11010442998,0.035765,0.057707,0.250707,-0.143432,0.036728,-0.690333,0.70818,76
11010476321,0.037288,0.057385,0.249077,-0.146833,0.039265,-0.691523,0.706183,77
11010509645,0.038206,0.056809,0.248568,-0.148956,0.041699,-0.6927,0.704443,78
11010542968,0.038863,0.055861,0.248327,-0.148412,0.038938,-0.69422,0.703218,79
11010576292,0.039909,0.055166,0.247572,-0.146277,0.034574,-0.696871,0.701269,80
11010642939,0.042198,0.052558,0.247767,-0.142474,0.034648,-0.703905,0.694995,82
11010676263,0.044285,0.050553,0.248794,-0.1401,0.032253,-0.70867,0.690738,83
11010709586,0.046613,0.048551,0.251242,-0.136524,0.033002,-0.712777,0.687184,84
11010742909,0.048506,0.047206,0.254502,-0.131087,0.037819,-0.715173,0.685503,85
11010776233,0.050208,0.04653,0.256945,-0.133705,0.038929,-0.716063,0.684004,86
11010842880,0.050824,0.045248,0.260206,-0.130181,0.037363,-0.713667,0.687267,88
11010876204,0.050336,0.04514,0.260461,-0.131386,0.033213,-0.711488,0.689507,89
11010909528,0.049992,0.044622,0.260372,-0.133258,0.029461,-0.709545,0.691318,90
11010942851,0.049602,0.04389,0.260086,-0.136773,0.029852,-0.707253,0.692961,91
11010976175,0.04859,0.043235,0.260718,-0.129346,0.018927,-0.706964,0.695063,92
11011042822,0.046102,0.042154,0.260374,-0.110621,-0.014971,-0.708165,0.697167,94
11011076145,0.045838,0.04244,0.260322,-0.115564,-0.013292,-0.707494,0.69708,95
11011109468,0.045248,0.042043,0.26001,-0.120205,-0.013033,-0.706713,0.697092,96
11011142792,0.044398,0.040785,0.259302,-0.124502,-0.017758,-0.705746,0.697214,97
11011176116,0.043174,0.039105,0.258096,-0.130927,-0.029049,-0.70338,0.698048,98
11011242763,0.040098,0.034544,0.257052,-0.130043,-0.064408,-0.695512,0.703707,100
11011276087,0.037829,0.032101,0.256817,-0.133424,-0.079963,-0.690344,0.706561,101
11011309410,0.035695,0.029301,0.25682,-0.136449,-0.090987,-0.68795,0.706985,102
11011342734,0.032391,0.027437,0.257585,-0.137084,-0.101015,-0.682591,0.710685,103
11011376058,0.028196,0.026586,0.2594,-0.139651,-0.107435,-0.676281,0.715262,104
11011442705,0.019814,0.023921,0.266793,-0.145255,-0.096437,-0.673493,0.718337,106
11011476028,0.015986,0.023271,0.275173,-0.147149,-0.097809,-0.672289,0.718894,107
11011509352,0.012522,0.021591,0.283,-0.147408,-0.097526,-0.673012,0.718202,108
