timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
88971205683,0.000815,0.162608,0.435025,0.11998,0.120783,-0.671983,0.720733,0
88971239007,0.00043,0.160316,0.433074,0.115067,0.11633,-0.672647,0.721646,1
88971305654,0.003418,0.114117,0.414325,0.080334,0.079058,-0.68163,0.722964,3
88971338977,0.007125,0.082243,0.403158,0.056364,0.051937,-0.690592,0.719172,4
88971372301,0.009819,0.053744,0.394657,0.036399,0.026691,-0.695397,0.717207,5
88971438948,0.010035,0.016444,0.385101,0.001078,-0.010259,-0.693726,0.720165,7
88971472272,0.007576,0.005671,0.385404,-0.008387,-0.0157,-0.69186,0.721813,8
88971538919,0.007541,-0.004894,0.384055,-0.018526,-0.024426,-0.692261,0.720995,10
88971572243,0.007516,-0.007243,0.381844,-0.021925,-0.027692,-0.694717,0.718415,11
88971605566,0.008692,-0.009841,0.380221,-0.023724,-0.030956,-0.698092,0.714946,12
88971672213,0.01095,-0.014723,0.378185,-0.030364,-0.036049,-0.70251,0.710111,14
88971705537,0.011101,-0.016679,0.376996,-0.035563,-0.037937,-0.702896,0.70939,15
88971738861,0.010941,-0.017436,0.375895,-0.040427,-0.039069,-0.702704,0.709258,16
88971805508,0.011114,-0.005425,0.375895,-0.038104,-0.034668,-0.703271,0.709053,18
88971838831,0.01193,0.014726,0.377451,-0.024094,-0.022421,-0.705618,0.707828,19
88971872155,0.011719,0.049647,0.383451,0.004358,0.003904,-0.706844,0.707345,20
88971938802,0.008273,0.134407,0.408678,0.076685,0.065564,-0.698169,0.708788,22
88971972126,0.005359,0.164671,0.423949,0.11104,0.087194,-0.68877,0.7111,23
88972005449,0.004807,0.180807,0.434366,0.132057,0.100105,-0.684258,0.710163,24
88972072097,0.008858,0.166823,0.437822,0.135118,0.102398,-0.687827,0.705799,26
88972105420,0.01098,0.14245,0.43193,0.122364,0.089488,-0.690377,0.707389,27
88972172067,0.015587,0.085418,0.414483,0.076828,0.05057,-0.702178,0.706035,29
88972205391,0.016376,0.06101,0.406186,0.05396,0.028486,-0.702938,0.708629,30
88972238715,0.015487,0.041061,0.398871,0.030133,0.0092,-0.701102,0.712365,31
88972305362,0.013615,0.016355,0.390148,0.002208,-0.014532,-0.695786,0.718099,33
88972338685,0.013429,0.009749,0.387091,-0.007259,-0.02141,-0.694508,0.719129,34
88972372009,0.013937,0.006746,0.384234,-0.013062,-0.024939,-0.695492,0.717982,35
88972438656,0.016241,0.002587,0.3804,-0.020931,-0.029053,-0.699351,0.713881,37
88972471980,0.017141,0.002227,0.377624,-0.025083,-0.029428,-0.700538,0.712567,38
88972505303,0.016923,0.001767,0.376397,-0.029584,-0.029312,-0.699731,0.713191,39
88972571951,0.017273,0.006913,0.375751,-0.032978,-0.02479,-0.699768,0.713178,41
88972605274,0.019587,0.015771,0.377626,-0.023406,-0.018502,-0.703385,0.710183,42
88972671921,0.026551,0.059618,0.38459,0.020604,0.011671,-0.711711,0.702073,44
88972705245,0.028486,0.093161,0.391201,0.044953,0.030602,-0.710079,0.702019,45
88972738569,0.028045,0.126579,0.401078,0.074244,0.046874,-0.70296,0.705789,46
88972805216,0.021716,0.167801,0.41996,0.118498,0.06907,-0.680942,0.719378,48
88972838539,0.019854,0.170705,0.423476,0.118299,0.073889,-0.674802,0.724699,49
88972871863,0.020114,0.16037,0.423715,0.112098,0.073622,-0.671727,0.728558,50
88972938510,0.024546,0.117835,0.415517,0.087027,0.056032,-0.681148,0.724793,52
88972971834,0.025928,0.094527,0.409821,0.065553,0.041256,-0.686503,0.72299,53
88973005158,0.028021,0.073565,0.400259,0.036025,0.020571,-0.690584,0.722062,54
88973071805,0.028661,0.042847,0.385004,-0.018456,-0.016171,-0.688012,0.725284,56
88973105128,0.028485,0.033398,0.381611,-0.027716,-0.025925,-0.686235,0.726389,57
88973138452,0.029207,0.027527,0.380928,-0.031085,-0.026088,-0.687151,0.725381,58
88973205099,0.032006,0.023644,0.382405,-0.037523,-0.012713,-0.691862,0.720942,60
88973238423,0.033204,0.023108,0.384186,-0.036392,-0.005955,-0.693703,0.719316,61
88973305069,0.03479,0.024278,0.38747,-0.032427,0.018237,-0.696097,0.716983,63
88973338393,0.036023,0.023304,0.388939,-0.032879,0.0211,-0.697586,0.715436,64
88973371717,0.036447,0.022503,0.389013,-0.032913,0.017152,-0.697871,0.715261,65
88973438364,0.036977,0.021244,0.386662,-0.034236,0.008747,-0.697925,0.715298,67
88973471688,0.037284,0.020749,0.385579,-0.035443,0.008227,-0.698966,0.714228,68
88973505012,0.037261,0.020394,0.384589,-0.040061,0.010566,-0.699642,0.713291,69
88973571659,0.037735,0.019725,0.382853,-0.04807,0.002379,-0.700733,0.711798,71
88973604982,0.037609,0.019711,0.382249,-0.051784,-0.0001,-0.699967,0.712295,72
88973638306,0.037309,0.019774,0.382173,-0.05355,0.000774,-0.698135,0.71396,73
88973704953,0.037335,0.019701,0.382731,-0.056544,-0.001985,-0.698592,0.71328,75
88973738276,0.037537,0.018807,0.383337,-0.056408,3.8e-05,-0.698379,0.713502,76
88973804924,0.037334,0.017612,0.384536,-0.060911,0.00439,-0.696848,0.714614,78
88973838248,0.038802,0.016588,0.385814,-0.067035,0.013091,-0.697366,0.713453,79
88973871571,0.039734,0.015713,0.387113,-0.073665,0.027502,-0.698128,0.711642,80
88973938218,0.040058,0.014471,0.387534,-0.059876,0.013708,-0.705157,0.706385,82
88973971542,0.037688,0.014192,0.387249,-0.052127,-0.00119,-0.705711,0.706579,83
88974004866,0.035282,0.013804,0.387739,-0.049159,-0.004031,-0.703134,0.709345,84
88974071513,0.033562,0.011308,0.390415,-0.041688,0.004005,-0.70078,0.712147,86
88974104836,0.032705,0.0104,0.389179,-0.04373,-0.002581,-0.700385,0.71242,87
88974138160,0.031847,0.009439,0.387886,-0.044908,-0.009476,-0.700354,0.712319,88
88974204807,0.03178,0.00605,0.387838,-0.048051,-0.009647,-0.703206,0.709295,90
88974238131,0.031925,0.004364,0.387744,-0.047583,-0.014266,-0.704822,0.707643,91
88974271454,0.031691,0.003826,0.387581,-0.046469,-0.018028,-0.705884,0.706571,92
88974338101,0.027243,0.002364,0.382556,-0.057275,-0.011486,-0.704186,0.707609,94
88974371425,0.025121,-0.000202,0.381258,-0.061335,-0.015846,-0.704365,0.707006,95
88974438072,0.023797,-0.004446,0.375487,-0.067627,-0.023291,-0.70906,0.701511,97
88974471396,0.023328,-0.004074,0.373434,-0.069852,-0.023786,-0.710951,0.69936,98
88974504719,0.023521,-0.004796,0.372126,-0.072478,-0.025253,-0.711798,0.698178,99
88974571367,0.024328,-0.005914,0.373414,-0.076916,-0.021483,-0.713041,0.696559,101
88974604689,0.024949,-0.006711,0.374361,-0.075816,-0.019965,-0.714716,0.695006,102
88974638014,0.025312,-0.007528,0.374821,-0.074855,-0.018166,-0.716791,0.693021,103
88974704661,0.028026,-0.010076,0.375106,-0.076148,-0.017475,-0.722662,0.686772,105
88974737985,0.02921,-0.011275,0.374788,-0.078064,-0.0194,-0.724475,0.684591,106
88974771308,0.029023,-0.013145,0.3739,-0.078556,-0.019254,-0.724566,0.684443,107
88974837955,0.028738,-0.014456,0.374565,-0.067256,-0.018175,-0.712297,0.698412,109
88974871279,0.026898,-0.017867,0.376672,-0.058829,-0.021295,-0.708901,0.702527,110
88974937926,0.026419,-0.021,0.378481,-0.051797,-0.030714,-0.708408,0.703229,112
88974971250,0.02603,-0.02249,0.380775,-0.047919,-0.028962,-0.707443,0.704549,113
88975004573,0.025343,-0.023486,0.383044,-0.051187,-0.024831,-0.706326,0.705597,114
88975071220,0.024504,-0.026657,0.389507,-0.053239,-0.026135,-0.704683,0.707039,116
88975104544,0.023236,-0.027845,0.392447,-0.05242,-0.027943,-0.702244,0.709454,117
88975137868,0.021905,-0.029441,0.394867,-0.051943,-0.032536,-0.700161,0.71135,118
88975204515,0.018274,-0.032638,0.40175,-0.041337,-0.069713,-0.695562,0.71388,120
88975237839,0.017122,-0.034461,0.405258,-0.036776,-0.090496,-0.693616,0.713691,121
88975271162,0.015605,-0.03375,0.407583,-0.034264,-0.099988,-0.693067,0.713082,122
88975337809,0.011308,-0.036198,0.416602,-0.036364,-0.105046,-0.69381,0.711527,124
88975371133,0.008206,-0.039011,0.424344,-0.034791,-0.111431,-0.693827,0.710618,125
88975437780,0.002985,-0.044263,0.436448,-0.035056,-0.125657,-0.695784,0.706304,127
88975471104,0.00125,-0.047381,0.441673,-0.035956,-0.132019,-0.697496,0.703404,128
88975504427,1.7e-05,-0.049915,0.446008,-0.035564,-0.140409,-0.696597,0.70269,129
88975571074,-0.002073,-0.054875,0.455038,-0.030452,-0.150887,-0.693026,0.704287,131
88975604398,-0.002288,-0.057228,0.45845,-0.026193,-0.153792,-0.691864,0.704973,132
88975637722,-0.002052,-0.059864,0.461357,-0.020239,-0.158277,-0.69103,0.704993,133
88975704369,-0.001844,-0.06703,0.467125,-0.016265,-0.152447,-0.695459,0.70202,135
88975737692,-0.000873,-0.070373,0.468936,-0.013905,-0.152161,-0.697652,0.699954,136
88975771016,0.000849,-0.074507,0.472401,-0.012921,-0.15148,-0.700261,0.697511,137
88975837663,0.001621,-0.080195,0.47752,-0.009378,-0.143383,-0.704776,0.694726,139
