timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
12056515168,0.042099,0.249686,0.461361,0.116346,0.06734,-0.693308,0.707992,0
12056548492,0.039612,0.246335,0.466069,0.122081,0.067996,-0.690748,0.709465,1
12056581815,0.040345,0.228345,0.463031,0.116699,0.05689,-0.691625,0.710493,2
12056648462,0.042792,0.167038,0.445914,0.067617,0.02142,-0.698614,0.711974,4
12056681786,0.044207,0.132495,0.435256,0.035677,-0.001074,-0.702308,0.710978,5
12056715109,0.044491,0.101936,0.425858,0.005939,-0.033207,-0.702625,0.71076,6
12056748433,0.044716,0.07844,0.419459,-0.019821,-0.056364,-0.701706,0.709957,7
12056781757,0.04379,0.063082,0.415977,-0.037108,-0.068765,-0.700894,0.708972,8
12056848404,0.042577,0.052702,0.413478,-0.049747,-0.0766,-0.697724,0.71052,10
12056881727,0.042276,0.05511,0.411878,-0.050766,-0.078496,-0.696104,0.711829,11
12056915051,0.041609,0.056834,0.411474,-0.050773,-0.078397,-0.694999,0.712919,12
12056948374,0.040929,0.0572,0.411838,-0.051114,-0.077128,-0.695043,0.712989,13
12056981698,0.040026,0.059124,0.410825,-0.052281,-0.075797,-0.695058,0.713033,14
12057048345,0.037401,0.059689,0.40973,-0.055564,-0.074709,-0.693497,0.714418,16
12057081669,0.036466,0.06277,0.408312,-0.057077,-0.074858,-0.692096,0.715641,17
12057114992,0.035047,0.070233,0.407031,-0.056237,-0.075128,-0.690541,0.717179,18
12057148316,0.037816,0.086992,0.406776,-0.047166,-0.070948,-0.697701,0.711305,19
12057181639,0.046005,0.116813,0.408802,-0.022757,-0.051454,-0.716104,0.695723,20
12057248287,0.057611,0.202994,0.427817,0.036627,0.021551,-0.742752,0.668217,22
12057281610,0.05811,0.242534,0.440984,0.066081,0.049107,-0.740746,0.666722,23
12057314934,0.05572,0.269025,0.454071,0.086348,0.072967,-0.733357,0.670379,24
12057348257,0.052501,0.278761,0.463696,0.096765,0.089144,-0.725739,0.675273,25
12057381581,0.050381,0.271623,0.46685,0.103204,0.088746,-0.721205,0.679218,26
12057448228,0.048471,0.223352,0.455155,0.083656,0.050761,-0.718379,0.688735,28
12057481552,0.047957,0.189889,0.444282,0.052878,0.027536,-0.718264,0.693212,29
