timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
15360662588,0.099072,0.239084,0.334926,0.104781,0.111246,-0.688379,0.709069,0
15360695912,0.097046,0.237543,0.336769,0.105574,0.11145,-0.687,0.710256,1
15360729235,0.096261,0.221971,0.33577,0.101046,0.100989,-0.687738,0.711763,2
15360795882,0.099989,0.166922,0.321086,0.061488,0.076523,-0.699143,0.708211,4
15360829206,0.101904,0.136849,0.314794,0.040741,0.059471,-0.704673,0.705861,5
15360862529,0.103033,0.110499,0.310826,0.02136,0.04281,-0.707426,0.705166,6
15360895853,0.103113,0.090088,0.308052,0.004804,0.027097,-0.709808,0.703857,7
15360929176,0.100724,0.075676,0.305601,-0.009561,0.017853,-0.708655,0.705265,8
15360995823,0.094313,0.064685,0.301512,-0.025221,0.001699,-0.699039,0.714636,10
15361029147,0.090757,0.062563,0.29967,-0.028435,-0.004052,-0.695646,0.71781,11
15361062470,0.08933,0.061133,0.298216,-0.031578,-0.004312,-0.695853,0.717477,12
15361095794,0.08883,0.059456,0.296723,-0.036805,-0.003113,-0.697069,0.716052,13
15361129117,0.087193,0.057463,0.293776,-0.043029,-0.003316,-0.697692,0.715096,14
15361195764,0.084036,0.055642,0.290305,-0.053142,-0.007429,-0.695537,0.716484,16
15361229088,0.08242,0.06138,0.289289,-0.054717,-0.00789,-0.692456,0.719339,17
15361262409,0.081718,0.078871,0.287726,-0.05118,-0.000601,-0.69026,0.721749,18
15361295735,0.082326,0.110087,0.294509,-0.027789,0.018875,-0.691691,0.721412,19
15361329058,0.08404,0.151184,0.308358,0.010913,0.050328,-0.69527,0.716901,20
15361395705,0.083073,0.230443,0.34525,0.078513,0.11615,-0.691422,0.708717,22
15361429029,0.080822,0.254078,0.355617,0.094094,0.127967,-0.685474,0.71056,23
15361462352,0.07743,0.261617,0.35813,0.09379,0.125411,-0.680048,0.716247,24
15361495676,0.074445,0.253067,0.354599,0.084185,0.114655,-0.676902,0.722199,25
15361528999,0.074103,0.231516,0.345425,0.068558,0.099131,-0.679614,0.7236,26
15361595646,0.078275,0.170983,0.326484,0.023258,0.077804,-0.693214,0.716143,28
15361628970,0.081951,0.142208,0.3182,0.001189,0.06607,-0.701869,0.709234,29
15361662293,0.084504,0.11885,0.311414,-0.017987,0.049933,-0.708156,0.704058,30
15361695615,0.086081,0.102365,0.306893,-0.033591,0.037393,-0.711202,0.701189,31
15361728940,0.087337,0.091699,0.304629,-0.039566,0.032116,-0.71304,0.699269,32
15361795587,0.087304,0.08492,0.304995,-0.042404,0.027534,-0.711901,0.700457,34
15361828911,0.087368,0.08424,0.304848,-0.041429,0.025249,-0.711071,0.701445,35
15361862235,0.087052,0.084456,0.305385,-0.039985,0.025171,-0.710034,0.702581,36
15361895558,0.086275,0.085017,0.305934,-0.03953,0.024776,-0.708761,0.703904,37
15361928881,0.08532,0.085966,0.304363,-0.040001,0.026736,-0.706943,0.705633,38
15361995529,0.083259,0.112107,0.300992,-0.035222,0.048298,-0.702484,0.709185,40
15362028852,0.084112,0.14496,0.300458,-0.016892,0.063679,-0.702156,0.708969,41
15362062175,0.083929,0.187774,0.305746,0.009048,0.076138,-0.69896,0.711039,42
15362095499,0.081322,0.230661,0.316674,0.038705,0.088668,-0.691705,0.71567,43
15362128823,0.077424,0.262956,0.328432,0.063055,0.101867,-0.68196,0.721511,44
15362195469,0.071322,0.277606,0.345699,0.08911,0.118633,-0.671081,0.726386,46
15362228793,0.071748,0.261634,0.345506,0.086905,0.115015,-0.672334,0.726076,47
15362262116,0.073814,0.234612,0.338526,0.069422,0.105566,-0.677368,0.724713,48
15362295440,0.076649,0.20148,0.328539,0.043726,0.094283,-0.684526,0.721542,49
15362328764,0.079534,0.169274,0.316983,0.017536,0.079112,-0.692106,0.717233,50
15362395410,0.081471,0.117709,0.300114,-0.029236,0.04634,-0.700171,0.71187,52
15362428734,0.081694,0.100975,0.294765,-0.045647,0.035696,-0.699659,0.712123,53
15362462057,0.081108,0.091029,0.292971,-0.053173,0.02905,-0.697793,0.713732,54
15362495381,0.08131,0.086099,0.293743,-0.05427,0.024356,-0.698486,0.713148,55
15362528705,0.081664,0.083749,0.29529,-0.051321,0.026014,-0.699654,0.712161,56
15362595352,0.080694,0.083244,0.297819,-0.047012,0.024652,-0.697812,0.714311,58
15362628675,0.079524,0.083016,0.300789,-0.044218,0.02314,-0.696786,0.715541,59
15362661999,0.078399,0.0822,0.302436,-0.042642,0.017116,-0.69639,0.716191,60
15362695322,0.07739,0.080967,0.303718,-0.040901,0.015787,-0.696386,0.716327,61
15362728646,0.076945,0.07959,0.305704,-0.041555,0.020253,-0.696496,0.71607,62
15362795293,0.076068,0.074189,0.306317,-0.056913,0.033432,-0.696993,0.714034,64
15362828616,0.075297,0.071161,0.306829,-0.064148,0.035227,-0.69758,0.712759,65
15362861940,0.074553,0.067992,0.306901,-0.065206,0.024633,-0.698679,0.712032,66
15362895263,0.073549,0.065155,0.307407,-0.065035,0.01841,-0.698731,0.712185,67
15362928587,0.072758,0.062277,0.308477,-0.068104,0.020609,-0.698775,0.711794,68
15362995233,0.070286,0.05874,0.310813,-0.081007,0.03298,-0.695058,0.713614,70
15363028557,0.068543,0.056614,0.313954,-0.080663,0.042484,-0.693897,0.71428,71
15363061881,0.06644,0.054706,0.316739,-0.075716,0.048153,-0.691886,0.71641,72
15363095204,0.064523,0.052655,0.317878,-0.072091,0.047785,-0.691338,0.717336,73
15363128526,0.062332,0.050506,0.31666,-0.066544,0.038809,-0.693857,0.71598,74
15363195175,0.056935,0.046406,0.313783,-0.063424,0.016229,-0.697724,0.713369,76
15363228498,0.054416,0.043601,0.311894,-0.066289,0.001424,-0.69915,0.711894,77
15363261821,0.052432,0.041727,0.310552,-0.067192,-0.017482,-0.697557,0.713158,78
