timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
45441168358,0.030685,0.175322,0.141081,0.029263,0.055699,-0.716767,0.694469,0
45441201681,0.031096,0.170854,0.136768,0.020613,0.048785,-0.717445,0.694599,1
45441268327,0.030592,0.122273,0.13091,0.004171,0.031717,-0.720977,0.69222,3
45441301650,0.029454,0.082321,0.127854,-0.004362,0.023329,-0.720844,0.692691,4
45441334973,0.030028,0.036978,0.128657,-0.011013,0.017429,-0.719055,0.694648,5
45441368296,0.029597,-0.008098,0.128106,-0.016644,0.015349,-0.716218,0.69751,6
45441434942,0.027912,-0.065144,0.118338,-0.046583,-0.023334,-0.707065,0.705226,8
45441468265,0.027579,-0.072017,0.109687,-0.06662,-0.049392,-0.705484,0.703857,9
45441501588,0.027804,-0.068051,0.104342,-0.079336,-0.056591,-0.708156,0.699299,10
45441568234,0.02602,-0.049451,0.108123,-0.072235,-0.038443,-0.711512,0.697894,12
45441601558,0.024145,-0.045887,0.113083,-0.060743,-0.026363,-0.712625,0.698413,13
45441634881,0.022034,-0.048297,0.117545,-0.055098,-0.019765,-0.713466,0.69824,14
45441668204,0.019428,-0.060694,0.11884,-0.056046,-0.019714,-0.711941,0.699721,15
45441734850,0.019452,-0.107432,0.118393,-0.071433,-0.034181,-0.712453,0.697237,17
45441768173,0.020122,-0.134729,0.117827,-0.082489,-0.039666,-0.714946,0.693162,18
45441801496,0.019749,-0.152229,0.1167,-0.091725,-0.044837,-0.714891,0.691741,19
45441868142,0.021821,-0.124769,0.116114,-0.08405,-0.039405,-0.711584,0.696442,21
45441901466,0.019836,-0.078363,0.11574,-0.073251,-0.025521,-0.71114,0.698758,22
45441934788,0.020286,-0.016494,0.116131,-0.062261,-0.013311,-0.712556,0.698721,23
45442001435,0.021251,0.103108,0.125333,-0.022471,0.027149,-0.721866,0.691134,25
45442034758,0.023732,0.14286,0.133491,0.003989,0.053719,-0.725033,0.686604,26
45442068081,0.023977,0.166441,0.136962,0.016694,0.061967,-0.726825,0.683818,27
45442101404,0.023104,0.174157,0.135969,0.015456,0.060365,-0.725478,0.685419,28
