timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
100228117591,0.040532,0.227265,0.360172,0.011995,0.024659,-0.72921,0.68374,0
100228150914,0.038402,0.219099,0.358385,0.008874,0.02107,-0.731464,0.681496,1
100228217559,0.029625,0.162324,0.353326,-0.013668,0.00673,-0.724403,0.689209,3
100228250885,0.026214,0.117482,0.354629,-0.021216,0.000636,-0.722209,0.691349,4
100228284208,0.023001,0.067478,0.357863,-0.023904,-0.004441,-0.721357,0.692137,5
100228350853,0.015842,-0.006313,0.360246,-0.033301,-0.024649,-0.713282,0.699652,7
100228384178,0.01483,-0.019619,0.360313,-0.030675,-0.036434,-0.714461,0.698053,8
100228417501,0.015932,-0.019491,0.361373,-0.028257,-0.041447,-0.719465,0.692714,9
100228484148,0.016751,-0.009322,0.367346,-0.018648,-0.013813,-0.721145,0.692395,11
100228517471,0.015694,-0.010255,0.369044,-0.017662,-0.006918,-0.719996,0.69372,12
100228550795,0.015944,-0.020325,0.368272,-0.020832,-0.006535,-0.718632,0.695048,13
100228617441,0.01357,-0.057464,0.360633,-0.039584,-0.033674,-0.718122,0.693974,15
100228650765,0.013986,-0.066218,0.355416,-0.050383,-0.064232,-0.720058,0.689096,16
100228684087,0.019695,-0.048933,0.353118,-0.053877,-0.069457,-0.728575,0.679303,17
100228750734,0.029319,0.053788,0.361142,-0.028987,-0.061478,-0.733591,0.676183,19
100228784058,0.031289,0.114336,0.368843,-0.01839,-0.039315,-0.731604,0.680347,20
100228817381,0.032771,0.164308,0.37921,0.001723,-0.014351,-0.73377,0.679244,21
100228884027,0.031063,0.22203,0.390297,0.028846,-0.014613,-0.726326,0.68659,23
100228917351,0.029634,0.228965,0.393007,0.031766,-0.01635,-0.725287,0.687519,24
100228950675,0.02848,0.222172,0.395214,0.029007,-0.017561,-0.725122,0.687785,25
100229017322,0.024273,0.169265,0.397534,0.002965,-0.024017,-0.718906,0.694685,27
100229050645,0.021581,0.125651,0.401249,-0.009989,-0.02949,-0.714054,0.699398,28
100229083968,0.019656,0.076522,0.406459,-0.016093,-0.028015,-0.71172,0.70172,29
100229150615,0.015978,0.000498,0.407022,-0.039592,-0.048253,-0.703087,0.708359,31
100229183938,0.015607,-0.015447,0.407683,-0.040767,-0.043734,-0.705254,0.706429,32
100229217262,0.016757,-0.019888,0.404889,-0.04998,-0.051983,-0.711947,0.698521,33
100229283907,0.016868,-0.014436,0.398389,-0.066125,-0.048863,-0.718977,0.690154,35
100229317232,0.016418,-0.01484,0.394593,-0.066733,-0.051677,-0.719656,0.689182,36
100229350555,0.015532,-0.01924,0.390281,-0.066875,-0.054169,-0.719953,0.688666,37
100229417202,0.011565,-0.046149,0.383914,-0.067512,-0.059168,-0.719077,0.689108,39
100229450525,0.008912,-0.062057,0.383127,-0.069106,-0.064442,-0.719275,0.68827,40
100229483848,0.007506,-0.066952,0.382473,-0.066867,-0.073918,-0.723559,0.683028,41
100229550495,0.006434,-0.006544,0.388468,-0.039183,-0.076118,-0.729479,0.678625,43
100229583819,0.007734,0.056746,0.394404,-0.019445,-0.069267,-0.734776,0.674484,44
100229617141,0.00971,0.125028,0.403219,0.001189,-0.03673,-0.740875,0.670637,45
100229683788,0.013082,0.224809,0.419223,0.049877,0.001335,-0.74457,0.665677,47
100229717112,0.010748,0.249273,0.420159,0.055182,-0.00192,-0.739963,0.670377,48
100229750435,0.007783,0.256824,0.418444,0.051702,-0.003718,-0.73427,0.676875,49
100229817081,0.00157,0.230659,0.411636,0.033078,-0.016108,-0.727458,0.685165,51
100229850406,-0.000281,0.199242,0.408813,0.022743,-0.022644,-0.725308,0.687677,52
100229883729,-0.002398,0.158749,0.407006,0.014664,-0.027186,-0.724177,0.688922,53
100229950375,-0.007237,0.069337,0.408409,0.015569,-0.027817,-0.722216,0.690933,55
100229983699,-0.008751,0.034549,0.405714,0.004071,-0.041779,-0.722457,0.69014,56
100230017022,-0.009593,0.010943,0.405629,0.004424,-0.04105,-0.722202,0.690449,57
100230083669,-0.00884,-0.004812,0.401602,-0.0071,-0.059,-0.721976,0.689361,59
100230116992,-0.009473,0.000626,0.395268,-0.016937,-0.07077,-0.720949,0.689157,60
100230150315,-0.009478,0.007925,0.39435,-0.017018,-0.070644,-0.7219,0.688172,61
100230216962,-0.01295,0.026707,0.394147,-0.011699,-0.060044,-0.720774,0.690465,63
