frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.040532,0.227265,0.360172,0.011995,0.024659,-0.72921,0.68374,0.8422926820375025,20.98446911073923,1.2290133871674538,0.3304171820951626,9.774138892495632,-0.7262311115998774,0.1992507576942443,-0.3437865972518921,0.4743003249168396,-0.6675987899174138,-0.7233855178337478,-0.1172214812968519,-0.1314700184994621,-0.3951078355312347,0.484691172838211,-0.0823839083313942,17.518745303285122,-10.602070894616842,1.4736141706913708,0.3732592761516571,0.1065494567155838,21.85686335492134,0.5343657732009888,1.1830561573084444,-0.8886502363257109
1,0.038402,0.219099,0.358385,0.008874,0.02107,-0.731464,0.681496,2.8178812459796667,16.386683054828644,-3.221087368094921,0.4373351862102747,9.76877122798264,-0.7417653653401881,-0.4020342230796814,0.0690437480807304,0.0903399363160133,-0.6663013868906545,-0.7245523565779062,-0.1133286837818782,-0.1349922424226745,0.5154010653495789,0.6572287082672119,0.1638610810041427,13.17059919410944,-11.07703701556325,4.714922489038109,0.2663237452507019,-0.545459508895874,18.564749562966824,1.0641590356826782,1.2266261997699737,-0.0109696355387801
2,0.029625,0.162324,0.353326,-0.013668,0.00673,-0.724403,0.689209,0.8683714184068143,7.5116843746215105,0.0242097276270389,0.4508336598066613,9.776247262951731,-0.6262015152916312,-0.1645309329032898,0.1925076693296432,-0.158094510436058,-0.6700666799983779,-0.7203369455038975,-0.1142019116330727,-0.1381423170810659,0.6839397549629211,0.9128400683403016,0.2162839472293853,6.916531785327196,-5.064892695528268,0.6160882636867463,-0.1324541568756103,-1.383098602294922,4.151247864808142,0.7605546116828918,0.221192618070729,0.2580817945288494
3,0.026214,0.117482,0.354629,-0.021216,0.000636,-0.722209,0.691349,-0.4430875391919165,-5.168884984922409,-3.56868967640996,0.3524071513134986,9.792087806162238,-0.4014955188050866,-1.0231952667236328,0.2563841342926025,-0.2044266164302826,-0.6784954430588022,-0.7115975239836485,-0.1187414755540457,-0.1384677598344146,0.8388185501098633,1.4985136985778809,-0.5372439026832581,-1.863571519654989,3.140672353643178,-2.327495729844272,0.1282852590084076,-1.3275736570358276,-10.035228454005718,0.3449612855911255,-1.7795697327576576,0.369962170291692
4,0.023001,0.067478,0.357863,-0.023904,-0.004441,-0.721357,0.692137,1.0938248722597956,-11.884128474229572,-1.612773050534725,0.3009472689175978,9.801620773661137,0.089612110192934,-1.4727835655212402,-0.0753335952758789,-0.2054704278707504,-0.6959632842838794,-0.6936301842885086,-0.1196169772646971,-0.1421406781743638,1.1466318368911743,1.2350571155548096,-0.5722463130950928,-8.664045899263025,5.181877737486362,-2.485888886989653,-0.0564555190503597,1.3700613975524902,-9.373305929252504,0.0949483811855316,-2.349393965658545,-0.3020202136450447
5,0.015842,-0.006313,0.360246,-0.033301,-0.024649,-0.713282,0.699652,-0.72842021914199,-13.716452622705695,0.8461865476708859,0.1681770671980455,9.791008778753875,0.5274866548437624,-0.0761692598462104,-0.2594928443431854,0.1881628781557083,-0.7138803712837889,-0.6784998308775729,-0.1128877515595873,-0.1314119625715002,-0.1097828969359397,0.0871081575751304,-0.0140667697414755,-11.362242781198024,6.277019829824567,-3.88740023676157,0.0452384017407894,0.0192321576178073,-10.841042147821188,0.1226674169301986,-2.5016166174754497,-0.2542677891986444
6,0.01483,-0.019619,0.360313,-0.030675,-0.036434,-0.714461,0.698053,0.3426750079806894,-12.519359975934028,0.8365162905931472,0.2733830980298109,9.790717102330923,0.4873273341411724,0.3607731163501739,0.0335780270397663,0.1473772972822189,-0.7121129953771858,-0.6808361697113776,-0.1077744405225297,-0.1331983259911643,0.1406937837600708,-0.2118207961320877,0.2626443803310394,-9.952960505163668,5.615090875330567,-5.143003524690866,0.0505330897867679,0.1222313791513443,-9.01351575501561,-0.2886665165424347,-1.6540356197714805,-1.049352985587716
7,0.015932,-0.019491,0.361373,-0.028257,-0.041447,-0.719465,0.692714,0.2546535371132195,-12.117012516474723,-0.4438812103202566,0.224934873338975,9.80137176733613,0.2300489101507701,0.9251827001571656,0.1956866979598999,-0.336652010679245,-0.7031773352116044,-0.6896352898456961,-0.1125785809466967,-0.1314190197079589,-0.4623172283172607,-0.3137086629867553,0.4151875972747803,-10.443879397523403,6.411345882683992,-6.605577245929837,0.0154358325526118,-0.0682941377162933,-9.621682139661909,-0.3926649689674377,-1.5096422002755103,-0.8091868235103785
8,0.016751,-0.009322,0.367346,-0.018648,-0.013813,-0.721145,0.692395,-0.0843052907553967,-10.974351717114448,-2.661670693570376,0.0866994284834712,9.805981306958198,-0.0749020277505042,0.5863420367240906,0.128972440958023,-0.2467537373304367,-0.692735332053949,-0.6991567787476299,-0.1224693402809324,-0.127667044728409,-0.3913003206253052,-0.4116024374961853,0.4576286077499389,-9.33088600667417,4.896961894708872,-4.5772290055722,-0.0139256296679377,-0.2512253522872925,-9.91552538526058,-0.371659517288208,-1.1047719443403183,-0.4585794881604612
9,0.015694,-0.010255,0.369044,-0.017662,-0.006918,-0.719996,0.69372,-0.3165560491988435,-6.020688861018419,-1.1255880840063095,0.0389784220886416,9.801880301380155,-0.3033011568336747,0.5878942608833313,-0.0984208881855011,-0.0090021705254912,-0.6847935891982905,-0.7068174992872251,-0.1259884046745331,-0.1248743818329269,-0.4387677013874054,-0.3884838819503784,0.3248063623905182,-6.395131245464087,3.064330287718773,-2.3010636499926447,-0.0413571260869503,0.9528012871742249,-10.12306455836892,-0.3028058707714081,-2.566233466553688,-0.245229400283657
