timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
25525151601,0.033603,0.181245,0.036716,0.051951,0.036577,-0.71395,0.697308,0
25525184924,0.035301,0.167035,0.027989,0.038494,0.018241,-0.713967,0.698882,1
25525251570,0.038821,0.105846,0.017189,0.021473,-0.00648,-0.722592,0.690911,3
25525284894,0.040758,0.06346,0.016092,0.017598,-0.013059,-0.723357,0.690126,4
25525318217,0.041578,0.019263,0.017309,0.015347,-0.015009,-0.723366,0.690131,5
25525384863,0.043454,-0.05354,0.014059,-0.0026,-0.025842,-0.713228,0.700451,7
25525418186,0.044136,-0.070254,0.012481,-0.018089,-0.037569,-0.709176,0.703798,8
25525451509,0.046049,-0.074821,0.01042,-0.022398,-0.044061,-0.708814,0.703662,9
25525518155,0.052116,-0.065138,0.013134,-0.02207,-0.025891,-0.722935,0.690078,11
25525551479,0.053557,-0.062662,0.016244,-0.014741,-0.019726,-0.724116,0.689238,12
25525584801,0.054397,-0.06789,0.016667,-0.01294,-0.020942,-0.723745,0.689629,13
25525618125,0.054604,-0.084141,0.015788,-0.017036,-0.025929,-0.723515,0.689611,14
25525684771,0.048524,-0.123061,0.006662,-0.043201,-0.045026,-0.711775,0.69963,16
25525718094,0.043341,-0.121967,0.003828,-0.05813,-0.0657,-0.70706,0.701692,17
25525751417,0.039157,-0.093263,0.008993,-0.0481,-0.051531,-0.709086,0.701589,18
25525818063,0.035392,0.024938,0.026839,-0.031352,-0.008066,-0.719248,0.693999,20
25525851386,0.035322,0.087025,0.042186,0.004667,0.032615,-0.727057,0.685786,21
25525884709,0.03638,0.134037,0.055299,0.046694,0.073064,-0.732345,0.675391,22
25525951355,0.03428,0.172512,0.053732,0.051079,0.059931,-0.727379,0.681703,24
25525984678,0.032705,0.163939,0.048298,0.037793,0.041472,-0.719569,0.69215,25
25526018002,0.033877,0.140012,0.045172,0.028231,0.031833,-0.723318,0.689203,26
25526084648,0.034978,0.063815,0.048355,0.015727,0.01683,-0.730586,0.682432,28
25526117971,0.033191,0.019731,0.053029,0.013391,0.022318,-0.719398,0.694111,29
25526151294,0.03131,-0.017607,0.056107,0.013437,0.032305,-0.708238,0.705106,30
25526217940,0.030423,-0.054611,0.061516,0.017875,0.024618,-0.705485,0.708072,32
25526251263,0.031,-0.055975,0.059532,0.020349,0.027433,-0.704238,0.709142,33
25526284587,0.032975,-0.052399,0.053523,0.004907,-0.001048,-0.707476,0.706719,34
25526317910,0.033123,-0.050515,0.051859,0.015684,0.007818,-0.710448,0.703532,35
25526384556,0.032042,-0.062645,0.043131,0.023995,-0.009537,-0.707131,0.706611,37
25526417879,0.030918,-0.081233,0.038971,0.014939,-0.017492,-0.704071,0.709757,38
25526451202,0.028707,-0.10423,0.036794,0.012119,-0.019459,-0.697907,0.715821,39
25526517848,0.019408,-0.116997,0.030211,-0.003387,-0.043093,-0.67089,0.740296,41
25526551171,0.017981,-0.083907,0.032606,-0.002298,-0.039477,-0.675485,0.736313,42
25526584494,0.019744,-0.025449,0.038136,0.01022,-0.032211,-0.685912,0.7269,43
25526651140,0.026759,0.102731,0.063095,0.056588,0.018753,-0.716799,0.694727,45
25526684464,0.027471,0.145381,0.074835,0.095219,0.044175,-0.722937,0.682894,46
25526717787,0.026417,0.167874,0.075117,0.104181,0.044154,-0.722454,0.682097,47
25526784433,0.024337,0.160601,0.058763,0.056895,0.002073,-0.713391,0.69845,49
25526817756,0.02373,0.135386,0.052458,0.043465,-0.013036,-0.711126,0.701599,50
