timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
18322358996,0.016375,0.200162,0.392614,0.077698,0.047842,-0.700655,0.707642,0
18322392319,0.015449,0.199995,0.396944,0.082093,0.050395,-0.698126,0.709465,1
18322425643,0.013422,0.183324,0.397732,0.077949,0.045989,-0.696049,0.712268,2
18322492289,0.011175,0.114125,0.390588,0.04329,0.014717,-0.699758,0.712915,4
18322525613,0.011063,0.074897,0.387427,0.021348,-0.001151,-0.703098,0.710771,5
18322558936,0.010024,0.041736,0.383908,-0.003112,-0.017181,-0.701193,0.712757,6
18322592260,0.009929,0.017557,0.380082,-0.025859,-0.037086,-0.70076,0.711963,7
18322625583,0.009361,0.002959,0.377674,-0.040721,-0.051977,-0.699131,0.711939,8
18322692230,0.008407,-0.003265,0.378537,-0.046422,-0.055485,-0.698564,0.711881,10
18322725553,0.008456,-0.001021,0.381353,-0.042037,-0.050712,-0.700451,0.710655,11
18322758876,0.008571,0.00166,0.384221,-0.037801,-0.045039,-0.701937,0.709808,12
18322792200,0.00719,0.00271,0.384671,-0.036847,-0.042588,-0.701831,0.710115,13
18322825523,0.007038,0.001555,0.38498,-0.038775,-0.044374,-0.700762,0.710958,14
18322858847,0.0073,-0.002199,0.384004,-0.044341,-0.049524,-0.700362,0.710686,15
18322925494,0.010572,-0.009371,0.376954,-0.062453,-0.071983,-0.701302,0.706466,17
18322958817,0.013719,-0.001968,0.372866,-0.064,-0.081139,-0.7037,0.702941,18
18322992141,0.019234,0.02483,0.368561,-0.050625,-0.078579,-0.709319,0.698662,19
18323025464,0.022816,0.070004,0.368806,-0.017505,-0.064209,-0.7142,0.696771,20
18323058787,0.024382,0.125933,0.374858,0.016558,-0.032411,-0.715411,0.697755,21
18323125434,0.022346,0.220524,0.403223,0.069167,0.042708,-0.703318,0.706212,23
18323158757,0.022222,0.236678,0.418671,0.096613,0.061065,-0.703164,0.701782,24
18323192081,0.021878,0.229336,0.427765,0.109055,0.071859,-0.706199,0.695864,25
18323225404,0.020356,0.202766,0.428022,0.105098,0.069482,-0.709348,0.693507,26
18323258727,0.018083,0.163044,0.420415,0.084344,0.047561,-0.711952,0.695521,27
18323325374,0.017652,0.073931,0.399599,0.018993,-0.019437,-0.720096,0.693342,29
18323358698,0.01785,0.038013,0.392306,-0.013094,-0.03871,-0.719307,0.69349,30
18323392021,0.017579,0.014116,0.386933,-0.036253,-0.06234,-0.717142,0.693186,31
